ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
BLAST-S11,0.99,0.363,0.45,0.99,0.365,0.011,0.45
BLAST-S14,0.99,0.378,0.51,0.99,0.382,0.011,0.48
Naive-S11,1.00,0.475,0.55,1.00,0.475,0.012,0.55
Naive-S14,1.00,0.475,0.56,1.00,0.475,0.011,0.53
101-1,0.94,0.441,0.36,0.94,0.441,0.011,0.36
101-2,0.17,0.169,0.02,0.17,0.169,0.015,0.05
101-3,0.94,0.473,0.17,0.94,0.474,0.012,0.17
102-1,0.00,0.006,0.00,0.00,0.006,0.000,0.00
102-2,0.00,0.006,0.00,0.00,0.006,0.000,0.00
102-3,0.00,0.006,0.00,0.00,0.006,0.000,0.00
103-1,0.04,0.058,0.01,0.04,0.058,0.010,0.01
103-2,0.06,0.077,0.01,0.06,0.077,0.011,0.01
103-3,0.62,0.368,0.17,0.62,0.368,0.014,0.17
104-1,0.00,0.006,0.00,0.00,0.006,0.000,0.00
104-2,0.00,0.006,0.00,0.00,0.006,0.000,0.00
104-3,0.00,0.006,0.00,0.00,0.006,0.000,0.00
105-1,1.00,0.425,0.92,1.00,0.425,0.012,0.92
105-2,0.99,0.454,0.98,0.99,0.455,0.012,0.98
105-3,0.99,0.440,1.00,0.99,0.441,0.012,1.00
106-1,0.44,0.271,0.03,0.44,0.271,0.015,0.03
106-2,0.00,0.006,0.00,0.00,0.006,0.000,0.00
106-3,0.32,0.240,0.03,0.32,0.240,0.015,0.03
107-1,1.00,0.371,1.00,1.00,0.373,0.012,0.90
107-2,1.00,0.451,0.02,1.00,0.452,0.012,0.02
107-3,0.07,0.093,0.01,0.07,0.093,0.011,0.01
108-1,0.00,0.006,0.00,0.00,0.006,0.000,0.00
109-1,0.00,0.006,0.00,0.00,0.006,0.000,0.00
110-1,0.99,0.462,0.29,0.99,0.462,0.010,0.29
110-2,0.95,0.415,0.48,0.95,0.416,0.011,0.50
110-3,0.99,0.365,0.48,0.99,0.365,0.011,0.47
111-1,0.95,0.436,0.29,0.95,0.436,0.011,0.29
111-2,0.98,0.357,0.46,0.98,0.357,0.011,0.47
111-3,0.12,0.091,0.01,0.12,0.091,0.012,0.01
112-1,1.00,0.430,0.42,1.00,0.433,0.011,0.47
112-2,1.00,0.431,0.48,1.00,0.433,0.011,0.49
112-3,1.00,0.428,0.42,1.00,0.430,0.011,0.44
113-1,1.00,0.428,0.48,1.00,0.429,0.011,0.46
113-2,0.84,0.310,0.80,0.84,0.311,0.010,0.80
113-3,0.48,0.311,0.39,0.48,0.313,0.012,0.37
114-1,1.00,0.474,0.92,1.00,0.476,0.012,0.92
115-1,1.00,0.488,0.21,1.00,0.489,0.012,0.22
116-1,0.58,0.302,0.13,0.58,0.302,0.014,0.14
116-2,0.34,0.189,0.04,0.34,0.189,0.014,0.10
117-1,1.00,0.451,0.12,1.00,0.451,0.012,0.12
117-2,0.14,0.123,1.00,0.14,0.122,0.014,1.00
119-1,0.98,0.437,0.75,0.98,0.438,0.011,0.75
120-1,1.00,0.477,0.94,1.00,0.478,0.012,0.95
120-2,1.00,0.482,0.71,1.00,0.482,0.011,0.71
120-3,0.99,0.443,0.51,0.99,0.446,0.011,0.52
121-1,0.69,0.414,0.52,0.69,0.414,0.014,0.46
121-2,0.05,0.056,0.61,0.05,0.056,0.010,0.61
121-3,0.75,0.419,0.01,0.75,0.419,0.013,0.01
122-1,0.72,0.399,0.69,0.72,0.399,0.013,0.69
124-1,1.00,0.419,0.34,1.00,0.419,0.010,0.35
124-2,1.00,0.404,0.32,1.00,0.404,0.010,0.32
124-3,1.00,0.434,0.33,1.00,0.434,0.010,0.33
125-1,0.98,0.469,0.89,0.98,0.472,0.012,0.90
125-2,0.98,0.431,0.29,0.98,0.432,0.012,0.30
125-3,1.00,0.381,0.39,1.00,0.384,0.011,0.41
126-1,0.00,0.006,0.00,0.00,0.006,0.000,0.00
127-1,0.97,0.455,0.45,0.97,0.456,0.012,0.47
127-2,0.96,0.476,0.65,0.96,0.477,0.012,0.66
127-3,0.00,0.006,0.00,0.00,0.006,0.000,0.00
128-1,0.59,0.250,0.02,0.59,0.254,0.010,0.04
129-1,0.99,0.486,0.60,0.99,0.487,0.012,0.60
129-2,0.49,0.295,0.53,0.49,0.295,0.012,0.53
129-3,0.99,0.487,0.60,0.99,0.487,0.012,0.60
130-1,0.00,0.006,0.00,0.00,0.006,0.000,0.00
130-2,0.00,0.006,0.00,0.00,0.006,0.000,0.00
130-3,0.00,0.006,0.00,0.00,0.006,0.000,0.00
131-1,0.84,0.433,0.07,0.84,0.434,0.013,0.06
131-2,0.87,0.445,0.04,0.87,0.445,0.013,0.03
131-3,0.97,0.434,0.04,0.97,0.436,0.011,0.05
132-1,1.00,0.446,0.60,1.00,0.447,0.011,0.59
132-2,1.00,0.441,0.60,1.00,0.442,0.011,0.58
65-1,0.97,0.412,0.29,0.97,0.413,0.011,0.28
65-2,0.97,0.395,0.17,0.97,0.396,0.011,0.16
65-3,0.97,0.395,0.17,0.97,0.397,0.010,0.17
68-1,0.00,0.006,0.00,0.00,0.006,0.000,0.00
68-2,0.00,0.006,0.00,0.00,0.006,0.000,0.00
69-1,0.22,0.257,0.12,0.22,0.258,0.015,0.14
69-2,1.00,0.474,0.27,1.00,0.475,0.012,0.26
70-1,0.00,0.006,0.00,0.00,0.006,0.000,0.00
70-2,1.00,0.491,0.32,1.00,0.491,0.012,0.32
70-3,1.00,0.494,0.36,1.00,0.495,0.012,0.35
72-1,0.96,0.485,0.01,0.96,0.485,0.012,0.01
72-2,0.95,0.491,0.01,0.95,0.491,0.012,0.01
73-1,1.00,0.414,0.67,1.00,0.416,0.011,0.71
73-2,1.00,0.419,0.67,1.00,0.420,0.011,0.69
73-3,0.99,0.336,0.95,0.99,0.336,0.011,0.96
74-1,0.57,0.342,0.04,0.57,0.343,0.012,0.06
74-2,0.98,0.463,0.13,0.98,0.463,0.012,0.14
75-1,0.22,0.259,0.20,0.22,0.259,0.015,0.17
75-2,1.00,0.483,0.42,1.00,0.483,0.012,0.44
79-1,0.00,0.006,0.00,0.00,0.006,0.000,0.00
79-2,0.00,0.006,0.00,0.00,0.006,0.000,0.00
79-3,0.00,0.006,0.00,0.00,0.006,0.000,0.00
80-1,0.61,0.358,0.11,0.61,0.359,0.013,0.09
80-2,0.99,0.476,0.28,0.99,0.476,0.012,0.29
81-1,0.98,0.450,0.50,0.98,0.450,0.012,0.50
81-2,0.98,0.451,0.50,0.98,0.450,0.012,0.50
82-1,0.93,0.454,0.50,0.93,0.454,0.012,0.50
83-1,0.97,0.472,0.23,0.97,0.472,0.011,0.24
83-2,0.97,0.476,0.23,0.97,0.477,0.011,0.22
84-1,0.80,0.291,0.04,0.80,0.292,0.009,0.04
85-1,0.94,0.447,0.26,0.94,0.448,0.012,0.26
85-2,0.96,0.465,0.61,0.96,0.466,0.011,0.59
86-1,0.73,0.406,0.30,0.73,0.406,0.013,0.30
86-2,0.73,0.406,0.30,0.73,0.406,0.013,0.30
86-3,0.53,0.344,0.30,0.53,0.344,0.015,0.31
87-1,0.85,0.429,0.27,0.85,0.430,0.012,0.24
87-2,0.85,0.426,0.08,0.85,0.426,0.012,0.10
87-3,0.76,0.424,0.14,0.76,0.424,0.012,0.16
88-1,0.00,0.006,0.00,0.00,0.006,0.000,0.00
89-1,0.00,0.006,0.00,0.00,0.006,0.000,0.00
89-2,0.00,0.006,0.00,0.00,0.006,0.000,0.00
89-3,0.00,0.006,0.00,0.00,0.006,0.000,0.00
91-1,0.26,0.168,0.03,0.26,0.168,0.012,0.03
91-2,0.26,0.171,1.00,0.26,0.170,0.012,1.00
91-3,0.26,0.102,0.52,0.26,0.102,0.009,0.52
93-1,0.06,0.083,1.00,0.06,0.083,0.012,1.00
93-2,0.06,0.085,1.00,0.06,0.084,0.011,1.00
94-1,0.99,0.464,0.71,0.99,0.465,0.012,0.56
95-1,0.00,0.006,0.00,0.00,0.006,0.000,0.00
95-2,0.00,0.006,0.00,0.00,0.006,0.000,0.00
96-1,0.58,0.173,1.00,0.58,0.173,0.007,1.00
96-2,0.58,0.168,1.00,0.58,0.167,0.007,1.00
