ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
BLAST-S11,0.99,0.275,0.47,0.99,0.278,0.011,0.48
BLAST-S14,0.99,0.289,0.52,0.99,0.291,0.012,0.52
Naive-S11,1.00,0.328,0.32,1.00,0.328,0.011,0.32
Naive-S14,1.00,0.316,0.29,1.00,0.316,0.008,0.32
101-1,0.94,0.352,0.36,0.94,0.352,0.012,0.36
101-2,0.17,0.146,0.01,0.17,0.146,0.013,0.04
101-3,0.94,0.405,0.17,0.94,0.405,0.012,0.16
102-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
102-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
102-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
103-1,0.04,0.043,0.01,0.04,0.044,0.008,0.02
103-2,0.06,0.063,0.01,0.06,0.062,0.010,0.01
103-3,0.62,0.321,0.17,0.62,0.321,0.014,0.17
104-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
104-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
104-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
105-1,1.00,0.350,0.92,1.00,0.350,0.013,0.92
105-2,0.99,0.379,0.98,0.99,0.380,0.012,0.98
105-3,0.99,0.366,1.00,0.99,0.366,0.013,1.00
106-1,0.44,0.235,0.03,0.44,0.234,0.014,0.03
106-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
106-3,0.32,0.203,0.03,0.32,0.202,0.015,0.03
107-1,1.00,0.285,1.00,1.00,0.285,0.013,0.96
107-2,1.00,0.377,0.03,1.00,0.377,0.013,0.03
107-3,0.07,0.079,0.01,0.07,0.078,0.010,0.01
108-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
109-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
110-1,0.99,0.419,0.29,0.99,0.419,0.009,0.29
110-2,0.95,0.302,0.53,0.95,0.304,0.012,0.57
110-3,0.99,0.240,0.48,0.99,0.239,0.011,0.47
111-1,0.95,0.394,0.29,0.95,0.394,0.009,0.29
111-2,0.98,0.219,0.48,0.98,0.219,0.011,0.47
111-3,0.12,0.069,0.01,0.12,0.069,0.010,0.01
112-1,1.00,0.315,0.64,1.00,0.318,0.011,0.58
112-2,1.00,0.314,0.55,1.00,0.318,0.011,0.57
112-3,1.00,0.303,0.45,1.00,0.306,0.011,0.50
113-1,1.00,0.304,0.44,1.00,0.306,0.011,0.49
113-2,0.84,0.153,0.97,0.84,0.154,0.009,0.83
113-3,0.48,0.223,0.32,0.48,0.225,0.012,0.37
114-1,1.00,0.397,0.92,1.00,0.399,0.012,0.94
115-1,1.00,0.410,0.27,1.00,0.412,0.012,0.25
116-1,0.58,0.270,0.04,0.58,0.270,0.014,0.10
116-2,0.34,0.170,0.04,0.34,0.170,0.014,0.10
117-1,1.00,0.354,0.12,1.00,0.354,0.010,0.12
117-2,0.14,0.099,1.00,0.14,0.099,0.012,1.00
119-1,0.98,0.357,0.77,0.98,0.359,0.011,0.76
120-1,1.00,0.400,0.98,1.00,0.403,0.012,0.97
120-2,1.00,0.393,0.74,1.00,0.394,0.011,0.73
120-3,0.99,0.350,0.64,0.99,0.352,0.012,0.63
121-1,0.69,0.364,0.52,0.69,0.364,0.014,0.48
121-2,0.05,0.053,0.61,0.05,0.053,0.010,0.61
121-3,0.75,0.359,0.01,0.75,0.359,0.013,0.02
122-1,0.72,0.337,0.69,0.72,0.337,0.013,0.69
124-1,1.00,0.279,0.44,1.00,0.282,0.009,0.39
124-2,1.00,0.275,0.33,1.00,0.275,0.008,0.31
124-3,1.00,0.282,0.33,1.00,0.282,0.008,0.34
125-1,0.98,0.394,0.96,0.98,0.396,0.012,0.95
125-2,0.98,0.344,0.36,0.98,0.348,0.012,0.35
125-3,1.00,0.295,0.43,1.00,0.298,0.012,0.46
126-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
127-1,0.97,0.369,0.50,0.97,0.371,0.011,0.49
127-2,0.96,0.390,0.65,0.96,0.391,0.011,0.65
127-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
128-1,0.59,0.134,0.01,0.59,0.139,0.009,0.06
129-1,0.99,0.394,0.61,0.99,0.395,0.012,0.60
129-2,0.49,0.238,0.54,0.49,0.239,0.011,0.54
129-3,0.99,0.395,0.60,0.99,0.395,0.012,0.60
130-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
130-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
130-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
131-1,0.84,0.365,0.07,0.84,0.367,0.013,0.06
131-2,0.87,0.381,0.04,0.87,0.381,0.013,0.04
131-3,0.97,0.352,0.06,0.97,0.353,0.011,0.06
132-1,1.00,0.330,0.60,1.00,0.331,0.011,0.59
132-2,1.00,0.319,0.60,1.00,0.321,0.011,0.58
65-1,0.97,0.282,0.20,0.97,0.286,0.009,0.23
65-2,0.97,0.268,0.15,0.97,0.273,0.009,0.14
65-3,0.97,0.274,0.13,0.97,0.277,0.009,0.14
68-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
68-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
69-1,0.22,0.213,0.06,0.22,0.214,0.013,0.08
