ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-S11,0.98,0.641,0.41,0.98,0.641,0.004,0.42
BLAST-S14,0.99,0.634,0.45,0.99,0.634,0.004,0.45
Naive-S11,1.00,0.589,0.28,1.00,0.589,0.003,0.28
Naive-S14,1.00,0.589,0.29,1.00,0.589,0.003,0.29
101-1,0.90,0.610,0.36,0.90,0.610,0.005,0.36
101-2,0.21,0.864,0.01,0.21,0.864,0.008,0.01
101-3,0.90,0.581,0.15,0.90,0.581,0.005,0.16
102-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
102-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
102-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
103-1,0.01,0.992,0.01,0.01,0.992,0.002,0.01
103-2,0.01,0.988,0.01,0.01,0.988,0.003,0.01
103-3,0.52,0.702,0.17,0.52,0.702,0.009,0.17
104-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
104-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
104-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
105-1,0.99,0.615,0.92,0.99,0.615,0.004,0.92
105-2,0.98,0.591,1.00,0.98,0.590,0.005,1.00
105-3,0.98,0.612,1.00,0.98,0.612,0.006,1.00
106-1,0.35,0.803,0.02,0.35,0.803,0.008,0.02
106-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
106-3,0.23,0.859,0.02,0.23,0.859,0.008,0.02
107-1,1.00,0.626,0.78,1.00,0.626,0.004,0.80
107-2,1.00,0.579,0.03,1.00,0.579,0.005,0.03
107-3,0.02,0.986,0.01,0.02,0.986,0.003,0.01
108-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
109-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
110-1,0.99,0.632,0.05,0.99,0.632,0.004,0.09
110-2,0.94,0.623,0.55,0.94,0.622,0.004,0.52
110-3,1.00,0.669,1.00,1.00,0.670,0.003,0.99
111-1,0.95,0.630,0.02,0.95,0.630,0.004,0.06
111-2,0.99,0.661,0.89,0.99,0.661,0.003,0.91
111-3,0.11,0.919,0.01,0.11,0.919,0.007,0.01
112-1,0.99,0.611,0.56,0.99,0.611,0.004,0.56
112-2,0.99,0.611,0.56,0.99,0.611,0.004,0.55
112-3,0.97,0.614,0.56,0.97,0.614,0.004,0.56
113-1,0.97,0.614,0.54,0.97,0.613,0.004,0.54
113-2,0.78,0.671,1.00,0.78,0.671,0.003,0.99
113-3,0.32,0.758,0.01,0.32,0.758,0.008,0.01
114-1,1.00,0.560,0.95,1.00,0.559,0.005,0.95
115-1,1.00,0.560,0.30,1.00,0.559,0.005,0.31
116-1,0.69,0.656,0.02,0.69,0.656,0.007,0.04
116-2,0.50,0.761,0.01,0.50,0.761,0.008,0.02
117-1,1.00,0.605,0.12,1.00,0.606,0.005,0.12
117-2,0.13,0.905,1.00,0.13,0.905,0.007,1.00
119-1,0.94,0.592,0.66,0.94,0.590,0.005,0.70
120-1,1.00,0.559,0.97,1.00,0.559,0.005,0.97
120-2,1.00,0.563,0.73,1.00,0.563,0.005,0.73
120-3,1.00,0.576,0.60,1.00,0.575,0.005,0.59
121-1,0.65,0.646,0.43,0.65,0.646,0.008,0.43
121-2,0.04,0.981,0.32,0.04,0.981,0.003,0.39
121-3,0.68,0.626,0.01,0.68,0.626,0.007,0.01
122-1,0.59,0.681,0.69,0.59,0.682,0.008,0.69
124-1,1.00,0.618,0.34,1.00,0.618,0.003,0.34
124-2,1.00,0.621,0.31,1.00,0.620,0.003,0.31
124-3,1.00,0.617,0.32,1.00,0.617,0.003,0.32
125-1,1.00,0.562,0.94,1.00,0.561,0.005,0.94
125-2,0.93,0.597,0.33,0.93,0.597,0.005,0.33
125-3,1.00,0.629,0.38,1.00,0.629,0.004,0.38
126-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
127-1,0.90,0.587,0.56,0.90,0.587,0.005,0.56
127-2,0.89,0.584,0.66,0.89,0.583,0.004,0.65
127-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
128-1,0.47,0.695,0.01,0.47,0.695,0.004,0.01
129-1,0.98,0.571,0.57,0.98,0.571,0.005,0.57
129-2,0.38,0.718,0.24,0.38,0.718,0.006,0.25
129-3,0.98,0.571,0.57,0.98,0.571,0.005,0.57
130-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
130-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
130-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
131-1,0.80,0.588,0.05,0.80,0.588,0.005,0.04
131-2,0.83,0.576,0.03,0.83,0.576,0.006,0.03
131-3,0.98,0.596,0.08,0.98,0.595,0.004,0.08
132-1,0.99,0.610,0.60,0.99,0.610,0.004,0.59
132-2,0.96,0.613,0.57,0.96,0.612,0.004,0.58
65-1,0.82,0.655,0.14,0.82,0.654,0.003,0.13
65-2,0.78,0.660,0.08,0.78,0.660,0.003,0.08
65-3,0.82,0.658,0.09,0.82,0.658,0.003,0.09
68-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
68-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
