ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-S11,0.98,5.043,0.95,0.98,5.037,0.125,0.93
BLAST-S14,0.99,4.993,0.92,0.99,4.986,0.122,0.93
Naive-S11,1.00,4.583,0.32,1.00,4.583,0.121,0.32
Naive-S14,1.00,4.642,0.48,1.00,4.641,0.123,0.48
101-1,0.90,4.955,0.44,0.90,4.955,0.123,0.44
101-2,0.21,4.918,0.20,0.21,4.917,0.123,0.19
101-3,0.90,4.618,0.70,0.90,4.609,0.113,0.81
102-1,0.00,5.116,1.00,0.00,5.115,0.127,1.00
102-2,0.00,5.116,1.00,0.00,5.115,0.127,1.00
102-3,0.00,5.116,1.00,0.00,5.115,0.127,1.00
103-1,0.01,5.082,0.03,0.01,5.082,0.127,0.05
103-2,0.01,5.067,0.02,0.01,5.067,0.127,0.02
103-3,0.52,4.631,0.33,0.52,4.632,0.121,0.33
104-1,0.00,5.116,1.00,0.00,5.115,0.127,1.00
104-2,0.00,5.116,1.00,0.00,5.115,0.127,1.00
104-3,0.00,5.116,1.00,0.00,5.115,0.127,1.00
105-1,0.99,4.934,0.95,0.99,4.930,0.124,0.95
105-2,0.98,10.013,1.00,0.98,10.014,0.652,1.00
105-3,0.98,15.296,1.00,0.98,15.294,0.773,1.00
106-1,0.35,4.864,0.20,0.35,4.858,0.122,0.22
106-2,0.00,5.116,1.00,0.00,5.115,0.127,1.00
106-3,0.23,4.897,0.19,0.23,4.895,0.123,0.19
107-1,1.00,14.817,1.00,1.00,14.819,0.659,1.00
107-2,1.00,4.760,0.10,1.00,4.757,0.118,0.10
107-3,0.02,5.079,0.02,0.02,5.078,0.127,0.02
108-1,0.00,5.116,1.00,0.00,5.115,0.127,1.00
109-1,0.00,5.116,1.00,0.00,5.115,0.127,1.00
110-1,0.99,4.868,0.92,0.99,4.864,0.122,0.93
110-2,0.94,4.904,1.00,0.94,4.905,0.119,1.00
110-3,1.00,9.061,1.00,1.00,9.063,0.151,1.00
111-1,0.95,4.829,0.99,0.95,4.826,0.120,0.96
111-2,0.99,8.261,1.00,0.99,8.263,0.149,1.00
111-3,0.11,5.021,0.38,0.11,5.015,0.124,0.59
