ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
BLAST-S11,0.98,0.244,0.44,0.98,0.246,0.008,0.45
BLAST-S14,0.99,0.263,0.49,0.99,0.265,0.009,0.50
Naive-S11,1.00,0.325,0.28,1.00,0.325,0.006,0.28
Naive-S14,1.00,0.325,0.29,1.00,0.325,0.006,0.29
101-1,0.90,0.328,0.36,0.90,0.328,0.008,0.34
101-2,0.21,0.129,0.01,0.21,0.129,0.008,0.04
101-3,0.90,0.340,0.03,0.90,0.343,0.008,0.12
102-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
102-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
102-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
103-1,0.01,0.014,0.03,0.01,0.014,0.004,0.05
103-2,0.01,0.021,0.02,0.01,0.021,0.005,0.02
103-3,0.52,0.272,0.17,0.52,0.272,0.010,0.17
104-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
104-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
104-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
105-1,0.99,0.308,0.92,0.99,0.309,0.009,0.91
105-2,0.98,0.343,0.98,0.98,0.343,0.009,0.98
105-3,0.98,0.335,1.00,0.98,0.334,0.009,1.00
106-1,0.35,0.178,0.03,0.35,0.177,0.009,0.05
106-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
106-3,0.23,0.135,0.03,0.23,0.135,0.009,0.04
107-1,1.00,0.281,0.77,1.00,0.282,0.009,0.81
107-2,1.00,0.336,0.03,1.00,0.336,0.009,0.03
107-3,0.02,0.024,0.01,0.02,0.024,0.005,0.01
108-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
109-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
110-1,0.99,0.368,0.29,0.99,0.368,0.008,0.29
110-2,0.94,0.291,0.32,0.94,0.293,0.008,0.38
110-3,1.00,0.247,0.29,1.00,0.247,0.007,0.30
111-1,0.95,0.358,0.29,0.95,0.358,0.008,0.29
111-2,0.99,0.237,0.29,0.99,0.237,0.007,0.30
111-3,0.11,0.085,0.01,0.11,0.085,0.008,0.01
112-1,0.99,0.277,0.48,0.99,0.278,0.008,0.48
112-2,0.99,0.278,0.44,0.99,0.279,0.008,0.47
112-3,0.97,0.271,0.48,0.97,0.272,0.008,0.48
113-1,0.97,0.271,0.44,0.97,0.272,0.008,0.48
113-2,0.78,0.132,0.49,0.78,0.133,0.006,0.59
113-3,0.32,0.199,0.27,0.32,0.200,0.009,0.28
114-1,1.00,0.370,0.93,1.00,0.371,0.009,0.92
115-1,1.00,0.368,0.24,1.00,0.369,0.009,0.25
116-1,0.69,0.277,0.18,0.69,0.277,0.010,0.11
116-2,0.50,0.204,0.01,0.50,0.204,0.010,0.03
117-1,1.00,0.326,0.12,1.00,0.327,0.008,0.12
117-2,0.13,0.079,1.00,0.13,0.078,0.007,1.00
119-1,0.94,0.347,0.66,0.94,0.347,0.009,0.68
120-1,1.00,0.379,0.94,1.00,0.379,0.009,0.94
120-2,1.00,0.366,0.71,1.00,0.367,0.008,0.72
120-3,1.00,0.330,0.62,1.00,0.331,0.009,0.61
121-1,0.65,0.311,0.43,0.65,0.311,0.010,0.47
121-2,0.04,0.028,0.61,0.04,0.028,0.006,0.63
121-3,0.68,0.316,0.02,0.68,0.316,0.010,0.02
122-1,0.59,0.270,0.69,0.59,0.270,0.010,0.69
124-1,1.00,0.280,0.33,1.00,0.280,0.006,0.33
124-2,1.00,0.271,0.32,1.00,0.271,0.006,0.31
124-3,1.00,0.271,0.33,1.00,0.270,0.006,0.33
125-1,1.00,0.367,0.92,1.00,0.368,0.009,0.91
125-2,0.93,0.327,0.31,0.93,0.329,0.009,0.31
125-3,1.00,0.274,0.42,1.00,0.275,0.009,0.41
126-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
127-1,0.90,0.335,0.61,0.90,0.336,0.008,0.59
127-2,0.89,0.336,0.71,0.89,0.338,0.008,0.68
127-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
128-1,0.47,0.130,0.01,0.47,0.132,0.007,0.02
129-1,0.98,0.357,0.59,0.98,0.358,0.008,0.58
