ID-model,GO:0005575,GO:0031981,GO:0044430,GO:0005739,GO:0070013,GO:0044428,GO:0031974,GO:0043233,GO:0044456,GO:0009986,GO:0045202,GO:0005783,GO:0005856,GO:0005929,GO:0005829,GO:0044427,GO:0005634,GO:0005694,GO:0044459,GO:0005794,GO:0048471,GO:0000785,GO:0016023,GO:0044422,GO:0031410,GO:0043228,GO:0043232,GO:0044463,GO:0005886,GO:0044446,GO:0071944,GO:0044425,GO:0042995,GO:0000228,GO:0043231,GO:0043234,GO:0097458,GO:0043229,GO:0005576,GO:0005615,GO:0044424,GO:0032991,GO:0005622,GO:0005912,GO:0070161,GO:0044421,GO:0043227,GO:0043226,GO:0044444,GO:0030055,GO:0031988,GO:0016020,GO:0031982,GO:0044464,GO:0030054,GO:0005925,GO:0005623,GO:0005924,GO:0005737,GO:0012505,GO:0065010,GO:0043230,GO:0031090,GO:0070062,GO:0043005,GO:0005654
BLAST-S11,NaN,0.84,0.75,0.82,0.82,0.80,0.81,0.82,0.83,0.82,0.82,0.71,0.71,0.74,0.72,0.74,0.72,0.73,0.78,0.73,0.69,0.74,0.70,0.69,0.69,0.68,0.68,0.65,0.72,0.69,0.69,0.71,0.65,0.70,0.64,0.68,0.69,0.62,0.63,0.68,0.61,0.66,0.60,0.61,0.61,0.60,0.61,0.61,0.56,0.63,0.58,0.59,0.58,0.56,0.69,0.60,0.55,0.60,0.49,0.56,0.50,0.50,0.50,0.50,0.58,0.51
BLAST-S14,NaN,0.86,0.86,0.86,0.84,0.84,0.84,0.83,0.83,0.82,0.82,0.81,0.81,0.80,0.80,0.76,0.76,0.75,0.75,0.75,0.75,0.74,0.73,0.73,0.72,0.71,0.71,0.71,0.71,0.71,0.71,0.70,0.69,0.69,0.69,0.68,0.67,0.67,0.67,0.67,0.67,0.66,0.66,0.64,0.64,0.64,0.63,0.63,0.62,0.62,0.61,0.60,0.60,0.59,0.59,0.58,0.58,0.58,0.58,0.56,0.54,0.54,0.54,0.54,0.54,0.47
Naive-S11,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
Naive-S14,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
101-1,NaN,0.77,0.74,0.80,0.75,0.74,0.74,0.75,0.82,0.63,0.88,0.77,0.70,0.70,0.62,0.66,0.69,0.69,0.81,0.72,0.77,0.68,0.68,0.62,0.68,0.59,0.59,0.63,0.76,0.62,0.76,0.76,0.69,0.68,0.61,0.60,0.65,0.61,0.64,0.70,0.62,0.58,0.62,0.58,0.58,0.58,0.57,0.56,0.63,0.59,0.52,0.64,0.52,0.62,0.62,0.59,0.62,0.59,0.60,0.68,0.50,0.50,0.62,0.50,0.57,0.52
101-2,NaN,0.52,0.53,0.59,0.51,0.52,0.52,0.51,0.55,0.50,0.55,0.59,0.54,0.50,0.49,0.52,0.59,0.52,0.49,0.56,0.50,0.52,0.49,0.56,0.49,0.51,0.51,0.53,0.53,0.58,0.53,0.52,0.54,0.50,0.55,0.52,0.52,0.54,0.52,0.52,0.53,0.50,0.53,0.50,0.50,0.50,0.52,0.51,0.54,0.50,0.50,0.52,0.50,0.52,0.49,0.50,0.52,0.50,0.51,0.55,0.50,0.50,0.52,0.50,0.53,0.51
101-3,NaN,0.78,0.77,0.82,0.75,0.76,0.74,0.75,0.82,0.62,0.88,0.82,0.73,0.70,0.61,0.66,0.79,0.69,0.78,0.73,0.77,0.68,0.68,0.71,0.68,0.64,0.64,0.61,0.75,0.72,0.74,0.77,0.69,0.68,0.70,0.67,0.66,0.69,0.64,0.71,0.66,0.64,0.66,0.59,0.59,0.58,0.61,0.63,0.71,0.59,0.52,0.68,0.52,0.58,0.63,0.59,0.58,0.59,0.63,0.73,0.50,0.50,0.65,0.50,0.57,0.53
102-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
102-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
102-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
