ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
BLAST-S11,0.99,0.377,0.41,1.00,0.380,0.012,0.45
BLAST-S14,1.00,0.416,0.52,1.00,0.419,0.013,0.55
Naive-S11,1.00,0.458,0.55,1.00,0.460,0.012,0.43
Naive-S14,1.00,0.467,0.32,1.00,0.467,0.011,0.33
101-1,0.96,0.416,0.36,0.96,0.416,0.012,0.36
101-2,0.23,0.187,0.03,0.23,0.187,0.014,0.05
101-3,0.96,0.435,0.33,0.96,0.436,0.013,0.28
102-1,0.00,0.007,0.00,0.00,0.007,0.000,0.00
102-2,0.00,0.007,0.00,0.00,0.007,0.000,0.00
102-3,0.00,0.007,0.00,0.00,0.007,0.000,0.00
103-1,0.00,0.007,0.00,0.00,0.007,0.001,0.02
103-2,0.00,0.007,0.00,0.00,0.007,0.001,0.02
103-3,0.57,0.326,0.17,0.57,0.326,0.014,0.17
104-1,0.00,0.007,0.00,0.00,0.007,0.000,0.00
104-2,0.00,0.007,0.00,0.00,0.007,0.000,0.00
104-3,0.00,0.007,0.00,0.00,0.007,0.000,0.00
105-1,1.00,0.388,0.92,1.00,0.390,0.012,0.91
105-2,0.99,0.428,0.98,0.99,0.428,0.012,0.98
105-3,0.99,0.405,1.00,0.99,0.406,0.012,1.00
106-1,0.42,0.247,0.07,0.42,0.247,0.014,0.08
106-2,0.00,0.007,0.00,0.00,0.007,0.000,0.00
106-3,0.30,0.214,0.07,0.30,0.214,0.014,0.08
107-1,1.00,0.349,0.77,1.00,0.352,0.011,0.79
107-2,1.00,0.418,0.03,1.00,0.420,0.012,0.03
107-3,0.00,0.007,0.00,0.00,0.007,0.001,0.00
108-1,0.00,0.007,0.00,0.00,0.007,0.000,0.00
109-1,0.00,0.007,0.00,0.00,0.007,0.000,0.00
110-1,1.00,0.475,0.29,1.00,0.475,0.011,0.29
110-2,0.96,0.409,0.46,0.96,0.410,0.012,0.43
110-3,0.99,0.364,0.44,0.99,0.366,0.011,0.37
111-1,0.96,0.455,0.29,0.96,0.455,0.011,0.28
111-2,0.99,0.358,0.29,0.99,0.359,0.011,0.34
111-3,0.19,0.174,0.01,0.19,0.173,0.015,0.01
112-1,0.99,0.420,0.48,1.00,0.422,0.012,0.47
112-2,0.99,0.425,0.45,1.00,0.425,0.012,0.46
112-3,0.99,0.419,0.43,0.99,0.420,0.011,0.45
113-1,0.99,0.423,0.45,0.99,0.423,0.011,0.44
113-2,0.79,0.283,0.75,0.79,0.285,0.011,0.63
113-3,0.42,0.305,0.26,0.42,0.306,0.013,0.30
114-1,1.00,0.449,0.93,1.00,0.450,0.012,0.93
115-1,1.00,0.452,0.23,1.00,0.452,0.012,0.22
116-1,0.71,0.327,0.01,0.71,0.327,0.014,0.12
116-2,0.51,0.248,0.29,0.51,0.248,0.014,0.23
117-1,1.00,0.449,0.12,1.00,0.449,0.012,0.12
117-2,0.18,0.131,1.00,0.18,0.131,0.013,1.00
119-1,0.99,0.433,0.81,0.99,0.434,0.012,0.82
120-1,1.00,0.444,0.97,1.00,0.446,0.012,0.96
120-2,1.00,0.458,0.72,1.00,0.460,0.012,0.72
120-3,0.99,0.436,0.52,0.99,0.438,0.012,0.50
121-1,0.71,0.372,0.43,0.71,0.372,0.014,0.49
121-2,0.07,0.066,0.72,0.07,0.066,0.012,0.72
121-3,0.72,0.380,0.01,0.72,0.380,0.014,0.01
122-1,0.77,0.388,0.69,0.77,0.388,0.014,0.69
124-1,1.00,0.415,0.33,1.00,0.415,0.011,0.33
124-2,1.00,0.412,0.32,1.00,0.412,0.011,0.32
124-3,1.00,0.417,0.33,1.00,0.417,0.011,0.33
125-1,1.00,0.445,0.92,1.00,0.447,0.012,0.93
125-2,0.98,0.406,0.29,0.98,0.406,0.012,0.29
125-3,1.00,0.398,0.48,1.00,0.399,0.013,0.48
126-1,0.00,0.007,0.00,0.00,0.007,0.000,0.00
127-1,0.97,0.452,0.56,0.97,0.453,0.012,0.56
127-2,0.96,0.458,0.72,0.96,0.459,0.012,0.73
127-3,0.00,0.007,0.00,0.00,0.007,0.000,0.00
128-1,0.53,0.238,0.01,0.53,0.240,0.010,0.02
129-1,0.99,0.476,0.59,0.99,0.476,0.013,0.59
129-2,0.41,0.268,0.54,0.41,0.269,0.013,0.54
129-3,0.99,0.475,0.59,0.99,0.476,0.013,0.59
130-1,0.00,0.007,0.00,0.00,0.007,0.000,0.00
130-2,0.00,0.007,0.00,0.00,0.007,0.000,0.00
130-3,0.00,0.007,0.00,0.00,0.007,0.000,0.00
131-1,0.93,0.427,0.05,0.93,0.427,0.013,0.05
131-2,0.94,0.437,0.03,0.94,0.437,0.013,0.04
131-3,0.99,0.412,0.05,0.99,0.413,0.012,0.05
132-1,0.99,0.421,0.53,1.00,0.422,0.011,0.53
132-2,0.99,0.417,0.53,0.99,0.418,0.011,0.53
65-1,0.88,0.348,0.14,0.88,0.350,0.011,0.16
65-2,0.85,0.327,0.11,0.85,0.328,0.011,0.11
65-3,0.88,0.339,0.09,0.88,0.342,0.011,0.11
68-1,0.00,0.007,0.00,0.00,0.007,0.000,0.00
68-2,0.00,0.007,0.00,0.00,0.007,0.000,0.00
69-1,0.08,0.108,0.06,0.08,0.108,0.013,0.07
69-2,1.00,0.441,0.24,1.00,0.442,0.012,0.26
70-1,0.00,0.007,0.00,0.00,0.007,0.000,0.00
70-2,1.00,0.481,0.31,1.00,0.482,0.012,0.30
70-3,1.00,0.479,0.30,1.00,0.480,0.012,0.33
72-1,0.98,0.458,0.01,0.98,0.458,0.012,0.01
72-2,0.98,0.475,0.01,0.98,0.475,0.013,0.01
73-1,1.00,0.380,0.71,1.00,0.382,0.012,0.69
73-2,1.00,0.380,0.71,1.00,0.382,0.012,0.69
73-3,1.00,0.335,1.00,1.00,0.335,0.011,0.99
74-1,0.58,0.340,0.03,0.58,0.340,0.013,0.05
74-2,0.99,0.428,0.11,0.99,0.429,0.012,0.11
75-1,0.08,0.109,0.06,0.08,0.109,0.014,0.07
75-2,1.00,0.448,0.70,1.00,0.449,0.013,0.57
79-1,0.00,0.007,0.00,0.00,0.007,0.000,0.00
79-2,0.00,0.007,0.00,0.00,0.007,0.000,0.00
79-3,0.00,0.007,0.00,0.00,0.007,0.000,0.00
80-1,0.62,0.350,0.03,0.62,0.352,0.013,0.08
80-2,1.00,0.434,0.27,1.00,0.435,0.012,0.26
81-1,0.99,0.426,0.50,0.99,0.425,0.013,0.50
81-2,0.99,0.426,0.45,0.99,0.426,0.013,0.47
82-1,0.97,0.440,0.50,0.97,0.440,0.011,0.50
83-1,0.91,0.436,0.26,0.91,0.437,0.012,0.23
83-2,0.91,0.438,0.23,0.91,0.439,0.012,0.22
84-1,0.82,0.301,0.03,0.82,0.303,0.010,0.03
85-1,0.99,0.453,0.36,0.99,0.454,0.012,0.35
85-2,1.00,0.470,0.63,1.00,0.471,0.012,0.63
86-1,0.94,0.447,0.36,0.94,0.448,0.013,0.36
86-2,0.94,0.447,0.36,0.94,0.448,0.013,0.36
86-3,0.85,0.408,0.30,0.85,0.409,0.014,0.31
87-1,0.96,0.415,0.15,0.96,0.415,0.012,0.17
87-2,0.96,0.417,0.07,0.96,0.418,0.012,0.10
87-3,0.82,0.396,0.14,0.82,0.396,0.013,0.19
88-1,0.00,0.007,0.00,0.00,0.007,0.000,0.00
89-1,0.00,0.007,0.00,0.00,0.007,0.000,0.00
89-2,0.00,0.007,0.00,0.00,0.007,0.000,0.00
89-3,0.00,0.007,0.00,0.00,0.007,0.000,0.00
91-1,0.24,0.171,0.03,0.24,0.170,0.013,0.03
91-2,0.24,0.175,1.00,0.24,0.174,0.013,1.00
91-3,0.24,0.109,0.52,0.24,0.108,0.010,0.52
93-1,0.00,0.007,0.00,0.00,0.007,0.001,0.12
93-2,0.00,0.007,0.00,0.00,0.007,0.001,0.10
94-1,0.99,0.442,1.00,0.99,0.443,0.012,0.84
95-1,0.00,0.007,0.00,0.00,0.007,0.000,0.00
95-2,0.00,0.007,0.00,0.00,0.007,0.000,0.00
96-1,0.70,0.186,1.00,0.70,0.186,0.007,1.00
96-2,0.70,0.188,1.00,0.70,0.188,0.007,1.00
96-3,0.70,0.187,1.00,0.70,0.187,0.007,1.00
97-1,1.00,0.431,0.04,1.00,0.431,0.013,0.04
