ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-S11,0.99,0.610,0.51,1.00,0.610,0.007,0.51
BLAST-S14,1.00,0.590,0.62,1.00,0.589,0.007,0.62
Naive-S11,1.00,0.595,0.28,1.00,0.595,0.004,0.28
Naive-S14,1.00,0.595,0.29,1.00,0.595,0.004,0.29
101-1,0.96,0.637,0.36,0.96,0.634,0.006,0.36
101-2,0.23,0.846,0.02,0.23,0.846,0.012,0.02
101-3,0.96,0.574,0.27,0.96,0.573,0.008,0.29
102-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
102-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
102-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
103-1,0.00,0.999,0.00,0.00,0.998,0.001,0.00
103-2,0.00,0.999,0.00,0.00,0.998,0.001,0.00
103-3,0.57,0.670,0.17,0.57,0.670,0.011,0.17
104-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
104-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
104-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
105-1,1.00,0.631,0.92,1.00,0.631,0.008,0.92
105-2,0.99,0.597,1.00,0.99,0.597,0.007,1.00
105-3,0.99,0.635,1.00,0.99,0.635,0.009,1.00
106-1,0.42,0.764,0.02,0.42,0.764,0.012,0.02
106-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
106-3,0.30,0.816,0.02,0.30,0.816,0.012,0.02
107-1,1.00,0.630,1.00,1.00,0.630,0.006,0.98
107-2,1.00,0.587,0.03,1.00,0.587,0.007,0.03
107-3,0.00,0.999,0.01,0.00,0.998,0.001,0.01
108-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
109-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
110-1,1.00,0.626,0.22,1.00,0.626,0.006,0.19
110-2,0.96,0.615,0.65,0.96,0.614,0.006,0.62
110-3,0.99,0.666,1.00,0.99,0.666,0.004,0.99
111-1,0.96,0.616,0.22,0.96,0.616,0.006,0.20
111-2,0.99,0.651,0.92,0.99,0.651,0.005,0.81
111-3,0.19,0.870,0.01,0.19,0.870,0.011,0.01
112-1,0.99,0.602,0.56,1.00,0.602,0.006,0.57
112-2,0.99,0.602,0.55,1.00,0.602,0.006,0.56
112-3,0.99,0.605,0.56,0.99,0.604,0.006,0.56
113-1,0.99,0.604,0.54,0.99,0.604,0.006,0.54
113-2,0.79,0.667,0.98,0.79,0.668,0.004,0.99
113-3,0.42,0.710,0.01,0.42,0.711,0.010,0.01
114-1,1.00,0.567,1.00,1.00,0.567,0.008,1.00
115-1,1.00,0.567,0.30,1.00,0.566,0.007,0.33
116-1,0.71,0.650,0.01,0.71,0.650,0.010,0.07
116-2,0.51,0.751,0.01,0.51,0.751,0.012,0.08
117-1,1.00,0.586,0.12,1.00,0.586,0.006,0.12
117-2,0.18,0.871,1.00,0.18,0.871,0.011,1.00
119-1,0.99,0.589,0.90,0.99,0.587,0.007,0.91
120-1,1.00,0.570,1.00,1.00,0.570,0.008,1.00
120-2,1.00,0.563,0.73,1.00,0.563,0.007,0.73
120-3,0.99,0.574,0.57,0.99,0.574,0.007,0.57
121-1,0.71,0.624,0.43,0.71,0.624,0.010,0.49
121-2,0.07,0.970,0.61,0.07,0.970,0.006,0.65
121-3,0.72,0.608,0.01,0.72,0.608,0.008,0.01
122-1,0.77,0.606,0.69,0.77,0.606,0.008,0.69
124-1,1.00,0.621,0.34,1.00,0.620,0.004,0.34
124-2,1.00,0.622,0.30,1.00,0.622,0.004,0.31
124-3,1.00,0.620,0.33,1.00,0.620,0.004,0.33
125-1,1.00,0.568,0.99,1.00,0.567,0.008,0.99
125-2,0.98,0.603,0.36,0.98,0.602,0.007,0.36
125-3,1.00,0.607,0.51,1.00,0.606,0.007,0.51
126-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
127-1,0.97,0.574,0.60,0.97,0.574,0.007,0.59
127-2,0.96,0.579,0.73,0.96,0.578,0.006,0.72
127-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
128-1,0.53,0.681,0.01,0.53,0.681,0.003,0.01
129-1,0.99,0.556,0.59,0.99,0.556,0.007,0.59
129-2,0.41,0.704,0.33,0.41,0.705,0.008,0.31
129-3,0.99,0.556,0.59,0.99,0.556,0.007,0.59
130-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
130-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
130-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
131-1,0.93,0.573,0.08,0.93,0.573,0.008,0.08
131-2,0.94,0.567,0.04,0.94,0.567,0.008,0.04
131-3,0.99,0.600,0.09,0.99,0.598,0.006,0.09
132-1,0.99,0.602,0.60,1.00,0.602,0.006,0.60
132-2,0.99,0.605,0.60,0.99,0.605,0.006,0.59
65-1,0.88,0.643,0.14,0.88,0.643,0.004,0.14
65-2,0.85,0.652,0.09,0.85,0.652,0.004,0.09
65-3,0.88,0.648,0.09,0.88,0.648,0.003,0.09
68-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
68-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
69-1,0.08,0.930,0.01,0.08,0.930,0.010,0.01
69-2,1.00,0.582,0.40,1.00,0.580,0.007,0.35
70-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
70-2,1.00,0.570,0.27,1.00,0.570,0.006,0.27
70-3,1.00,0.565,0.25,1.00,0.565,0.006,0.25
