ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-S11,0.99,5.471,0.98,1.00,5.459,0.189,0.97
BLAST-S14,1.00,5.455,0.96,1.00,5.433,0.185,0.96
Naive-S11,1.00,4.969,0.32,1.00,4.967,0.186,0.32
Naive-S14,1.00,5.050,0.48,1.00,5.047,0.186,0.47
101-1,0.96,5.324,0.44,0.96,5.324,0.183,0.44
101-2,0.23,5.317,0.20,0.23,5.315,0.187,0.20
101-3,0.96,5.038,1.00,0.96,5.025,0.173,0.93
102-1,0.00,5.555,1.00,0.00,5.552,0.193,1.00
102-2,0.00,5.555,1.00,0.00,5.552,0.193,1.00
102-3,0.00,5.555,1.00,0.00,5.552,0.193,1.00
103-1,0.00,5.551,0.23,0.00,5.549,0.192,0.51
103-2,0.00,5.551,0.23,0.00,5.549,0.192,0.51
103-3,0.57,5.127,0.33,0.57,5.128,0.177,0.33
104-1,0.00,5.555,1.00,0.00,5.552,0.193,1.00
104-2,0.00,5.555,1.00,0.00,5.552,0.193,1.00
104-3,0.00,5.555,1.00,0.00,5.552,0.193,1.00
105-1,1.00,5.394,0.95,1.00,5.389,0.188,0.95
105-2,0.99,11.695,1.00,0.99,11.711,0.941,1.00
105-3,0.99,17.975,1.00,0.99,17.984,1.110,1.00
106-1,0.42,5.299,0.26,0.42,5.293,0.188,0.26
106-2,0.00,5.555,1.00,0.00,5.552,0.193,1.00
106-3,0.30,5.321,0.26,0.30,5.308,0.187,0.24
107-1,1.00,17.477,1.00,1.00,17.492,1.022,1.00
107-2,1.00,5.256,0.10,1.00,5.254,0.179,0.10
107-3,0.00,5.552,0.01,0.00,5.550,0.192,0.37
108-1,0.00,5.555,1.00,0.00,5.552,0.193,1.00
109-1,0.00,5.555,1.00,0.00,5.552,0.193,1.00
110-1,1.00,5.209,0.96,1.00,5.200,0.183,0.95
110-2,0.96,5.454,1.00,0.96,5.456,0.177,1.00
110-3,0.99,9.615,1.00,0.99,9.617,0.230,1.00
111-1,0.96,5.125,0.98,0.96,5.120,0.178,0.95
111-2,0.99,8.438,1.00,0.99,8.442,0.226,1.00
111-3,0.19,5.341,0.38,0.19,5.339,0.185,0.42
112-1,0.99,5.372,0.95,1.00,5.357,0.175,0.96
112-2,0.99,5.371,0.99,1.00,5.354,0.174,0.95
112-3,0.99,5.327,0.86,0.99,5.317,0.176,0.88
113-1,0.99,5.310,0.87,0.99,5.307,0.176,0.87
113-2,0.79,9.277,1.00,0.79,9.277,0.213,1.00
113-3,0.42,5.169,0.98,0.42,5.156,0.181,0.93
114-1,1.00,7.789,1.00,1.00,7.797,0.276,1.00
