ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
BLAST-S11,0.99,0.378,0.41,1.00,0.381,0.012,0.45
BLAST-S14,1.00,0.417,0.52,1.00,0.419,0.013,0.55
Naive-S11,1.00,0.458,0.55,1.00,0.460,0.012,0.43
Naive-S14,1.00,0.467,0.32,1.00,0.467,0.011,0.33
101-1,0.96,0.423,0.36,0.96,0.423,0.012,0.36
101-2,0.23,0.461,0.15,0.23,0.464,0.025,0.16
101-3,0.96,0.445,0.33,0.96,0.445,0.013,0.30
102-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-1,0.00,0.857,0.23,0.00,0.857,0.000,0.23
103-2,0.00,0.857,0.23,0.00,0.857,0.000,0.23
103-3,0.57,0.439,0.17,0.57,0.438,0.017,0.17
104-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
105-1,1.00,0.388,0.92,1.00,0.390,0.012,0.91
105-2,0.99,0.429,0.98,0.99,0.429,0.012,0.98
105-3,0.99,0.406,1.00,0.99,0.406,0.012,1.00
106-1,0.42,0.416,0.11,0.42,0.418,0.019,0.10
106-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
106-3,0.30,0.457,0.15,0.30,0.459,0.021,0.12
107-1,1.00,0.349,0.77,1.00,0.352,0.011,0.79
107-2,1.00,0.419,0.03,1.00,0.420,0.012,0.03
107-3,0.00,0.667,0.11,0.00,0.667,0.000,0.11
108-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
109-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
110-1,1.00,0.476,0.29,1.00,0.476,0.011,0.29
110-2,0.96,0.417,0.46,0.96,0.417,0.012,0.43
110-3,0.99,0.365,0.44,0.99,0.367,0.011,0.37
111-1,0.96,0.464,0.29,0.96,0.463,0.011,0.29
111-2,0.99,0.359,0.29,0.99,0.361,0.011,0.34
111-3,0.19,0.509,0.01,0.19,0.508,0.025,0.01
112-1,0.99,0.421,0.48,1.00,0.423,0.012,0.47
112-2,0.99,0.426,0.45,1.00,0.426,0.012,0.46
112-3,0.99,0.421,0.43,0.99,0.422,0.011,0.45
113-1,0.99,0.425,0.45,0.99,0.425,0.011,0.44
113-2,0.79,0.311,0.75,0.79,0.313,0.012,0.76
113-3,0.42,0.478,0.38,0.42,0.478,0.017,0.38
114-1,1.00,0.449,0.93,1.00,0.450,0.012,0.93
115-1,1.00,0.452,0.23,1.00,0.452,0.012,0.22
116-1,0.71,0.395,0.25,0.71,0.396,0.015,0.19
116-2,0.51,0.380,0.29,0.51,0.380,0.018,0.30
117-1,1.00,0.449,0.12,1.00,0.449,0.012,0.12
117-2,0.18,0.386,1.00,0.18,0.385,0.026,1.00
119-1,0.99,0.435,0.81,0.99,0.435,0.012,0.82
120-1,1.00,0.444,0.97,1.00,0.446,0.012,0.96
120-2,1.00,0.458,0.72,1.00,0.460,0.012,0.72
120-3,0.99,0.437,0.52,0.99,0.439,0.012,0.50
121-1,0.71,0.446,0.43,0.71,0.445,0.016,0.49
121-2,0.07,0.612,0.72,0.07,0.609,0.047,0.72
121-3,0.72,0.444,0.01,0.72,0.444,0.015,0.02
122-1,0.77,0.442,0.69,0.77,0.442,0.015,0.69
124-1,1.00,0.415,0.33,1.00,0.415,0.011,0.33
124-2,1.00,0.412,0.32,1.00,0.412,0.011,0.32
124-3,1.00,0.418,0.33,1.00,0.418,0.011,0.33
125-1,1.00,0.446,0.92,1.00,0.447,0.012,0.93
125-2,0.98,0.409,0.29,0.98,0.409,0.012,0.29
