ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-S11,0.99,0.609,0.51,1.00,0.610,0.007,0.51
BLAST-S14,1.00,0.590,0.62,1.00,0.589,0.007,0.62
Naive-S11,1.00,0.595,0.28,1.00,0.595,0.004,0.28
Naive-S14,1.00,0.595,0.29,1.00,0.595,0.004,0.29
101-1,0.96,0.633,0.37,0.96,0.633,0.006,0.37
101-2,0.23,0.570,0.20,0.23,0.571,0.014,0.18
101-3,0.96,0.567,0.33,0.96,0.566,0.008,0.33
102-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-1,0.00,0.624,0.02,0.00,0.624,0.000,0.02
103-2,0.00,0.624,0.02,0.00,0.624,0.000,0.02
103-3,0.57,0.557,0.17,0.57,0.558,0.011,0.17
104-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
105-1,1.00,0.631,0.92,1.00,0.632,0.008,0.92
105-2,0.99,0.596,1.00,0.99,0.597,0.007,1.00
105-3,0.99,0.636,1.00,0.99,0.637,0.009,1.00
106-1,0.42,0.587,0.11,0.42,0.587,0.010,0.12
106-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
106-3,0.30,0.583,0.15,0.30,0.582,0.013,0.15
107-1,1.00,0.630,1.00,1.00,0.630,0.006,0.98
107-2,1.00,0.586,0.03,1.00,0.587,0.007,0.03
107-3,0.00,0.829,0.01,0.00,0.829,0.000,0.01
108-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
109-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
110-1,1.00,0.625,0.22,1.00,0.625,0.006,0.19
110-2,0.96,0.612,0.65,0.96,0.612,0.006,0.65
110-3,0.99,0.666,1.00,0.99,0.666,0.004,0.99
111-1,0.96,0.609,0.22,0.96,0.609,0.006,0.23
111-2,0.99,0.651,0.92,0.99,0.651,0.005,0.85
111-3,0.19,0.589,0.36,0.19,0.590,0.015,0.34
112-1,0.99,0.602,0.56,1.00,0.601,0.006,0.57
112-2,0.99,0.602,0.55,1.00,0.601,0.006,0.56
112-3,0.99,0.604,0.56,0.99,0.604,0.006,0.56
113-1,0.99,0.603,0.54,0.99,0.603,0.006,0.54
113-2,0.79,0.712,1.00,0.79,0.712,0.007,1.00
113-3,0.42,0.605,0.43,0.42,0.602,0.010,0.44
114-1,1.00,0.567,1.00,1.00,0.567,0.008,1.00
115-1,1.00,0.567,0.30,1.00,0.566,0.007,0.33
116-1,0.71,0.575,0.12,0.71,0.576,0.009,0.14
116-2,0.51,0.587,0.18,0.51,0.587,0.011,0.13
117-1,1.00,0.586,0.12,1.00,0.586,0.006,0.12
117-2,0.18,0.657,1.00,0.18,0.658,0.018,1.00
119-1,0.99,0.588,0.93,0.99,0.586,0.007,0.92
120-1,1.00,0.570,1.00,1.00,0.570,0.008,1.00
120-2,1.00,0.563,0.73,1.00,0.563,0.007,0.73
120-3,0.99,0.574,0.57,0.99,0.573,0.007,0.57
121-1,0.71,0.550,0.43,0.71,0.550,0.009,0.49
121-2,0.07,0.582,0.61,0.07,0.585,0.051,0.65
121-3,0.72,0.564,0.03,0.72,0.562,0.009,0.03
122-1,0.77,0.571,0.70,0.77,0.571,0.009,0.72
124-1,1.00,0.620,0.34,1.00,0.620,0.004,0.34
124-2,1.00,0.622,0.30,1.00,0.622,0.004,0.31
124-3,1.00,0.620,0.33,1.00,0.620,0.004,0.33
125-1,1.00,0.568,0.99,1.00,0.567,0.008,0.99
125-2,0.98,0.601,0.36,0.98,0.601,0.007,0.36
125-3,1.00,0.607,0.51,1.00,0.606,0.007,0.51
126-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
127-1,0.97,0.571,0.60,0.97,0.570,0.007,0.60
127-2,0.96,0.574,0.76,0.96,0.573,0.007,0.74
127-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
128-1,0.53,0.674,0.17,0.53,0.674,0.004,0.17
129-1,0.99,0.555,0.59,0.99,0.555,0.007,0.59
129-2,0.41,0.570,0.59,0.41,0.570,0.010,0.59
129-3,0.99,0.555,0.59,0.99,0.555,0.007,0.59
130-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
131-1,0.93,0.572,0.13,0.93,0.571,0.008,0.13
131-2,0.94,0.567,0.04,0.94,0.567,0.009,0.06
131-3,0.99,0.599,0.09,0.99,0.598,0.007,0.09
132-1,0.99,0.602,0.60,1.00,0.602,0.006,0.60
132-2,0.99,0.605,0.60,0.99,0.604,0.006,0.60
65-1,0.88,0.636,0.17,0.88,0.636,0.005,0.18
65-2,0.85,0.642,0.11,0.85,0.642,0.004,0.11
65-3,0.88,0.642,0.12,0.88,0.641,0.004,0.12
68-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
68-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
69-1,0.08,0.453,0.39,0.08,0.452,0.038,0.37
69-2,1.00,0.582,0.40,1.00,0.580,0.007,0.35
70-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
70-2,1.00,0.570,0.27,1.00,0.570,0.006,0.27
70-3,1.00,0.565,0.25,1.00,0.565,0.006,0.25
72-1,0.98,0.582,0.01,0.98,0.583,0.008,0.01
72-2,0.98,0.556,0.01,0.98,0.556,0.007,0.01
73-1,1.00,0.635,0.97,1.00,0.634,0.005,0.97
73-2,1.00,0.634,0.97,1.00,0.633,0.005,0.97
73-3,1.00,0.784,1.00,1.00,0.784,0.009,1.00
74-1,0.58,0.565,0.17,0.58,0.565,0.010,0.16
74-2,0.99,0.580,0.23,0.99,0.579,0.007,0.25
75-1,0.08,0.489,0.57,0.08,0.485,0.034,0.62
75-2,1.00,0.569,0.70,1.00,0.569,0.008,0.70
79-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
79-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
79-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
80-1,0.62,0.559,0.27,0.62,0.558,0.010,0.33
80-2,1.00,0.567,0.55,1.00,0.567,0.008,0.56
81-1,0.99,0.574,0.50,0.99,0.575,0.008,0.50
81-2,0.99,0.574,0.37,0.99,0.575,0.008,0.40
82-1,0.97,0.591,0.52,0.97,0.590,0.006,0.52
83-1,0.91,0.564,0.31,0.91,0.564,0.007,0.30
83-2,0.91,0.561,0.28,0.91,0.560,0.007,0.29
84-1,0.82,0.652,0.03,0.82,0.653,0.004,0.03
85-1,0.99,0.568,0.48,0.99,0.567,0.007,0.47
85-2,1.00,0.566,0.68,1.00,0.565,0.007,0.68
86-1,0.94,0.567,0.37,0.94,0.566,0.008,0.39
86-2,0.94,0.567,0.37,0.94,0.566,0.008,0.39
86-3,0.85,0.564,0.36,0.85,0.564,0.009,0.35
87-1,0.96,0.623,0.39,0.96,0.622,0.007,0.40
87-2,0.96,0.606,0.19,0.96,0.607,0.007,0.19
87-3,0.82,0.606,0.32,0.82,0.606,0.010,0.33
88-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
89-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
89-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
89-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
91-1,0.24,0.666,0.04,0.24,0.666,0.008,0.04
91-2,0.24,0.686,1.00,0.24,0.687,0.013,1.00
91-3,0.24,0.705,0.53,0.24,0.707,0.004,0.53
93-1,0.00,0.566,1.00,0.00,0.566,0.000,1.00
93-2,0.00,0.820,1.00,0.00,0.820,0.000,1.00
94-1,0.99,0.579,1.00,0.99,0.579,0.009,1.00
95-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
95-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
96-1,0.70,0.892,1.00,0.70,0.892,0.004,1.00
96-2,0.70,0.899,1.00,0.70,0.899,0.004,1.00
96-3,0.70,0.906,1.00,0.70,0.906,0.004,1.00
97-1,1.00,0.577,0.06,1.00,0.577,0.007,0.06
97-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
97-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
98-1,0.99,0.624,0.50,0.99,0.625,0.005,0.50
