ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-S11,0.99,5.486,0.98,1.00,5.474,0.190,0.97
BLAST-S14,1.00,5.456,0.96,1.00,5.435,0.186,0.96
Naive-S11,1.00,4.969,0.32,1.00,4.967,0.186,0.32
Naive-S14,1.00,5.050,0.48,1.00,5.047,0.186,0.47
101-1,0.96,5.403,0.44,0.96,5.403,0.189,0.44
101-2,0.23,4.776,0.57,0.23,4.768,0.450,0.56
101-3,0.96,5.109,1.00,0.96,5.098,0.179,0.95
102-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-1,0.00,7.488,0.23,0.00,7.488,0.000,0.23
103-2,0.00,7.488,0.23,0.00,7.488,0.000,0.23
103-3,0.57,5.122,0.50,0.57,5.110,0.211,0.48
104-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
105-1,1.00,5.395,0.95,1.00,5.390,0.188,0.95
105-2,0.99,11.765,1.00,0.99,11.781,0.947,1.00
105-3,0.99,18.061,1.00,0.99,18.070,1.115,1.00
106-1,0.42,5.645,0.56,0.42,5.593,0.253,0.63
106-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
106-3,0.30,5.835,0.31,0.30,5.761,0.305,0.48
107-1,1.00,17.506,1.00,1.00,17.521,1.023,1.00
107-2,1.00,5.263,0.10,1.00,5.261,0.179,0.10
107-3,0.00,9.134,0.11,0.00,9.134,0.000,0.11
108-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
109-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
110-1,1.00,5.209,0.96,1.00,5.201,0.183,0.95
110-2,0.96,5.490,1.00,0.96,5.492,0.182,1.00
110-3,0.99,9.655,1.00,0.99,9.657,0.229,1.00
111-1,0.96,5.196,0.98,0.96,5.191,0.183,0.96
111-2,0.99,8.512,1.00,0.99,8.516,0.226,1.00
111-3,0.19,5.588,1.00,0.19,5.595,0.310,1.00
112-1,0.99,5.355,0.96,1.00,5.340,0.175,0.96
112-2,0.99,5.354,0.99,1.00,5.337,0.175,0.95
112-3,0.99,5.318,0.86,0.99,5.308,0.177,0.88
113-1,0.99,5.300,0.87,0.99,5.298,0.177,0.88
113-2,0.79,11.016,1.00,0.79,11.016,0.201,1.00
113-3,0.42,5.831,0.98,0.42,5.830,0.328,0.99
114-1,1.00,7.789,1.00,1.00,7.797,0.276,1.00
115-1,1.00,5.127,0.81,1.00,5.102,0.177,0.75
116-1,0.71,5.349,0.80,0.71,5.330,0.212,0.76
116-2,0.51,5.225,0.63,0.51,5.191,0.247,0.71
117-1,1.00,5.098,0.16,1.00,5.092,0.178,0.16
117-2,0.18,11.836,1.00,0.18,11.848,0.717,1.00
119-1,0.99,5.227,0.97,0.99,5.222,0.184,0.97
120-1,1.00,8.256,1.00,1.00,8.264,0.296,1.00
120-2,1.00,5.057,0.79,1.00,5.056,0.172,0.79
120-3,0.99,4.914,0.73,0.99,4.905,0.179,0.73
121-1,0.71,5.585,0.72,0.71,5.583,0.210,0.69
121-2,0.07,4.709,0.72,0.07,4.749,0.730,0.73
121-3,0.72,5.257,0.48,0.72,5.239,0.188,0.37
122-1,0.77,5.371,0.99,0.77,5.365,0.211,0.99
124-1,1.00,5.151,0.54,1.00,5.143,0.182,0.53
124-2,1.00,5.159,0.46,1.00,5.156,0.185,0.48
124-3,1.00,5.249,0.51,1.00,5.247,0.187,0.51
125-1,1.00,7.795,1.00,1.00,7.802,0.277,1.00
125-2,0.98,5.412,0.90,0.98,5.398,0.187,0.90
125-3,1.00,5.322,0.94,1.00,5.320,0.185,0.94
126-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
127-1,0.97,5.148,0.84,0.97,5.140,0.183,0.84
127-2,0.96,5.109,0.93,0.96,5.101,0.178,0.92
127-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
128-1,0.53,6.852,1.00,0.53,6.865,0.399,0.99
129-1,0.99,4.831,0.68,0.99,4.828,0.173,0.68
129-2,0.41,4.764,0.68,0.41,4.760,0.238,0.68
129-3,0.99,4.825,0.68,0.99,4.821,0.173,0.68
130-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
131-1,0.93,5.331,0.81,0.93,5.305,0.161,0.85
131-2,0.94,5.307,0.83,0.94,5.297,0.180,0.85
131-3,0.99,5.243,0.52,0.99,5.232,0.178,0.53
132-1,0.99,5.320,1.00,1.00,5.320,0.177,0.99
132-2,0.99,5.317,0.94,0.99,5.302,0.176,0.91
65-1,0.88,5.241,0.34,0.88,5.237,0.190,0.34
65-2,0.85,5.260,0.20,0.85,5.259,0.190,0.20
65-3,0.88,5.257,0.21,0.88,5.255,0.187,0.21
68-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
68-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
69-1,0.08,5.975,0.68,0.08,5.868,1.254,0.66
69-2,1.00,5.100,1.00,1.00,5.098,0.178,1.00
70-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
70-2,1.00,4.745,0.30,1.00,4.736,0.172,0.31
70-3,1.00,4.746,0.34,1.00,4.739,0.171,0.34
72-1,0.98,5.378,0.61,0.98,5.357,0.193,0.58
72-2,0.98,5.211,0.12,0.98,5.209,0.194,0.11
73-1,1.00,7.580,1.00,1.00,7.588,0.444,1.00
73-2,1.00,7.142,1.00,1.00,7.149,0.351,1.00
73-3,1.00,46.367,1.00,1.00,46.358,1.650,1.00
74-1,0.58,5.308,0.51,0.58,5.287,0.235,0.60
74-2,0.99,5.248,0.73,0.99,5.243,0.176,0.75
