ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
BLAST-S11,0.99,0.297,0.51,1.00,0.298,0.013,0.51
BLAST-S14,1.00,0.329,0.55,1.00,0.332,0.013,0.59
Naive-S11,1.00,0.315,0.28,1.00,0.315,0.009,0.28
Naive-S14,1.00,0.315,0.29,1.00,0.315,0.009,0.29
101-1,0.96,0.327,0.36,0.96,0.327,0.012,0.36
101-2,0.23,0.357,0.20,0.23,0.358,0.024,0.19
101-3,0.96,0.349,0.33,0.96,0.350,0.013,0.35
102-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-1,0.00,0.326,0.23,0.00,0.326,0.000,0.23
103-2,0.00,0.326,0.23,0.00,0.326,0.000,0.23
103-3,0.57,0.364,0.17,0.57,0.364,0.017,0.18
104-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
105-1,1.00,0.300,0.92,1.00,0.300,0.012,0.92
105-2,0.99,0.334,0.98,0.99,0.335,0.012,0.98
105-3,0.99,0.318,1.00,0.99,0.317,0.013,1.00
106-1,0.42,0.317,0.11,0.42,0.318,0.018,0.11
106-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
106-3,0.30,0.330,0.11,0.30,0.332,0.021,0.12
107-1,1.00,0.267,1.00,1.00,0.270,0.012,0.89
107-2,1.00,0.326,0.03,1.00,0.326,0.012,0.03
107-3,0.00,0.071,0.01,0.00,0.071,0.000,0.01
108-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
109-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
110-1,1.00,0.393,0.29,1.00,0.393,0.011,0.29
110-2,0.96,0.292,0.46,0.96,0.293,0.012,0.46
110-3,0.99,0.250,0.44,0.99,0.253,0.010,0.36
111-1,0.96,0.393,0.29,0.96,0.393,0.011,0.29
111-2,0.99,0.240,0.45,0.99,0.242,0.010,0.37
111-3,0.19,0.375,0.02,0.19,0.374,0.028,0.02
112-1,0.99,0.298,0.46,1.00,0.301,0.011,0.49
112-2,0.99,0.303,0.51,1.00,0.304,0.011,0.48
112-3,0.99,0.294,0.46,0.99,0.295,0.011,0.47
113-1,0.99,0.297,0.44,0.99,0.298,0.011,0.46
113-2,0.79,0.150,0.98,0.79,0.152,0.010,0.81
113-3,0.42,0.348,0.38,0.42,0.348,0.019,0.37
114-1,1.00,0.363,0.93,1.00,0.365,0.013,0.95
115-1,1.00,0.362,0.30,1.00,0.364,0.012,0.27
116-1,0.71,0.320,0.25,0.71,0.320,0.015,0.17
116-2,0.51,0.298,0.29,0.51,0.298,0.018,0.28
117-1,1.00,0.340,0.12,1.00,0.340,0.011,0.12
117-2,0.18,0.253,1.00,0.18,0.251,0.027,1.00
119-1,0.99,0.347,0.81,0.99,0.347,0.013,0.80
120-1,1.00,0.365,0.97,1.00,0.366,0.013,0.97
120-2,1.00,0.366,0.77,1.00,0.367,0.012,0.75
120-3,0.99,0.339,0.64,0.99,0.339,0.013,0.63
121-1,0.71,0.373,0.43,0.71,0.372,0.016,0.49
121-2,0.07,0.472,0.72,0.07,0.467,0.058,0.72
121-3,0.72,0.365,0.02,0.72,0.366,0.015,0.02
