ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
BLAST-S11,1.00,0.363,0.45,1.00,0.365,0.011,0.45
BLAST-S14,0.99,0.381,0.51,0.99,0.384,0.012,0.50
Naive-S11,1.00,0.477,0.55,1.00,0.477,0.012,0.55
Naive-S14,1.00,0.477,0.56,1.00,0.477,0.012,0.55
101-1,0.95,0.426,0.36,0.95,0.426,0.012,0.36
101-2,0.17,0.166,0.02,0.17,0.166,0.015,0.05
101-3,0.95,0.462,0.17,0.95,0.463,0.012,0.18
102-1,0.00,0.006,0.00,0.00,0.006,0.000,0.00
102-2,0.00,0.006,0.00,0.00,0.006,0.000,0.00
102-3,0.00,0.006,0.00,0.00,0.006,0.000,0.00
103-1,0.00,0.006,0.00,0.00,0.006,0.000,0.00
103-2,0.00,0.006,0.00,0.00,0.006,0.000,0.00
103-3,0.62,0.355,0.17,0.62,0.354,0.014,0.17
104-1,0.00,0.006,0.00,0.00,0.006,0.000,0.00
104-2,0.00,0.006,0.00,0.00,0.006,0.000,0.00
104-3,0.00,0.006,0.00,0.00,0.006,0.000,0.00
105-1,1.00,0.409,0.92,1.00,0.409,0.012,0.92
105-2,0.99,0.439,0.98,0.99,0.440,0.012,0.98
105-3,1.00,0.422,1.00,1.00,0.422,0.012,1.00
106-1,0.43,0.256,0.03,0.43,0.255,0.015,0.03
106-2,0.00,0.006,0.00,0.00,0.006,0.000,0.00
106-3,0.31,0.225,0.03,0.31,0.225,0.015,0.03
107-1,1.00,0.360,1.00,1.00,0.361,0.012,0.92
107-2,1.00,0.437,0.02,1.00,0.438,0.012,0.02
107-3,0.00,0.006,0.00,0.00,0.006,0.000,0.00
108-1,0.00,0.006,0.00,0.00,0.006,0.000,0.00
109-1,0.00,0.006,0.00,0.00,0.006,0.000,0.00
110-1,1.00,0.460,0.29,1.00,0.460,0.011,0.29
110-2,0.96,0.409,0.48,0.96,0.411,0.011,0.50
110-3,1.00,0.356,0.48,1.00,0.356,0.011,0.47
111-1,0.95,0.432,0.29,0.95,0.432,0.011,0.29
111-2,0.98,0.347,0.46,0.98,0.348,0.011,0.47
111-3,0.13,0.097,0.01,0.13,0.097,0.012,0.01
112-1,1.00,0.426,0.46,1.00,0.428,0.011,0.46
112-2,1.00,0.426,0.48,1.00,0.428,0.011,0.48
112-3,1.00,0.424,0.42,1.00,0.427,0.011,0.45
113-1,1.00,0.425,0.48,1.00,0.426,0.011,0.46
113-2,0.83,0.295,0.80,0.83,0.297,0.011,0.78
113-3,0.45,0.296,0.39,0.45,0.299,0.012,0.36
114-1,1.00,0.458,0.93,1.00,0.459,0.012,0.93
115-1,1.00,0.472,0.21,1.00,0.473,0.012,0.22
116-1,0.57,0.286,0.13,0.57,0.286,0.015,0.14
116-2,0.34,0.183,0.04,0.34,0.183,0.015,0.10
117-1,1.00,0.446,0.12,1.00,0.448,0.012,0.13
117-2,0.15,0.126,1.00,0.15,0.126,0.014,1.00
119-1,0.97,0.420,0.84,0.97,0.422,0.012,0.79
120-1,1.00,0.459,0.94,1.00,0.461,0.012,0.96
120-2,1.00,0.475,0.71,1.00,0.475,0.011,0.71
120-3,0.99,0.443,0.51,0.99,0.445,0.011,0.52
121-1,0.69,0.397,0.52,0.69,0.398,0.014,0.47
121-2,0.06,0.057,0.61,0.06,0.057,0.011,0.62
121-3,0.74,0.400,0.01,0.74,0.401,0.013,0.01
122-1,0.72,0.388,0.69,0.72,0.388,0.014,0.70
124-1,1.00,0.415,0.36,1.00,0.416,0.010,0.36
124-2,1.00,0.407,0.32,1.00,0.407,0.010,0.32
124-3,1.00,0.430,0.33,1.00,0.430,0.010,0.33
125-1,0.99,0.453,0.91,0.99,0.456,0.012,0.92
125-2,0.98,0.412,0.29,0.98,0.414,0.012,0.31
125-3,1.00,0.375,0.43,1.00,0.378,0.011,0.43
126-1,0.00,0.006,0.00,0.00,0.006,0.000,0.00
127-1,0.98,0.453,0.50,0.98,0.454,0.012,0.49
127-2,0.97,0.470,0.65,0.97,0.471,0.012,0.66
127-3,0.00,0.006,0.00,0.00,0.006,0.000,0.00
128-1,0.59,0.248,0.09,0.59,0.251,0.010,0.07
129-1,1.00,0.486,0.60,1.00,0.486,0.013,0.60
129-2,0.52,0.307,0.53,0.52,0.307,0.013,0.53
129-3,1.00,0.486,0.60,1.00,0.486,0.013,0.60
130-1,0.00,0.006,0.00,0.00,0.006,0.000,0.00
130-2,0.00,0.006,0.00,0.00,0.006,0.000,0.00
130-3,0.00,0.006,0.00,0.00,0.006,0.000,0.00
131-1,0.86,0.428,0.07,0.86,0.429,0.013,0.06
131-2,0.89,0.440,0.04,0.89,0.440,0.013,0.04
131-3,0.99,0.425,0.05,0.99,0.428,0.012,0.05
132-1,1.00,0.435,0.60,1.00,0.437,0.012,0.60
132-2,1.00,0.431,0.60,1.00,0.433,0.012,0.58
65-1,0.97,0.405,0.29,0.97,0.405,0.011,0.28
65-2,0.97,0.388,0.17,0.97,0.389,0.011,0.17
65-3,0.97,0.386,0.18,0.97,0.389,0.011,0.17
68-1,0.00,0.006,0.00,0.00,0.006,0.000,0.00
68-2,0.00,0.006,0.00,0.00,0.006,0.000,0.00
69-1,0.16,0.203,0.15,0.16,0.204,0.015,0.14
69-2,1.00,0.458,0.27,1.00,0.459,0.012,0.26
70-1,0.00,0.006,0.00,0.00,0.006,0.000,0.00
70-2,1.00,0.490,0.32,1.00,0.490,0.012,0.33
70-3,1.00,0.499,0.36,1.00,0.500,0.012,0.35
72-1,0.98,0.475,0.01,0.98,0.475,0.012,0.01
72-2,0.97,0.482,0.01,0.97,0.482,0.012,0.01
73-1,1.00,0.400,0.77,1.00,0.403,0.012,0.72
73-2,1.00,0.406,0.67,1.00,0.408,0.011,0.69
73-3,1.00,0.321,0.95,1.00,0.322,0.011,0.96
74-1,0.56,0.322,0.11,0.56,0.323,0.013,0.08
74-2,0.98,0.448,0.13,0.98,0.449,0.012,0.14
75-1,0.16,0.205,0.20,0.16,0.206,0.015,0.17
75-2,1.00,0.466,0.42,1.00,0.466,0.012,0.43
79-1,0.00,0.006,0.00,0.00,0.006,0.000,0.00
79-2,0.00,0.006,0.00,0.00,0.006,0.000,0.00
79-3,0.00,0.006,0.00,0.00,0.006,0.000,0.00
80-1,0.61,0.340,0.11,0.61,0.341,0.013,0.10
80-2,0.99,0.463,0.29,0.99,0.463,0.012,0.31
81-1,0.98,0.439,0.50,0.98,0.439,0.013,0.50
81-2,0.98,0.439,0.50,0.98,0.439,0.013,0.50
82-1,0.96,0.456,0.50,0.96,0.456,0.012,0.50
83-1,0.97,0.454,0.25,0.97,0.455,0.011,0.28
83-2,0.97,0.458,0.25,0.97,0.458,0.011,0.26
84-1,0.79,0.270,0.04,0.79,0.274,0.009,0.03
85-1,0.96,0.445,0.26,0.96,0.446,0.012,0.30
85-2,0.98,0.467,0.61,0.98,0.468,0.012,0.60
86-1,0.75,0.411,0.30,0.75,0.411,0.014,0.30
86-2,0.75,0.411,0.30,0.75,0.411,0.014,0.30
86-3,0.56,0.357,0.30,0.56,0.358,0.015,0.31
87-1,0.86,0.417,0.27,0.86,0.417,0.012,0.26
87-2,0.86,0.411,0.08,0.86,0.412,0.012,0.12
87-3,0.77,0.412,0.14,0.77,0.412,0.013,0.17
88-1,0.00,0.006,0.00,0.00,0.006,0.000,0.00
89-1,0.00,0.006,0.00,0.00,0.006,0.000,0.00
89-2,0.00,0.006,0.00,0.00,0.006,0.000,0.00
89-3,0.00,0.006,0.00,0.00,0.006,0.000,0.00
91-1,0.28,0.176,0.03,0.28,0.176,0.012,0.03
91-2,0.28,0.179,1.00,0.28,0.179,0.012,1.00
91-3,0.28,0.106,0.52,0.28,0.105,0.010,0.52
93-1,0.00,0.006,0.00,0.00,0.006,0.000,0.00
93-2,0.00,0.006,0.00,0.00,0.006,0.000,0.00
94-1,0.99,0.450,0.71,0.99,0.450,0.012,0.69
95-1,0.00,0.006,0.00,0.00,0.006,0.000,0.00
95-2,0.00,0.006,0.00,0.00,0.006,0.000,0.00
96-1,0.63,0.176,1.00,0.63,0.176,0.007,1.00
96-2,0.63,0.170,1.00,0.63,0.170,0.007,1.00
96-3,0.63,0.169,1.00,0.63,0.169,0.006,1.00
97-1,1.00,0.450,0.05,1.00,0.449,0.013,0.06
97-2,0.00,0.006,0.00,0.00,0.006,0.000,0.00
97-3,0.00,0.006,0.00,0.00,0.006,0.000,0.00
98-1,1.00,0.395,0.50,1.00,0.395,0.011,0.50
99-1,0.98,0.456,0.22,0.98,0.456,0.012,0.22
