ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-S11,1.00,0.632,0.48,1.00,0.631,0.005,0.47
BLAST-S14,0.99,0.620,0.53,0.99,0.620,0.006,0.52
Naive-S11,1.00,0.595,0.28,1.00,0.595,0.004,0.29
Naive-S14,1.00,0.595,0.29,1.00,0.595,0.003,0.29
101-1,0.95,0.632,0.37,0.95,0.630,0.006,0.37
101-2,0.17,0.880,0.01,0.17,0.880,0.011,0.02
101-3,0.95,0.551,0.17,0.95,0.551,0.008,0.17
102-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
102-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
102-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
103-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
103-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
103-3,0.62,0.645,0.17,0.62,0.645,0.011,0.17
104-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
104-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
104-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
105-1,1.00,0.625,0.92,1.00,0.625,0.008,0.92
105-2,0.99,0.585,0.99,0.99,0.585,0.007,0.99
105-3,1.00,0.624,1.00,1.00,0.624,0.009,1.00
106-1,0.43,0.756,0.03,0.43,0.756,0.012,0.03
106-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
106-3,0.31,0.810,0.03,0.31,0.810,0.012,0.03
107-1,1.00,0.635,1.00,1.00,0.636,0.006,0.99
107-2,1.00,0.560,0.03,1.00,0.561,0.008,0.03
107-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
108-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
109-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
110-1,1.00,0.618,0.27,1.00,0.617,0.005,0.22
110-2,0.96,0.599,0.67,0.96,0.599,0.007,0.66
110-3,1.00,0.678,1.00,1.00,0.678,0.005,1.00
111-1,0.95,0.622,0.24,0.95,0.621,0.005,0.23
111-2,0.98,0.659,1.00,0.98,0.659,0.005,1.00
111-3,0.13,0.919,0.01,0.13,0.918,0.009,0.01
112-1,1.00,0.598,0.59,1.00,0.596,0.007,0.61
112-2,1.00,0.597,0.60,1.00,0.596,0.007,0.60
112-3,1.00,0.603,0.57,1.00,0.602,0.006,0.57
113-1,1.00,0.602,0.54,1.00,0.601,0.006,0.56
113-2,0.83,0.678,1.00,0.83,0.678,0.005,1.00
113-3,0.45,0.697,0.11,0.45,0.697,0.008,0.11
114-1,1.00,0.557,1.00,1.00,0.557,0.008,0.99
115-1,1.00,0.555,0.27,1.00,0.554,0.008,0.28
116-1,0.57,0.702,0.04,0.57,0.702,0.011,0.08
116-2,0.34,0.826,0.04,0.34,0.826,0.011,0.10
117-1,1.00,0.589,0.12,1.00,0.588,0.006,0.12
117-2,0.15,0.891,1.00,0.15,0.891,0.011,1.00
119-1,0.97,0.601,0.90,0.97,0.599,0.006,0.87
120-1,1.00,0.557,1.00,1.00,0.556,0.008,1.00
120-2,1.00,0.560,0.74,1.00,0.559,0.006,0.74
120-3,0.99,0.567,0.59,0.99,0.565,0.007,0.60
121-1,0.69,0.614,0.27,0.69,0.614,0.011,0.37
121-2,0.06,0.964,0.61,0.06,0.964,0.007,0.62
121-3,0.74,0.593,0.01,0.74,0.593,0.009,0.01
122-1,0.72,0.614,0.69,0.72,0.615,0.009,0.69
124-1,1.00,0.617,0.36,1.00,0.616,0.004,0.37
124-2,1.00,0.631,0.33,1.00,0.631,0.003,0.33
124-3,1.00,0.616,0.36,1.00,0.616,0.004,0.35
125-1,0.99,0.557,1.00,0.99,0.557,0.008,1.00
125-2,0.98,0.597,0.38,0.98,0.596,0.007,0.38
125-3,1.00,0.627,0.49,1.00,0.626,0.005,0.50
126-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
