ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-S11,1.00,4.537,0.95,1.00,4.530,0.166,0.94
BLAST-S14,0.99,4.532,0.95,0.99,4.527,0.165,0.96
Naive-S11,1.00,4.209,0.32,1.00,4.210,0.165,0.32
Naive-S14,1.00,4.259,0.48,1.00,4.260,0.167,0.48
101-1,0.95,4.651,0.49,0.95,4.645,0.170,0.48
101-2,0.17,4.521,0.10,0.17,4.519,0.168,0.11
101-3,0.95,4.220,0.68,0.95,4.219,0.160,0.71
102-1,0.00,4.735,1.00,0.00,4.736,0.172,1.00
102-2,0.00,4.735,1.00,0.00,4.736,0.172,1.00
102-3,0.00,4.735,1.00,0.00,4.736,0.172,1.00
103-1,0.00,4.735,1.00,0.00,4.736,0.172,1.00
103-2,0.00,4.735,1.00,0.00,4.736,0.172,1.00
103-3,0.62,4.264,0.33,0.62,4.266,0.163,0.33
104-1,0.00,4.735,1.00,0.00,4.736,0.172,1.00
104-2,0.00,4.735,1.00,0.00,4.736,0.172,1.00
104-3,0.00,4.735,1.00,0.00,4.736,0.172,1.00
105-1,1.00,4.550,0.95,1.00,4.548,0.164,0.95
105-2,0.99,11.969,1.00,0.99,11.978,1.099,1.00
105-3,1.00,19.098,1.00,1.00,19.102,1.252,1.00
106-1,0.43,4.492,0.29,0.43,4.483,0.166,0.35
106-2,0.00,4.735,1.00,0.00,4.736,0.172,1.00
106-3,0.31,4.531,0.29,0.31,4.523,0.167,0.27
107-1,1.00,18.211,1.00,1.00,18.206,0.959,1.00
107-2,1.00,4.437,0.07,1.00,4.435,0.167,0.07
107-3,0.00,4.735,1.00,0.00,4.736,0.172,1.00
108-1,0.00,4.735,1.00,0.00,4.736,0.172,1.00
109-1,0.00,4.735,1.00,0.00,4.736,0.172,1.00
110-1,1.00,4.617,1.00,1.00,4.621,0.166,1.00
110-2,0.96,4.559,1.00,0.96,4.560,0.163,1.00
110-3,1.00,9.587,1.00,1.00,9.589,0.233,1.00
111-1,0.95,4.668,1.00,0.95,4.671,0.166,1.00
111-2,0.98,8.533,1.00,0.98,8.536,0.232,1.00
