ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
BLAST-S11,1.00,0.363,0.45,1.00,0.366,0.011,0.45
BLAST-S14,0.99,0.382,0.51,0.99,0.385,0.012,0.50
Naive-S11,1.00,0.477,0.55,1.00,0.477,0.012,0.55
Naive-S14,1.00,0.477,0.56,1.00,0.477,0.012,0.55
101-1,0.95,0.434,0.36,0.95,0.434,0.012,0.36
101-2,0.17,0.518,0.19,0.17,0.519,0.029,0.16
101-3,0.95,0.474,0.17,0.95,0.475,0.013,0.18
102-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-3,0.62,0.460,0.17,0.62,0.460,0.016,0.17
104-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
105-1,1.00,0.409,0.92,1.00,0.409,0.012,0.92
105-2,0.99,0.440,0.98,0.99,0.441,0.012,0.98
105-3,1.00,0.422,1.00,1.00,0.423,0.012,1.00
106-1,0.43,0.425,0.03,0.43,0.425,0.021,0.05
106-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
106-3,0.31,0.462,0.03,0.31,0.462,0.023,0.05
107-1,1.00,0.360,1.00,1.00,0.361,0.012,0.92
107-2,1.00,0.438,0.02,1.00,0.439,0.012,0.02
107-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
108-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
109-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
110-1,1.00,0.461,0.29,1.00,0.461,0.011,0.29
110-2,0.96,0.416,0.48,0.96,0.418,0.012,0.51
110-3,1.00,0.357,0.48,1.00,0.357,0.011,0.47
111-1,0.95,0.442,0.29,0.95,0.442,0.011,0.29
111-2,0.98,0.350,0.46,0.98,0.350,0.011,0.47
111-3,0.13,0.399,0.01,0.13,0.402,0.033,0.09
112-1,1.00,0.426,0.46,1.00,0.429,0.011,0.47
112-2,1.00,0.427,0.48,1.00,0.429,0.011,0.48
112-3,1.00,0.425,0.42,1.00,0.427,0.011,0.45
113-1,1.00,0.426,0.48,1.00,0.427,0.011,0.46
113-2,0.83,0.318,0.90,0.83,0.320,0.011,0.83
113-3,0.45,0.417,0.48,0.45,0.420,0.017,0.52
114-1,1.00,0.458,0.93,1.00,0.459,0.012,0.93
115-1,1.00,0.472,0.21,1.00,0.473,0.012,0.22
116-1,0.57,0.402,0.13,0.57,0.402,0.018,0.16
116-2,0.34,0.384,0.13,0.34,0.384,0.024,0.16
117-1,1.00,0.446,0.12,1.00,0.448,0.012,0.13
117-2,0.15,0.411,1.00,0.15,0.410,0.036,1.00
119-1,0.97,0.425,0.84,0.97,0.427,0.012,0.79
120-1,1.00,0.459,0.94,1.00,0.461,0.012,0.96
120-2,1.00,0.475,0.71,1.00,0.475,0.011,0.71
120-3,0.99,0.445,0.51,0.99,0.447,0.011,0.52
121-1,0.69,0.487,0.52,0.69,0.487,0.016,0.51
121-2,0.06,0.591,0.61,0.06,0.588,0.048,0.62
121-3,0.74,0.465,0.02,0.74,0.466,0.015,0.02
122-1,0.72,0.456,0.72,0.72,0.456,0.015,0.71
124-1,1.00,0.416,0.36,1.00,0.416,0.010,0.36
124-2,1.00,0.407,0.32,1.00,0.408,0.010,0.32
124-3,1.00,0.430,0.33,1.00,0.430,0.010,0.33
125-1,0.99,0.456,0.91,0.99,0.458,0.012,0.92
125-2,0.98,0.414,0.29,0.98,0.416,0.012,0.31
125-3,1.00,0.375,0.43,1.00,0.378,0.011,0.43
126-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
127-1,0.98,0.456,0.50,0.98,0.458,0.012,0.49
