ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-S11,1.00,0.631,0.48,1.00,0.630,0.005,0.47
BLAST-S14,0.99,0.620,0.53,0.99,0.620,0.006,0.53
Naive-S11,1.00,0.595,0.28,1.00,0.595,0.004,0.29
Naive-S14,1.00,0.595,0.29,1.00,0.595,0.003,0.29
101-1,0.95,0.625,0.37,0.95,0.626,0.006,0.37
101-2,0.17,0.533,0.19,0.17,0.532,0.020,0.16
101-3,0.95,0.544,0.17,0.95,0.543,0.008,0.19
102-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-3,0.62,0.541,0.17,0.62,0.542,0.011,0.17
104-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
105-1,1.00,0.625,0.92,1.00,0.625,0.008,0.92
105-2,0.99,0.585,0.99,0.99,0.585,0.008,0.99
105-3,1.00,0.625,1.00,1.00,0.625,0.009,1.00
106-1,0.43,0.555,0.03,0.43,0.555,0.012,0.03
106-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
106-3,0.31,0.546,0.03,0.31,0.547,0.015,0.04
107-1,1.00,0.636,1.00,1.00,0.636,0.006,0.99
107-2,1.00,0.560,0.03,1.00,0.560,0.008,0.03
107-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
108-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
109-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
110-1,1.00,0.617,0.27,1.00,0.616,0.005,0.22
110-2,0.96,0.595,0.67,0.96,0.594,0.007,0.68
110-3,1.00,0.679,1.00,1.00,0.679,0.005,1.00
111-1,0.95,0.615,0.24,0.95,0.615,0.005,0.26
111-2,0.98,0.660,1.00,0.98,0.660,0.005,1.00
111-3,0.13,0.639,0.64,0.13,0.639,0.013,0.59
112-1,1.00,0.597,0.59,1.00,0.596,0.007,0.61
112-2,1.00,0.597,0.60,1.00,0.596,0.007,0.60
112-3,1.00,0.603,0.57,1.00,0.602,0.006,0.57
113-1,1.00,0.602,0.54,1.00,0.601,0.007,0.56
113-2,0.83,0.729,1.00,0.83,0.729,0.007,1.00
113-3,0.45,0.632,0.67,0.45,0.631,0.008,0.66
114-1,1.00,0.557,1.00,1.00,0.557,0.008,0.99
115-1,1.00,0.555,0.27,1.00,0.554,0.008,0.28
116-1,0.57,0.559,0.13,0.57,0.559,0.010,0.15
116-2,0.34,0.562,0.04,0.34,0.563,0.015,0.12
117-1,1.00,0.589,0.12,1.00,0.588,0.006,0.12
117-2,0.15,0.640,1.00,0.15,0.641,0.026,1.00
