ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
BLAST-S11,0.98,0.329,0.41,0.98,0.330,0.008,0.41
BLAST-S14,0.99,0.348,0.44,0.99,0.349,0.008,0.44
Naive-S11,1.00,0.451,0.28,1.00,0.452,0.008,0.32
Naive-S14,1.00,0.463,0.32,1.00,0.463,0.008,0.32
101-1,0.90,0.402,0.36,0.90,0.402,0.008,0.36
101-2,0.21,0.158,0.01,0.21,0.158,0.010,0.03
101-3,0.90,0.412,0.11,0.90,0.413,0.008,0.14
102-1,0.00,0.006,0.00,0.00,0.006,0.000,0.00
102-2,0.00,0.006,0.00,0.00,0.006,0.000,0.00
102-3,0.00,0.006,0.00,0.00,0.006,0.000,0.00
103-1,0.00,0.006,0.00,0.00,0.006,0.000,0.00
103-2,0.00,0.006,0.00,0.00,0.006,0.000,0.00
103-3,0.52,0.300,0.17,0.52,0.300,0.010,0.17
104-1,0.00,0.006,0.00,0.00,0.006,0.000,0.00
104-2,0.00,0.006,0.00,0.00,0.006,0.000,0.00
104-3,0.00,0.006,0.00,0.00,0.006,0.000,0.00
105-1,0.99,0.376,0.91,0.99,0.377,0.008,0.90
105-2,0.98,0.415,0.98,0.98,0.415,0.009,0.98
105-3,0.98,0.402,0.99,0.98,0.402,0.008,0.99
106-1,0.35,0.207,0.07,0.35,0.207,0.010,0.06
106-2,0.00,0.006,0.00,0.00,0.006,0.000,0.00
106-3,0.23,0.165,0.07,0.23,0.165,0.010,0.05
107-1,1.00,0.345,0.72,1.00,0.346,0.008,0.74
107-2,1.00,0.408,0.03,1.00,0.408,0.009,0.03
107-3,0.00,0.006,0.00,0.00,0.006,0.000,0.00
108-1,0.00,0.006,0.00,0.00,0.006,0.000,0.00
109-1,0.00,0.006,0.00,0.00,0.006,0.000,0.00
110-1,0.99,0.456,0.29,0.99,0.455,0.008,0.29
110-2,0.94,0.399,0.39,0.94,0.400,0.008,0.38
110-3,1.00,0.354,0.29,1.00,0.355,0.008,0.32
111-1,0.95,0.434,0.29,0.95,0.434,0.008,0.29
111-2,0.99,0.348,0.29,0.99,0.348,0.008,0.31
111-3,0.12,0.107,0.01,0.12,0.107,0.009,0.01
112-1,0.99,0.399,0.45,0.99,0.399,0.008,0.46
112-2,0.99,0.402,0.45,0.99,0.402,0.008,0.45
112-3,0.96,0.395,0.45,0.96,0.396,0.008,0.46
113-1,0.96,0.398,0.45,0.96,0.398,0.008,0.45
113-2,0.78,0.274,0.65,0.78,0.275,0.008,0.58
113-3,0.32,0.256,0.26,0.32,0.257,0.009,0.28
114-1,1.00,0.435,0.87,1.00,0.436,0.008,0.87
115-1,1.00,0.437,0.23,1.00,0.437,0.009,0.23
116-1,0.69,0.321,0.06,0.69,0.321,0.010,0.07
116-2,0.50,0.238,0.06,0.50,0.238,0.010,0.05
117-1,1.00,0.422,0.12,1.00,0.422,0.009,0.12
117-2,0.13,0.101,1.00,0.13,0.101,0.009,1.00
119-1,0.94,0.403,0.66,0.94,0.404,0.009,0.69
120-1,1.00,0.438,0.94,1.00,0.438,0.009,0.94
120-2,1.00,0.445,0.72,1.00,0.446,0.008,0.72
120-3,1.00,0.421,0.48,1.00,0.422,0.008,0.50
121-1,0.65,0.343,0.43,0.65,0.343,0.010,0.44
121-2,0.04,0.038,0.61,0.04,0.038,0.007,0.62
121-3,0.68,0.353,0.01,0.68,0.353,0.010,0.01
122-1,0.59,0.329,0.69,0.59,0.329,0.010,0.69
124-1,1.00,0.410,0.33,1.00,0.410,0.008,0.33
124-2,1.00,0.406,0.32,1.00,0.406,0.008,0.32
124-3,1.00,0.411,0.33,1.00,0.411,0.008,0.33
125-1,1.00,0.434,0.85,1.00,0.434,0.008,0.85
125-2,0.94,0.395,0.29,0.94,0.395,0.009,0.29
125-3,1.00,0.346,0.38,1.00,0.347,0.008,0.37
126-1,0.00,0.006,0.00,0.00,0.006,0.000,0.00
127-1,0.91,0.424,0.56,0.91,0.424,0.009,0.56
127-2,0.90,0.428,0.71,0.90,0.429,0.009,0.69
127-3,0.00,0.006,0.00,0.00,0.006,0.000,0.00
128-1,0.47,0.226,0.01,0.47,0.226,0.007,0.01
129-1,0.98,0.451,0.57,0.98,0.452,0.009,0.58
129-2,0.38,0.264,0.54,0.38,0.264,0.009,0.53
129-3,0.98,0.451,0.57,0.98,0.452,0.009,0.58
130-1,0.00,0.006,0.00,0.00,0.006,0.000,0.00
130-2,0.00,0.006,0.00,0.00,0.006,0.000,0.00
130-3,0.00,0.006,0.00,0.00,0.006,0.000,0.00
131-1,0.81,0.385,0.05,0.81,0.385,0.009,0.05
131-2,0.84,0.399,0.03,0.84,0.399,0.010,0.03
131-3,0.98,0.398,0.05,0.98,0.399,0.008,0.05
132-1,0.99,0.395,0.53,0.99,0.396,0.008,0.52
132-2,0.96,0.392,0.53,0.96,0.393,0.008,0.54
65-1,0.82,0.314,0.14,0.82,0.315,0.008,0.14
65-2,0.79,0.292,0.09,0.79,0.294,0.007,0.09
65-3,0.82,0.306,0.09,0.82,0.307,0.007,0.09
68-1,0.00,0.006,0.00,0.00,0.006,0.000,0.00
68-2,0.00,0.006,0.00,0.00,0.006,0.000,0.00
69-1,0.10,0.129,0.06,0.10,0.129,0.009,0.06
69-2,1.00,0.429,0.25,1.00,0.430,0.008,0.27
70-1,0.00,0.006,0.00,0.00,0.006,0.000,0.00
70-2,0.99,0.470,0.31,0.99,0.471,0.008,0.30
70-3,0.99,0.460,0.37,0.99,0.460,0.009,0.35
72-1,0.98,0.448,0.01,0.98,0.448,0.009,0.01
72-2,0.98,0.458,0.01,0.98,0.458,0.009,0.01
73-1,1.00,0.373,0.71,1.00,0.374,0.008,0.70
73-2,1.00,0.373,0.71,1.00,0.373,0.008,0.71
73-3,0.99,0.334,1.00,0.99,0.334,0.008,1.00
74-1,0.54,0.316,0.03,0.54,0.316,0.009,0.03
74-2,0.99,0.406,0.09,0.99,0.407,0.008,0.10
75-1,0.10,0.130,0.06,0.10,0.131,0.010,0.07
75-2,1.00,0.434,0.40,1.00,0.435,0.009,0.50
79-1,0.00,0.006,0.00,0.00,0.006,0.000,0.00
79-2,0.00,0.006,0.00,0.00,0.006,0.000,0.00
79-3,0.00,0.006,0.00,0.00,0.006,0.000,0.00
80-1,0.57,0.326,0.03,0.57,0.326,0.009,0.03
80-2,0.99,0.418,0.12,0.99,0.419,0.008,0.15
81-1,0.98,0.409,0.50,0.98,0.409,0.009,0.50
81-2,0.98,0.409,0.45,0.98,0.409,0.009,0.47
82-1,0.87,0.414,0.50,0.87,0.414,0.008,0.50
83-1,0.94,0.429,0.23,0.94,0.430,0.008,0.22
83-2,0.94,0.432,0.23,0.94,0.432,0.008,0.22
84-1,0.80,0.291,0.02,0.80,0.292,0.007,0.02
85-1,0.95,0.433,0.36,0.95,0.434,0.009,0.38
85-2,0.99,0.459,0.61,0.99,0.459,0.008,0.62
86-1,0.96,0.435,0.42,0.96,0.436,0.009,0.50
86-2,0.96,0.435,0.42,0.96,0.436,0.009,0.50
86-3,0.88,0.410,0.31,0.88,0.410,0.009,0.32
87-1,0.87,0.399,0.14,0.87,0.399,0.009,0.14
87-2,0.87,0.401,0.07,0.87,0.401,0.009,0.08
87-3,0.72,0.369,0.14,0.72,0.370,0.009,0.16
88-1,0.00,0.006,0.00,0.00,0.006,0.000,0.00
89-1,0.00,0.006,0.00,0.00,0.006,0.000,0.00
89-2,0.00,0.006,0.00,0.00,0.006,0.000,0.00
89-3,0.00,0.006,0.00,0.00,0.006,0.000,0.00
91-1,0.21,0.160,0.03,0.21,0.160,0.009,0.03
91-2,0.21,0.163,1.00,0.21,0.163,0.009,1.00
91-3,0.21,0.109,0.52,0.21,0.109,0.007,0.52
93-1,0.00,0.006,0.00,0.00,0.006,0.000,0.00
93-2,0.00,0.006,0.00,0.00,0.006,0.000,0.00
94-1,0.98,0.416,0.43,0.98,0.418,0.009,0.52
95-1,0.00,0.006,0.00,0.00,0.006,0.000,0.00
95-2,0.00,0.006,0.00,0.00,0.006,0.000,0.00
96-1,0.74,0.186,1.00,0.74,0.186,0.005,1.00
96-2,0.75,0.184,1.00,0.75,0.184,0.005,1.00
96-3,0.75,0.179,1.00,0.75,0.179,0.005,1.00
97-1,1.00,0.430,0.01,1.00,0.430,0.009,0.02
97-2,0.00,0.006,0.00,0.00,0.006,0.000,0.00
97-3,0.00,0.006,0.00,0.00,0.006,0.000,0.00
98-1,0.99,0.360,0.50,0.99,0.360,0.007,0.50
99-1,0.97,0.442,0.16,0.97,0.442,0.009,0.16
