ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
BLAST-S11,0.97,0.310,0.32,0.97,0.311,0.011,0.32
BLAST-S14,0.98,0.299,0.34,0.98,0.303,0.011,0.36
Naive-S11,1.00,0.442,0.28,1.00,0.442,0.011,0.30
Naive-S14,1.00,0.457,0.32,1.00,0.457,0.011,0.32
101-1,0.84,0.396,0.36,0.84,0.396,0.012,0.34
101-2,0.19,0.131,0.01,0.19,0.131,0.013,0.03
101-3,0.84,0.405,0.04,0.84,0.406,0.012,0.06
102-1,0.00,0.006,0.00,0.00,0.006,0.000,0.00
102-2,0.00,0.006,0.00,0.00,0.006,0.000,0.00
102-3,0.00,0.006,0.00,0.00,0.006,0.000,0.00
103-1,0.02,0.027,0.01,0.02,0.027,0.008,0.02
103-2,0.02,0.039,0.01,0.02,0.039,0.009,0.02
103-3,0.47,0.277,0.17,0.47,0.277,0.015,0.17
104-1,0.00,0.006,0.00,0.00,0.006,0.000,0.00
104-2,0.00,0.006,0.00,0.00,0.006,0.000,0.00
104-3,0.00,0.006,0.00,0.00,0.006,0.000,0.00
105-1,0.98,0.370,0.86,0.98,0.373,0.012,0.87
105-2,0.96,0.410,0.98,0.96,0.410,0.012,0.98
105-3,0.96,0.409,0.99,0.96,0.409,0.012,0.99
106-1,0.29,0.178,0.03,0.29,0.177,0.014,0.05
106-2,0.00,0.006,0.00,0.00,0.006,0.000,0.00
106-3,0.17,0.126,0.03,0.17,0.125,0.013,0.04
107-1,0.99,0.360,0.72,0.99,0.360,0.012,0.72
107-2,0.99,0.406,0.03,0.99,0.407,0.012,0.03
107-3,0.03,0.046,0.01,0.03,0.045,0.009,0.01
108-1,0.00,0.006,0.00,0.00,0.006,0.000,0.00
109-1,0.00,0.006,0.00,0.00,0.006,0.000,0.00
110-1,0.98,0.437,0.29,0.98,0.437,0.012,0.28
110-2,0.92,0.392,0.32,0.92,0.394,0.011,0.34
110-3,1.00,0.346,0.29,1.00,0.346,0.011,0.31
111-1,0.93,0.415,0.29,0.93,0.414,0.012,0.29
111-2,0.99,0.340,0.29,0.99,0.341,0.011,0.31
111-3,0.05,0.035,0.02,0.05,0.035,0.008,0.06
112-1,0.98,0.380,0.45,0.98,0.381,0.011,0.45
112-2,0.98,0.381,0.45,0.98,0.382,0.011,0.45
112-3,0.94,0.375,0.45,0.94,0.376,0.011,0.46
113-1,0.94,0.376,0.45,0.94,0.376,0.012,0.45
113-2,0.77,0.269,0.49,0.77,0.270,0.010,0.52
113-3,0.23,0.211,0.33,0.23,0.212,0.012,0.31
114-1,1.00,0.439,0.84,1.00,0.441,0.012,0.85
115-1,1.00,0.433,0.23,1.00,0.433,0.012,0.23
116-1,0.68,0.320,0.06,0.68,0.320,0.014,0.06
116-2,0.49,0.232,0.02,0.49,0.232,0.015,0.04
117-1,1.00,0.401,0.11,1.00,0.401,0.012,0.11
117-2,0.09,0.071,1.00,0.09,0.071,0.011,1.00
119-1,0.90,0.385,0.52,0.90,0.386,0.012,0.55
120-1,1.00,0.440,0.93,1.00,0.441,0.012,0.93
120-2,1.00,0.435,0.72,1.00,0.435,0.012,0.71
120-3,1.00,0.408,0.56,1.00,0.411,0.011,0.53
121-1,0.60,0.324,0.52,0.60,0.324,0.015,0.48
121-2,0.01,0.011,0.61,0.01,0.011,0.005,0.52
121-3,0.63,0.335,0.01,0.63,0.334,0.015,0.01
122-1,0.43,0.252,0.69,0.43,0.252,0.015,0.69
124-1,1.00,0.409,0.39,1.00,0.411,0.011,0.37
124-2,1.00,0.399,0.31,1.00,0.400,0.011,0.33
124-3,1.00,0.407,0.33,1.00,0.407,0.011,0.33
125-1,0.99,0.439,0.85,0.99,0.440,0.012,0.84
125-2,0.89,0.392,0.27,0.89,0.393,0.012,0.27
125-3,0.99,0.331,0.30,0.99,0.332,0.012,0.31
