ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
BLAST-S11,0.97,0.312,0.32,0.97,0.314,0.011,0.33
BLAST-S14,0.98,0.301,0.34,0.98,0.305,0.011,0.36
Naive-S11,1.00,0.442,0.28,1.00,0.442,0.011,0.30
Naive-S14,1.00,0.457,0.32,1.00,0.457,0.011,0.32
101-1,0.84,0.425,0.36,0.84,0.425,0.013,0.34
101-2,0.19,0.366,0.09,0.19,0.367,0.027,0.10
101-3,0.84,0.437,0.09,0.84,0.439,0.013,0.10
102-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-1,0.02,0.654,0.15,0.02,0.662,0.052,0.13
103-2,0.02,0.651,0.02,0.02,0.661,0.048,0.04
103-3,0.47,0.439,0.17,0.47,0.438,0.019,0.17
104-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
105-1,0.98,0.373,0.86,0.98,0.376,0.012,0.87
105-2,0.96,0.416,0.98,0.96,0.416,0.012,0.98
105-3,0.96,0.415,0.99,0.96,0.415,0.012,0.99
106-1,0.29,0.409,0.07,0.29,0.409,0.024,0.06
106-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
106-3,0.17,0.435,0.07,0.17,0.435,0.031,0.05
107-1,0.99,0.360,0.72,0.99,0.360,0.012,0.72
107-2,0.99,0.407,0.03,0.99,0.408,0.012,0.03
107-3,0.03,0.664,0.02,0.03,0.665,0.051,0.03
108-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
109-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
110-1,0.98,0.441,0.29,0.98,0.441,0.012,0.28
110-2,0.92,0.406,0.37,0.92,0.408,0.012,0.35
110-3,1.00,0.347,0.29,1.00,0.347,0.011,0.31
111-1,0.93,0.430,0.29,0.93,0.430,0.012,0.29
111-2,0.99,0.342,0.29,0.99,0.342,0.011,0.32
111-3,0.05,0.296,0.16,0.05,0.300,0.052,0.31
112-1,0.98,0.383,0.45,0.98,0.384,0.011,0.45
112-2,0.98,0.384,0.45,0.98,0.384,0.012,0.45
112-3,0.94,0.385,0.45,0.94,0.386,0.012,0.46
113-1,0.94,0.386,0.45,0.94,0.386,0.012,0.45
113-2,0.77,0.297,0.65,0.77,0.298,0.011,0.63
113-3,0.23,0.456,0.68,0.23,0.457,0.024,0.67
114-1,1.00,0.439,0.84,1.00,0.441,0.012,0.85
115-1,1.00,0.433,0.23,1.00,0.433,0.012,0.23
116-1,0.68,0.398,0.06,0.68,0.397,0.016,0.09
116-2,0.49,0.372,0.02,0.49,0.372,0.020,0.06
117-1,1.00,0.401,0.11,1.00,0.401,0.012,0.11
117-2,0.09,0.381,1.00,0.09,0.380,0.041,1.00
119-1,0.90,0.401,0.52,0.90,0.403,0.013,0.58
120-1,1.00,0.440,0.93,1.00,0.441,0.012,0.93
120-2,1.00,0.435,0.72,1.00,0.435,0.012,0.71
120-3,1.00,0.408,0.56,1.00,0.411,0.011,0.53
121-1,0.60,0.435,0.52,0.60,0.434,0.018,0.49
121-2,0.01,0.446,0.61,0.01,0.424,0.117,0.66
121-3,0.63,0.430,0.01,0.63,0.430,0.017,0.01
122-1,0.43,0.431,0.69,0.43,0.431,0.020,0.69
124-1,1.00,0.410,0.39,1.00,0.412,0.011,0.37
124-2,1.00,0.399,0.31,1.00,0.400,0.011,0.33
124-3,1.00,0.407,0.33,1.00,0.407,0.011,0.34
125-1,0.99,0.441,0.85,0.99,0.442,0.012,0.84
125-2,0.89,0.409,0.27,0.89,0.411,0.013,0.27
125-3,0.99,0.331,0.30,0.99,0.333,0.012,0.31
126-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
127-1,0.84,0.427,0.56,0.84,0.430,0.013,0.53
127-2,0.83,0.443,0.66,0.83,0.444,0.013,0.67
127-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
128-1,0.41,0.275,0.01,0.41,0.281,0.014,0.04
129-1,0.96,0.438,0.56,0.96,0.440,0.012,0.57
129-2,0.35,0.441,0.60,0.35,0.443,0.020,0.59
129-3,0.96,0.437,0.55,0.96,0.439,0.012,0.57
130-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
131-1,0.69,0.407,0.04,0.69,0.407,0.016,0.05
131-2,0.74,0.416,0.03,0.74,0.416,0.015,0.04
131-3,0.97,0.394,0.05,0.97,0.395,0.011,0.05
132-1,0.98,0.378,0.46,0.98,0.381,0.012,0.53
132-2,0.94,0.384,0.56,0.94,0.386,0.012,0.57
65-1,0.76,0.319,0.12,0.76,0.325,0.011,0.13
65-2,0.72,0.304,0.09,0.72,0.306,0.012,0.10
65-3,0.76,0.308,0.10,0.76,0.313,0.011,0.08
68-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
68-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
69-1,0.15,0.594,0.36,0.15,0.597,0.025,0.41
69-2,1.00,0.425,0.34,1.00,0.426,0.012,0.31
70-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
70-2,0.98,0.460,0.28,0.98,0.461,0.012,0.29
70-3,0.98,0.443,0.37,0.98,0.443,0.013,0.36
72-1,0.97,0.450,0.01,0.97,0.450,0.012,0.01
72-2,0.97,0.456,0.01,0.97,0.456,0.013,0.01
73-1,1.00,0.377,0.71,1.00,0.378,0.012,0.72
73-2,1.00,0.376,0.71,1.00,0.377,0.012,0.72
