ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-S11,0.97,0.655,0.38,0.97,0.655,0.004,0.38
BLAST-S14,0.98,0.655,0.40,0.98,0.654,0.005,0.40
Naive-S11,1.00,0.586,0.28,1.00,0.586,0.003,0.28
Naive-S14,1.00,0.586,0.29,1.00,0.586,0.003,0.29
101-1,0.84,0.606,0.36,0.84,0.606,0.009,0.36
101-2,0.19,0.592,0.10,0.19,0.592,0.013,0.11
101-3,0.84,0.556,0.18,0.84,0.556,0.008,0.19
102-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-1,0.02,0.394,0.15,0.02,0.391,0.066,0.15
103-2,0.02,0.470,0.10,0.02,0.427,0.054,0.08
103-3,0.47,0.522,0.17,0.47,0.522,0.012,0.17
104-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
105-1,0.98,0.613,0.92,0.98,0.612,0.006,0.92
105-2,0.96,0.582,1.00,0.96,0.581,0.007,1.00
105-3,0.96,0.599,1.00,0.96,0.599,0.007,1.00
106-1,0.29,0.554,0.03,0.29,0.555,0.015,0.03
106-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
106-3,0.17,0.536,0.03,0.17,0.538,0.021,0.03
107-1,0.99,0.622,0.78,0.99,0.622,0.006,0.78
107-2,0.99,0.571,0.03,0.99,0.572,0.007,0.03
107-3,0.03,0.421,0.02,0.03,0.423,0.069,0.03
108-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
109-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
110-1,0.98,0.634,0.02,0.98,0.634,0.006,0.04
110-2,0.92,0.623,0.48,0.92,0.623,0.006,0.47
110-3,1.00,0.673,1.00,1.00,0.673,0.004,0.99
111-1,0.93,0.630,0.02,0.93,0.630,0.006,0.04
111-2,0.99,0.670,0.89,0.99,0.670,0.004,0.93
111-3,0.05,0.663,0.89,0.05,0.659,0.019,0.80
112-1,0.98,0.619,0.57,0.98,0.619,0.006,0.57
112-2,0.98,0.620,0.57,0.98,0.619,0.006,0.56
112-3,0.94,0.618,0.57,0.94,0.618,0.006,0.57
113-1,0.94,0.618,0.57,0.94,0.618,0.006,0.57
113-2,0.77,0.729,1.00,0.77,0.729,0.006,1.00
113-3,0.23,0.610,0.68,0.23,0.607,0.013,0.72
114-1,1.00,0.552,0.91,1.00,0.552,0.007,0.91
115-1,1.00,0.555,0.26,1.00,0.553,0.007,0.29
116-1,0.68,0.560,0.09,0.68,0.560,0.009,0.08
116-2,0.49,0.575,0.02,0.49,0.574,0.013,0.06
117-1,1.00,0.616,0.11,1.00,0.617,0.005,0.11
117-2,0.09,0.616,1.00,0.09,0.618,0.030,1.00
119-1,0.90,0.576,0.66,0.90,0.577,0.007,0.64
120-1,1.00,0.548,0.94,1.00,0.548,0.007,0.94
120-2,1.00,0.564,0.73,1.00,0.564,0.006,0.72
120-3,1.00,0.576,0.60,1.00,0.576,0.006,0.60
121-1,0.60,0.525,0.52,0.60,0.526,0.011,0.53
121-2,0.01,0.607,0.32,0.01,0.620,0.047,0.47
121-3,0.63,0.528,0.02,0.63,0.529,0.010,0.02
122-1,0.43,0.563,0.69,0.43,0.563,0.013,0.69
