ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
BLAST-S11,0.97,0.204,0.32,0.97,0.210,0.010,0.37
BLAST-S14,0.98,0.211,0.41,0.98,0.214,0.011,0.41
Naive-S11,1.00,0.333,0.28,1.00,0.332,0.009,0.28
Naive-S14,1.00,0.333,0.29,1.00,0.332,0.009,0.29
101-1,0.84,0.354,0.21,0.84,0.355,0.013,0.27
101-2,0.19,0.310,0.09,0.19,0.310,0.025,0.10
101-3,0.84,0.376,0.04,0.84,0.378,0.013,0.09
102-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-1,0.02,0.619,0.15,0.02,0.638,0.076,0.13
103-2,0.02,0.625,0.02,0.02,0.641,0.061,0.05
103-3,0.47,0.422,0.17,0.47,0.422,0.019,0.17
104-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
105-1,0.98,0.318,0.91,0.98,0.323,0.012,0.89
105-2,0.96,0.354,0.98,0.96,0.355,0.012,0.98
105-3,0.96,0.352,1.00,0.96,0.353,0.012,1.00
106-1,0.29,0.378,0.03,0.29,0.378,0.024,0.05
106-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
106-3,0.17,0.392,0.03,0.17,0.391,0.032,0.04
107-1,0.99,0.296,0.78,0.99,0.299,0.013,0.76
107-2,0.99,0.346,0.03,0.99,0.346,0.012,0.03
107-3,0.03,0.585,0.02,0.03,0.586,0.076,0.03
108-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
109-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
110-1,0.98,0.349,0.29,0.98,0.349,0.011,0.27
110-2,0.92,0.309,0.32,0.92,0.310,0.011,0.33
110-3,1.00,0.245,0.29,1.00,0.245,0.010,0.30
111-1,0.93,0.347,0.29,0.93,0.347,0.012,0.27
111-2,0.99,0.237,0.32,0.99,0.237,0.010,0.31
111-3,0.05,0.164,0.16,0.05,0.165,0.041,0.29
112-1,0.98,0.261,0.48,0.98,0.262,0.011,0.48
112-2,0.98,0.260,0.46,0.98,0.262,0.011,0.48
112-3,0.94,0.258,0.49,0.94,0.260,0.011,0.51
113-1,0.94,0.256,0.56,0.94,0.260,0.011,0.52
113-2,0.77,0.135,0.49,0.77,0.137,0.008,0.59
113-3,0.23,0.318,0.68,0.23,0.321,0.026,0.66
114-1,1.00,0.381,0.87,1.00,0.382,0.012,0.88
115-1,1.00,0.374,0.23,1.00,0.375,0.012,0.26
116-1,0.68,0.357,0.18,0.68,0.357,0.016,0.15
116-2,0.49,0.344,0.02,0.49,0.344,0.020,0.07
117-1,1.00,0.324,0.11,1.00,0.324,0.011,0.11
117-2,0.09,0.313,1.00,0.09,0.311,0.041,1.00
119-1,0.90,0.358,0.66,0.90,0.359,0.013,0.63
120-1,1.00,0.390,0.93,1.00,0.391,0.012,0.93
120-2,1.00,0.370,0.71,1.00,0.371,0.011,0.72
120-3,1.00,0.327,0.57,1.00,0.328,0.011,0.59
121-1,0.60,0.413,0.52,0.60,0.413,0.017,0.53
121-2,0.01,0.421,0.61,0.01,0.386,0.110,0.65
121-3,0.63,0.404,0.02,0.63,0.404,0.017,0.02
122-1,0.43,0.382,0.69,0.43,0.382,0.019,0.69
124-1,1.00,0.285,0.33,1.00,0.287,0.009,0.36
124-2,1.00,0.279,0.31,1.00,0.280,0.008,0.30
124-3,1.00,0.277,0.33,1.00,0.277,0.009,0.33
125-1,0.99,0.380,0.85,0.99,0.381,0.011,0.86
125-2,0.89,0.352,0.28,0.89,0.355,0.013,0.30
125-3,0.99,0.246,0.36,0.99,0.250,0.011,0.35
126-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
127-1,0.84,0.345,0.56,0.84,0.349,0.012,0.55
127-2,0.83,0.364,0.65,0.83,0.366,0.012,0.67
