ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-S11,0.91,0.615,0.31,0.91,0.609,0.023,0.31
BLAST-S14,0.96,0.572,0.35,0.96,0.574,0.030,0.35
Naive-S11,1.00,0.596,0.18,1.00,0.591,0.014,0.22
Naive-S14,1.00,0.567,0.22,1.00,0.567,0.018,0.23
101-1,0.87,0.490,0.01,0.87,0.493,0.038,0.03
101-2,0.17,0.873,0.04,0.17,0.873,0.044,0.14
101-3,0.87,0.482,0.02,0.87,0.483,0.039,0.02
102-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
102-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
102-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
103-1,0.61,0.642,0.02,0.61,0.634,0.035,0.03
103-2,0.85,0.566,0.02,0.85,0.556,0.031,0.02
103-3,0.65,0.663,0.17,0.65,0.664,0.054,0.17
104-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
104-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
104-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
105-1,0.98,0.498,0.92,0.98,0.493,0.036,0.86
105-2,0.96,0.445,0.98,0.96,0.447,0.037,0.98
105-3,0.98,0.450,1.00,0.98,0.449,0.037,1.00
106-1,0.52,0.691,0.07,0.52,0.691,0.056,0.07
106-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
106-3,0.41,0.745,0.07,0.41,0.745,0.055,0.07
107-1,1.00,0.554,0.72,1.00,0.548,0.028,0.75
107-2,1.00,0.460,0.03,1.00,0.460,0.041,0.03
107-3,0.98,0.466,0.02,0.98,0.466,0.039,0.02
108-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
109-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
110-1,0.91,0.562,0.53,0.91,0.563,0.028,0.49
110-2,0.83,0.596,0.48,0.83,0.596,0.024,0.47
110-3,0.98,0.587,1.00,0.98,0.588,0.044,1.00
111-1,0.91,0.562,0.53,0.91,0.563,0.028,0.49
111-2,0.98,0.587,1.00,0.98,0.588,0.044,1.00
111-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
112-1,1.00,0.559,0.53,1.00,0.552,0.028,0.48
112-2,1.00,0.566,0.52,1.00,0.558,0.027,0.48
112-3,1.00,0.579,0.40,1.00,0.570,0.027,0.47
113-1,1.00,0.585,0.36,1.00,0.575,0.026,0.46
