ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-S11,0.91,5.161,0.68,0.91,5.044,0.618,0.61
BLAST-S14,0.96,4.993,0.57,0.96,4.909,0.643,0.57
Naive-S11,1.00,4.910,0.44,1.00,4.898,0.616,0.41
Naive-S14,1.00,4.758,0.32,1.00,4.753,0.576,0.34
101-1,0.87,4.858,0.37,0.87,4.690,0.599,0.37
101-2,0.17,4.842,0.07,0.17,4.838,0.615,0.16
101-3,0.87,4.010,0.14,0.87,3.964,0.533,0.32
102-1,0.00,5.270,1.00,0.00,5.268,0.620,1.00
102-2,0.00,5.270,1.00,0.00,5.268,0.620,1.00
102-3,0.00,5.270,1.00,0.00,5.268,0.620,1.00
103-1,0.61,4.471,0.32,0.61,4.462,0.621,0.31
103-2,0.85,4.191,0.36,0.85,4.157,0.587,0.35
103-3,0.65,4.138,0.17,0.65,4.149,0.630,0.18
104-1,0.00,5.270,1.00,0.00,5.268,0.620,1.00
104-2,0.00,5.270,1.00,0.00,5.268,0.620,1.00
104-3,0.00,5.270,1.00,0.00,5.268,0.620,1.00
105-1,0.98,4.771,0.93,0.98,4.659,0.643,0.93
105-2,0.96,5.136,1.00,0.96,5.175,1.117,1.00
105-3,0.98,5.770,1.00,0.98,5.823,1.456,1.00
106-1,0.52,4.123,0.07,0.52,4.136,0.642,0.07
106-2,0.00,5.270,1.00,0.00,5.268,0.620,1.00
106-3,0.41,4.286,0.07,0.41,4.289,0.649,0.07
107-1,1.00,8.772,1.00,1.00,8.826,1.979,0.97
107-2,1.00,3.723,0.03,1.00,3.615,0.552,0.05
107-3,0.98,3.618,0.03,0.98,3.572,0.553,0.04
108-1,0.00,5.270,1.00,0.00,5.268,0.620,1.00
109-1,0.00,5.270,1.00,0.00,5.268,0.620,1.00
110-1,0.91,4.332,0.95,0.91,4.288,0.547,0.93
110-2,0.83,4.277,0.91,0.83,4.274,0.569,0.92
110-3,0.98,7.999,1.00,0.98,8.015,0.869,1.00
111-1,0.91,4.332,0.95,0.91,4.288,0.547,0.93
111-2,0.98,7.999,1.00,0.98,8.015,0.869,1.00
111-3,0.00,5.270,1.00,0.00,5.268,0.620,1.00
112-1,1.00,4.050,0.63,1.00,3.949,0.493,0.69
112-2,1.00,4.076,0.76,1.00,3.995,0.509,0.72
112-3,1.00,4.416,0.63,1.00,4.335,0.521,0.67
113-1,1.00,4.477,0.66,1.00,4.395,0.527,0.70
113-2,0.98,8.032,1.00,0.98,8.048,0.870,1.00
113-3,0.85,4.570,0.95,0.85,4.518,0.558,0.92
114-1,1.00,3.476,0.89,1.00,3.450,0.535,0.91
115-1,1.00,3.616,0.34,1.00,3.581,0.549,0.38
116-1,0.72,3.969,0.69,0.72,3.976,0.550,0.59
116-2,0.33,4.792,0.72,0.33,4.790,0.622,0.72
117-1,1.00,4.107,0.09,1.00,4.112,0.642,0.09
117-2,0.07,5.088,1.00,0.07,5.088,0.620,1.00
119-1,1.00,4.120,0.78,1.00,4.057,0.560,0.81
120-1,1.00,3.610,0.95,1.00,3.598,0.554,0.96
120-2,1.00,4.483,0.79,1.00,4.452,0.649,0.79
120-3,0.98,4.662,0.72,0.98,4.622,0.637,0.75
121-1,0.78,3.587,0.60,0.78,3.600,0.579,0.60
121-2,0.02,5.176,0.61,0.02,5.172,0.629,0.75
121-3,0.85,3.629,0.01,0.85,3.632,0.577,0.01
122-1,0.59,3.793,0.69,0.59,3.819,0.604,0.70
124-1,1.00,4.885,0.43,1.00,4.766,0.554,0.37
124-2,1.00,4.402,0.11,1.00,4.408,0.542,0.12
124-3,1.00,4.885,0.43,1.00,4.766,0.554,0.37
125-1,0.93,3.408,0.89,0.93,3.417,0.543,0.90
125-2,0.91,3.964,0.45,0.91,3.894,0.580,0.41
125-3,0.96,3.978,0.48,0.96,3.984,0.595,0.49
126-1,0.00,5.270,1.00,0.00,5.268,0.620,1.00
127-1,0.78,4.537,0.33,0.78,4.484,0.651,0.34
127-2,0.91,4.378,0.70,0.91,4.304,0.616,0.69
127-3,0.00,5.270,1.00,0.00,5.268,0.620,1.00
128-1,0.57,5.505,1.00,0.57,5.542,0.679,0.97
129-1,0.96,4.645,0.61,0.96,4.612,0.601,0.60
129-2,0.00,5.270,1.00,0.00,5.268,0.620,1.00
129-3,0.96,4.645,0.61,0.96,4.612,0.601,0.60
130-1,0.00,5.270,1.00,0.00,5.268,0.620,1.00
130-2,0.00,5.270,1.00,0.00,5.268,0.620,1.00
130-3,0.00,5.270,1.00,0.00,5.268,0.620,1.00
131-1,0.57,4.187,0.50,0.57,4.200,0.619,0.68
131-2,0.57,4.181,1.00,0.57,4.194,0.617,1.00
131-3,0.67,4.158,0.03,0.67,4.158,0.621,0.16
132-1,1.00,3.778,0.60,1.00,3.764,0.530,0.63
132-2,1.00,4.157,0.60,1.00,4.158,0.518,0.61
65-1,1.00,4.973,0.18,1.00,4.902,0.542,0.20
65-2,1.00,5.025,0.15,1.00,4.931,0.556,0.18
65-3,1.00,5.038,0.19,1.00,4.980,0.564,0.20
68-1,0.00,5.270,1.00,0.00,5.268,0.620,1.00
68-2,0.00,5.270,1.00,0.00,5.268,0.620,1.00
69-1,1.00,4.069,0.42,1.00,3.960,0.572,0.47
69-2,1.00,3.866,0.52,1.00,3.780,0.546,0.49
70-1,0.00,5.270,1.00,0.00,5.268,0.620,1.00
70-2,1.00,4.256,0.30,1.00,4.236,0.627,0.30
70-3,1.00,5.031,0.37,1.00,5.002,0.613,0.39
72-1,0.74,3.861,0.01,0.74,3.873,0.636,0.01
72-2,0.67,4.028,0.01,0.67,4.024,0.650,0.01
73-1,1.00,4.261,0.99,1.00,4.275,0.614,0.99
73-2,1.00,4.261,0.99,1.00,4.275,0.614,0.99
73-3,0.96,10.448,0.95,0.96,10.536,1.722,0.97
74-1,0.70,3.774,0.06,0.70,3.704,0.592,0.19
74-2,0.96,3.908,0.44,0.96,3.790,0.601,0.40
75-1,1.00,3.946,0.70,1.00,3.921,0.557,0.67
75-2,1.00,3.622,0.70,1.00,3.644,0.560,0.69
79-1,0.00,5.270,1.00,0.00,5.268,0.620,1.00
79-2,0.00,5.270,1.00,0.00,5.268,0.620,1.00
79-3,0.00,5.270,1.00,0.00,5.268,0.620,1.00
80-1,0.72,3.776,0.16,0.72,3.755,0.562,0.35
80-2,0.96,3.814,0.70,0.96,3.799,0.559,0.70
81-1,0.96,4.206,0.50,0.96,4.219,0.627,0.51
81-2,0.96,4.206,0.50,0.96,4.219,0.627,0.51
82-1,0.52,4.409,0.50,0.52,4.417,0.609,0.52
83-1,1.00,4.061,0.19,1.00,3.955,0.583,0.29
83-2,1.00,3.119,0.19,1.00,3.117,0.576,0.18
84-1,1.00,3.869,0.22,1.00,3.842,0.596,0.23
85-1,0.61,4.556,0.14,0.61,4.539,0.603,0.17
85-2,0.61,4.556,0.14,0.61,4.539,0.603,0.17
86-1,0.37,5.216,0.49,0.37,5.200,0.609,0.52
86-2,0.37,5.216,0.49,0.37,5.200,0.609,0.52
86-3,0.11,5.269,1.00,0.11,5.261,0.618,0.80
87-1,0.70,4.025,0.18,0.70,4.004,0.614,0.24
87-2,0.70,4.001,0.20,0.70,3.970,0.609,0.16
87-3,0.67,4.034,0.19,0.67,4.044,0.610,0.23
88-1,0.00,5.270,1.00,0.00,5.268,0.620,1.00
89-1,0.00,5.270,1.00,0.00,5.268,0.620,1.00
89-2,0.00,5.270,1.00,0.00,5.268,0.620,1.00
89-3,0.00,5.270,1.00,0.00,5.268,0.620,1.00
91-1,0.00,5.270,1.00,0.00,5.268,0.620,1.00
91-2,0.00,5.270,1.00,0.00,5.268,0.620,1.00
91-3,0.00,5.270,1.00,0.00,5.268,0.620,1.00
93-1,0.89,32.559,1.00,0.89,32.569,3.990,1.00
93-2,0.91,44.788,1.00,0.91,44.836,4.247,1.00
94-1,1.00,3.808,1.00,1.00,3.775,0.543,0.61
95-1,0.00,5.270,1.00,0.00,5.268,0.620,1.00
95-2,0.00,5.270,1.00,0.00,5.268,0.620,1.00
96-1,0.00,5.270,1.00,0.00,5.268,0.620,1.00
96-2,0.00,5.270,1.00,0.00,5.268,0.620,1.00
96-3,0.00,5.270,1.00,0.00,5.268,0.620,1.00
97-1,1.00,3.942,0.91,1.00,3.944,0.570,0.68
97-2,0.00,5.270,1.00,0.00,5.268,0.620,1.00
97-3,0.00,5.270,1.00,0.00,5.268,0.620,1.00
98-1,1.00,3.845,0.52,1.00,3.840,0.593,0.52
99-1,0.91,4.379,0.42,0.91,4.274,0.604,0.46
