ID-model,GO:0005575,GO:0032991,GO:0005622,GO:0044424,GO:0044425,GO:0005737,GO:0016020,GO:0044444,GO:0005829,GO:0005886,GO:0071944,GO:0005623,GO:0044464
BLAST-S11,NaN,0.83,0.73,0.73,0.80,0.67,0.59,0.63,0.64,0.50,0.42,0.47,0.47
BLAST-S14,NaN,0.87,0.79,0.77,0.73,0.66,0.61,0.59,0.59,0.57,0.49,0.45,0.45
Naive-S11,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
Naive-S14,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
101-1,NaN,0.63,0.89,0.87,0.76,0.87,0.71,0.66,0.51,0.70,0.66,0.56,0.56
101-2,NaN,0.53,0.55,0.55,0.56,0.56,0.61,0.53,0.50,0.59,0.57,0.46,0.46
101-3,NaN,0.64,0.90,0.88,0.84,0.89,0.80,0.69,0.51,0.65,0.62,0.43,0.43
102-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
102-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
102-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
103-1,NaN,0.52,1.00,0.95,0.96,0.89,0.86,0.47,0.50,0.46,0.46,0.44,0.44
103-2,NaN,0.64,0.92,0.90,0.76,0.87,0.76,0.55,0.54,0.50,0.43,0.38,0.38
103-3,NaN,0.61,0.97,0.97,0.90,0.86,0.83,0.50,0.50,0.61,0.61,0.68,0.68
104-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
104-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
104-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
105-1,NaN,0.89,0.90,0.92,0.78,0.85,0.56,0.59,0.53,0.51,0.53,0.53,0.53
105-2,NaN,0.88,0.92,0.95,0.85,0.89,0.72,0.54,0.51,0.62,0.59,0.40,0.40
105-3,NaN,0.82,0.89,0.92,0.81,0.87,0.67,0.63,0.59,0.63,0.62,0.46,0.46
106-1,NaN,0.68,1.00,1.00,0.80,0.93,0.85,0.50,0.50,0.60,0.66,0.73,0.73
106-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
106-3,NaN,0.73,1.00,1.00,0.95,0.91,0.77,0.50,0.50,0.70,0.70,0.72,0.72
107-1,NaN,0.92,0.77,0.77,0.78,0.77,0.60,0.58,0.53,0.54,0.53,0.52,0.52
107-2,NaN,0.74,0.87,0.87,0.85,0.84,0.85,0.55,0.51,0.62,0.66,0.16,0.16
107-3,NaN,0.76,0.88,0.88,0.90,0.82,0.81,0.56,0.58,0.66,0.64,0.20,0.20
108-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
109-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
110-1,NaN,0.85,0.81,0.81,0.78,0.74,0.66,0.69,0.67,0.57,0.61,0.52,0.52
110-2,NaN,0.85,0.79,0.79,0.70,0.69,0.74,0.74,0.54,0.55,0.66,0.78,0.78
110-3,NaN,0.69,0.72,0.72,0.69,0.68,0.65,0.69,0.61,0.53,0.51,0.58,0.58
111-1,NaN,0.85,0.81,0.81,0.78,0.74,0.66,0.69,0.67,0.57,0.61,0.52,0.52
111-2,NaN,0.69,0.72,0.72,0.69,0.68,0.65,0.69,0.61,0.53,0.51,0.58,0.58
111-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
112-1,NaN,0.83,0.78,0.78,0.78,0.68,0.69,0.65,0.62,0.52,0.58,0.72,0.72
112-2,NaN,0.84,0.78,0.78,0.78,0.68,0.69,0.65,0.63,0.51,0.58,0.73,0.73
112-3,NaN,0.80,0.78,0.78,0.74,0.65,0.67,0.62,0.62,0.50,0.56,0.72,0.72
113-1,NaN,0.81,0.78,0.78,0.75,0.65,0.68,0.62,0.63,0.49,0.55,0.73,0.73
113-2,NaN,0.69,0.72,0.72,0.66,0.68,0.64,0.69,0.61,0.51,0.49,0.58,0.58
113-3,NaN,0.75,0.79,0.79,0.70,0.71,0.67,0.66,0.73,0.55,0.59,0.54,0.54
114-1,NaN,0.67,0.91,0.91,0.87,0.85,0.78,0.51,0.68,0.71,0.69,0.38,0.38
115-1,NaN,0.86,0.90,0.95,0.88,0.91,0.86,0.65,0.58,0.72,0.64,0.60,0.60
116-1,NaN,0.61,0.90,0.88,0.90,0.90,0.85,0.54,0.50,0.54,0.48,0.73,0.73
116-2,NaN,0.50,0.94,0.88,0.45,0.88,0.95,0.50,0.50,0.74,0.74,0.83,0.83
117-1,NaN,0.95,0.84,0.82,0.73,0.70,0.66,0.69,0.60,0.67,0.57,0.66,0.66
117-2,NaN,0.50,1.00,1.00,NaN,0.50,0.50,0.50,0.50,0.50,0.50,NaN,NaN
119-1,NaN,0.89,0.88,0.88,0.80,0.82,0.78,0.68,0.73,0.63,0.57,0.37,0.37
120-1,NaN,0.87,0.88,0.88,0.84,0.82,0.76,0.66,0.76,0.72,0.71,0.38,0.38
120-2,NaN,0.34,0.76,0.76,0.84,0.63,0.80,0.55,0.74,0.73,0.67,0.31,0.31
120-3,NaN,0.36,0.77,0.77,0.82,0.48,0.82,0.38,0.71,0.66,0.63,0.29,0.29
121-1,NaN,0.61,0.97,0.97,0.92,0.89,0.83,0.50,0.50,0.69,0.63,0.50,0.50
121-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
121-3,NaN,0.60,0.98,0.98,0.87,0.89,0.84,0.62,0.54,0.65,0.60,0.36,0.36
122-1,NaN,0.72,0.93,0.90,0.77,0.96,0.88,0.65,0.47,0.64,0.64,0.90,0.90
124-1,NaN,0.80,0.89,0.89,0.50,0.60,0.43,0.62,0.70,0.59,0.62,0.82,0.82
124-2,NaN,0.40,0.16,0.16,0.42,0.50,0.24,0.50,0.50,0.47,0.37,0.38,0.38
124-3,NaN,0.80,0.89,0.89,0.50,0.60,0.43,0.62,0.70,0.59,0.62,0.82,0.82
125-1,NaN,0.65,0.93,0.93,0.89,0.85,0.82,0.50,0.64,0.73,0.69,0.41,0.41
125-2,NaN,0.67,0.89,0.89,0.80,0.87,0.76,0.61,0.59,0.62,0.61,0.59,0.59
125-3,NaN,0.86,0.80,0.80,0.87,0.77,0.57,0.70,0.66,0.55,0.44,0.55,0.55
126-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
127-1,NaN,0.77,0.85,0.85,0.82,0.67,0.67,0.57,0.61,0.54,0.51,0.65,0.65
127-2,NaN,0.81,0.86,0.86,0.83,0.72,0.63,0.66,0.70,0.51,0.49,0.74,0.74
127-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
