ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-S11,0.91,0.615,0.31,0.91,0.606,0.025,0.33
BLAST-S14,0.96,0.567,0.35,0.96,0.569,0.031,0.35
Naive-S11,1.00,0.596,0.18,1.00,0.591,0.014,0.22
Naive-S14,1.00,0.567,0.22,1.00,0.567,0.018,0.23
101-1,0.87,0.450,0.01,0.87,0.452,0.038,0.05
101-2,0.17,0.368,0.23,0.17,0.372,0.093,0.21
101-3,0.87,0.436,0.02,0.87,0.436,0.039,0.03
102-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-1,0.61,0.511,0.04,0.61,0.505,0.038,0.08
103-2,0.85,0.517,0.04,0.85,0.513,0.036,0.03
103-3,0.65,0.491,0.17,0.65,0.493,0.060,0.17
104-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
105-1,0.98,0.490,0.92,0.98,0.487,0.037,0.88
105-2,0.96,0.432,0.98,0.96,0.434,0.038,0.98
105-3,0.98,0.443,1.00,0.98,0.442,0.037,1.00
106-1,0.52,0.424,0.07,0.52,0.426,0.062,0.07
106-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
106-3,0.41,0.396,0.07,0.41,0.398,0.074,0.07
107-1,1.00,0.554,0.72,1.00,0.548,0.028,0.75
107-2,1.00,0.460,0.03,1.00,0.460,0.041,0.03
107-3,0.98,0.458,0.02,0.98,0.458,0.039,0.02
108-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
109-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
110-1,0.91,0.553,0.53,0.91,0.554,0.030,0.55
110-2,0.83,0.580,0.52,0.83,0.579,0.027,0.55
110-3,0.98,0.593,1.00,0.98,0.594,0.045,1.00
111-1,0.91,0.553,0.53,0.91,0.554,0.030,0.55
111-2,0.98,0.593,1.00,0.98,0.594,0.045,1.00
111-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
112-1,1.00,0.559,0.53,1.00,0.552,0.028,0.48
112-2,1.00,0.566,0.52,1.00,0.558,0.027,0.48
112-3,1.00,0.579,0.40,1.00,0.570,0.027,0.47
113-1,1.00,0.585,0.36,1.00,0.575,0.026,0.46
113-2,0.98,0.595,1.00,0.98,0.596,0.045,1.00
113-3,0.85,0.563,0.54,0.85,0.563,0.032,0.58
114-1,1.00,0.421,0.83,1.00,0.413,0.036,0.80
115-1,1.00,0.434,0.17,1.00,0.432,0.035,0.16
116-1,0.72,0.493,0.40,0.72,0.495,0.050,0.45
116-2,0.33,0.543,0.72,0.33,0.545,0.083,0.72
117-1,1.00,0.507,0.08,1.00,0.506,0.033,0.08
117-2,0.07,0.499,1.00,0.07,0.521,0.190,1.00
119-1,1.00,0.456,0.65,1.00,0.453,0.037,0.68
120-1,1.00,0.406,0.93,1.00,0.394,0.031,0.92
120-2,1.00,0.501,0.71,1.00,0.496,0.033,0.71
120-3,0.98,0.580,0.64,0.98,0.574,0.024,0.60
121-1,0.78,0.430,0.60,0.78,0.431,0.054,0.60
121-2,0.02,0.000,0.61,0.02,0.000,0.000,0.61
121-3,0.85,0.426,0.01,0.85,0.427,0.048,0.01
122-1,0.59,0.458,0.69,0.59,0.460,0.066,0.70
124-1,1.00,0.554,0.19,1.00,0.554,0.027,0.20
124-2,1.00,0.500,0.11,1.00,0.502,0.032,0.12
124-3,1.00,0.554,0.19,1.00,0.554,0.027,0.20
125-1,0.93,0.386,0.89,0.93,0.381,0.039,0.85
125-2,0.91,0.413,0.31,0.91,0.414,0.041,0.31
125-3,0.96,0.513,0.33,0.96,0.511,0.036,0.34
126-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
127-1,0.78,0.528,0.24,0.78,0.517,0.036,0.25
127-2,0.91,0.539,0.59,0.91,0.536,0.031,0.55
127-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
128-1,0.57,0.653,0.05,0.57,0.647,0.034,0.11
129-1,0.96,0.530,0.54,0.96,0.524,0.030,0.52
129-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
129-3,0.96,0.530,0.54,0.96,0.524,0.030,0.52
130-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
131-1,0.57,0.526,0.50,0.57,0.527,0.060,0.68
131-2,0.57,0.528,1.00,0.57,0.530,0.060,1.00
131-3,0.67,0.496,0.01,0.67,0.499,0.049,0.01
132-1,1.00,0.526,0.46,1.00,0.517,0.031,0.51
132-2,1.00,0.541,0.44,1.00,0.539,0.028,0.47
65-1,1.00,0.609,0.15,1.00,0.606,0.016,0.14
65-2,1.00,0.618,0.12,1.00,0.617,0.014,0.12
65-3,1.00,0.615,0.13,1.00,0.614,0.014,0.13
68-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
68-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
69-1,1.00,0.411,0.23,1.00,0.406,0.034,0.20
69-2,1.00,0.425,0.15,1.00,0.412,0.031,0.20
70-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
70-2,1.00,0.535,0.27,1.00,0.529,0.022,0.27
70-3,1.00,0.600,0.20,1.00,0.599,0.014,0.19
72-1,0.74,0.405,0.01,0.74,0.407,0.058,0.01
72-2,0.67,0.428,0.01,0.67,0.428,0.068,0.01
73-1,1.00,0.515,0.76,1.00,0.510,0.031,0.73
73-2,1.00,0.515,0.76,1.00,0.510,0.032,0.74
73-3,0.96,0.616,0.94,0.96,0.619,0.028,0.94
74-1,0.70,0.374,0.06,0.70,0.373,0.050,0.05
74-2,0.96,0.453,0.02,0.96,0.451,0.038,0.04
75-1,1.00,0.424,0.24,1.00,0.422,0.034,0.22
75-2,1.00,0.401,0.26,1.00,0.398,0.035,0.24
79-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
79-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
79-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
80-1,0.72,0.394,0.09,0.72,0.395,0.048,0.08
80-2,0.96,0.469,0.04,0.96,0.466,0.036,0.06
81-1,0.96,0.629,0.50,0.96,0.630,0.050,0.50
81-2,0.96,0.629,0.50,0.96,0.630,0.050,0.50
82-1,0.52,0.496,0.50,0.52,0.499,0.044,0.51
83-1,1.00,0.470,0.12,1.00,0.468,0.040,0.14
83-2,1.00,0.418,0.08,1.00,0.410,0.040,0.08
84-1,1.00,0.478,0.21,1.00,0.470,0.033,0.17
85-1,0.61,0.490,0.10,0.61,0.484,0.045,0.10
85-2,0.61,0.490,0.10,0.61,0.484,0.045,0.10
86-1,0.37,0.731,0.30,0.37,0.737,0.056,0.30
86-2,0.37,0.731,0.30,0.37,0.737,0.056,0.30
86-3,0.11,0.691,0.46,0.11,0.695,0.036,0.51
87-1,0.70,0.438,0.18,0.70,0.439,0.056,0.18
87-2,0.70,0.438,0.10,0.70,0.439,0.056,0.10
87-3,0.67,0.465,0.19,0.67,0.466,0.056,0.20
88-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
89-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
89-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
89-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
91-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
91-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
91-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
93-1,0.89,0.835,1.00,0.89,0.835,0.029,1.00
93-2,0.91,0.883,1.00,0.91,0.883,0.021,1.00
94-1,1.00,0.453,0.10,1.00,0.455,0.035,0.10
95-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
95-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
96-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
96-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
96-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
97-1,1.00,0.536,0.12,1.00,0.537,0.046,0.12
97-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
97-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
98-1,1.00,0.464,0.50,1.00,0.453,0.038,0.49
99-1,0.91,0.486,0.29,0.91,0.484,0.034,0.31
