ID-model,GO:0005575,GO:0005623,GO:0044464,GO:0005886,GO:0016020,GO:0071944
BLAST-S11,NaN,0.67,0.67,0.45,0.45,0.37
BLAST-S14,NaN,0.67,0.67,0.38,0.35,0.29
Naive-S11,NaN,0.50,0.50,0.50,0.50,0.50
Naive-S14,NaN,0.50,0.50,0.50,0.50,0.50
101-1,NaN,0.12,0.12,0.64,0.68,0.53
101-2,NaN,0.60,0.60,0.50,0.41,0.43
101-3,NaN,0.40,0.40,0.68,0.77,0.58
102-1,NaN,0.50,0.50,0.50,0.50,0.50
102-2,NaN,0.50,0.50,0.50,0.50,0.50
102-3,NaN,0.50,0.50,0.50,0.50,0.50
103-1,NaN,0.05,0.05,0.54,0.57,0.56
103-2,NaN,0.07,0.07,0.56,0.64,0.57
103-3,NaN,0.40,0.40,0.56,0.67,0.52
104-1,NaN,0.50,0.50,0.50,0.50,0.50
104-2,NaN,0.50,0.50,0.50,0.50,0.50
104-3,NaN,0.50,0.50,0.50,0.50,0.50
105-1,NaN,0.45,0.45,0.57,0.45,0.42
105-2,NaN,0.36,0.36,0.54,0.54,0.43
105-3,NaN,0.36,0.36,0.56,0.55,0.43
106-1,NaN,0.71,0.71,0.73,0.76,0.69
106-2,NaN,0.50,0.50,0.50,0.50,0.50
106-3,NaN,0.69,0.69,0.73,0.68,0.69
107-1,NaN,0.26,0.26,0.57,0.50,0.44
107-2,NaN,0.36,0.36,0.57,0.71,0.57
107-3,NaN,0.38,0.38,0.60,0.75,0.54
108-1,NaN,0.50,0.50,0.50,0.50,0.50
109-1,NaN,0.50,0.50,0.50,0.50,0.50
110-1,NaN,0.52,0.52,0.57,0.55,0.49
110-2,NaN,0.88,0.88,0.55,0.53,0.53
110-3,NaN,0.45,0.45,0.24,0.33,0.33
111-1,NaN,0.52,0.52,0.57,0.55,0.49
111-2,NaN,0.45,0.45,0.24,0.33,0.33
111-3,NaN,0.50,0.50,0.50,0.50,0.50
112-1,NaN,0.86,0.86,0.32,0.51,0.41
112-2,NaN,0.86,0.86,0.33,0.53,0.41
112-3,NaN,0.86,0.86,0.32,0.51,0.41
113-1,NaN,0.86,0.86,0.33,0.53,0.41
113-2,NaN,0.45,0.45,0.24,0.33,0.33
113-3,NaN,0.52,0.52,0.57,0.55,0.49
114-1,NaN,0.38,0.38,0.70,0.85,0.62
115-1,NaN,0.24,0.24,0.69,0.87,0.65
116-1,NaN,0.67,0.67,0.52,0.82,0.54
116-2,NaN,0.64,0.64,0.52,0.62,0.54
117-1,NaN,0.05,0.05,0.37,0.34,0.32
117-2,NaN,0.52,0.52,0.50,0.54,0.50
119-1,NaN,0.31,0.31,0.55,0.50,0.44
120-1,NaN,0.38,0.38,0.72,0.85,0.68
120-2,NaN,0.19,0.19,0.59,0.73,0.57
120-3,NaN,0.36,0.36,0.45,0.70,0.40
121-1,NaN,0.36,0.36,0.68,0.76,0.60
121-2,NaN,0.50,0.50,0.50,0.50,0.50
121-3,NaN,0.24,0.24,0.64,0.79,0.56
122-1,NaN,0.55,0.55,0.45,0.54,0.44
124-1,NaN,0.57,0.57,0.70,0.29,0.61
124-2,NaN,0.50,0.50,0.50,0.21,0.36
124-3,NaN,0.57,0.57,0.70,0.29,0.61
125-1,NaN,0.38,0.38,0.69,0.84,0.62
125-2,NaN,0.21,0.21,0.65,0.69,0.56
125-3,NaN,0.48,0.48,0.32,0.33,0.25
126-1,NaN,0.50,0.50,0.50,0.50,0.50
127-1,NaN,0.83,0.83,0.35,0.23,0.33
127-2,NaN,0.83,0.83,0.47,0.36,0.38
127-3,NaN,0.50,0.50,0.50,0.50,0.50
128-1,NaN,0.64,0.64,0.54,0.45,0.47
129-1,NaN,0.50,0.50,0.42,0.50,0.32
129-2,NaN,0.50,0.50,0.50,0.50,0.50
129-3,NaN,0.50,0.50,0.42,0.50,0.32
130-1,NaN,0.50,0.50,0.50,0.50,0.50
130-2,NaN,0.50,0.50,0.50,0.50,0.50
130-3,NaN,0.50,0.50,0.50,0.50,0.50
131-1,NaN,0.10,0.10,0.45,0.62,0.44
131-2,NaN,0.07,0.07,0.50,0.65,0.48
131-3,NaN,0.10,0.10,0.38,0.63,0.33
132-1,NaN,0.76,0.76,0.43,0.59,0.42
132-2,NaN,0.76,0.76,0.43,0.59,0.42
65-1,NaN,0.69,0.69,0.44,0.27,0.35
65-2,NaN,0.83,0.83,0.45,0.29,0.35
65-3,NaN,0.67,0.67,0.44,0.27,0.35
68-1,NaN,0.50,0.50,0.50,0.50,0.50
68-2,NaN,0.50,0.50,0.50,0.50,0.50
69-1,NaN,0.95,0.95,0.62,0.79,0.61
69-2,NaN,0.95,0.95,0.56,0.72,0.60
70-1,NaN,0.50,0.50,0.50,0.50,0.50
70-2,NaN,0.05,0.05,0.54,0.49,0.47
70-3,NaN,0.10,0.10,0.55,0.46,0.58
72-1,NaN,0.05,0.05,0.61,0.73,0.54
72-2,NaN,0.05,0.05,0.61,0.73,0.54
73-1,NaN,0.69,0.69,0.67,0.73,0.56
73-2,NaN,0.64,0.64,0.73,0.83,0.65
73-3,NaN,0.40,0.40,0.63,0.67,0.52
74-1,NaN,0.10,0.10,0.69,0.76,0.62
74-2,NaN,0.10,0.10,0.70,0.79,0.65
75-1,NaN,0.83,0.83,0.70,0.81,0.67
75-2,NaN,0.81,0.81,0.70,0.77,0.68
79-1,NaN,0.50,0.50,0.50,0.50,0.50
79-2,NaN,0.50,0.50,0.50,0.50,0.50
79-3,NaN,0.50,0.50,0.50,0.50,0.50
80-1,NaN,0.10,0.10,0.70,0.77,0.62
80-2,NaN,0.10,0.10,0.74,0.82,0.68
81-1,NaN,0.17,0.17,0.46,0.58,0.43
81-2,NaN,0.17,0.17,0.46,0.58,0.43
82-1,NaN,0.71,0.71,0.32,0.21,0.26
83-1,NaN,0.21,0.10,0.67,0.75,0.60
83-2,NaN,0.21,0.10,0.67,0.75,0.56
84-1,NaN,0.21,0.21,0.73,0.64,0.62
85-1,NaN,0.71,0.71,0.44,0.46,0.40
85-2,NaN,0.71,0.71,0.44,0.46,0.40
86-1,NaN,0.43,0.43,0.59,0.66,0.50
86-2,NaN,0.43,0.43,0.59,0.66,0.50
86-3,NaN,0.60,0.60,0.49,0.58,0.42
87-1,NaN,0.14,0.14,0.69,0.73,0.62
87-2,NaN,0.02,0.02,0.68,0.69,0.61
87-3,NaN,0.10,0.10,0.60,0.66,0.54
88-1,NaN,0.50,0.50,0.50,0.50,0.50
89-1,NaN,0.50,0.50,0.50,0.50,0.50
89-2,NaN,0.50,0.50,0.50,0.50,0.50
89-3,NaN,0.50,0.50,0.50,0.50,0.50
91-1,NaN,0.50,0.50,0.50,0.50,0.50
91-2,NaN,0.50,0.50,0.50,0.50,0.50
91-3,NaN,0.50,0.50,0.50,0.50,0.50
93-1,NaN,0.38,0.38,0.77,0.83,0.72
93-2,NaN,0.40,0.40,0.77,0.83,0.66
94-1,NaN,0.29,0.29,0.50,0.75,0.41
95-1,NaN,0.50,0.50,0.50,0.50,0.50
95-2,NaN,0.50,0.50,0.50,0.50,0.50
96-1,NaN,0.50,0.50,0.50,0.50,0.50
96-2,NaN,0.50,0.50,0.50,0.50,0.50
96-3,NaN,0.50,0.50,0.50,0.50,0.50
97-1,NaN,0.31,0.31,0.73,0.80,0.65
97-2,NaN,0.50,0.50,0.50,0.50,0.50
97-3,NaN,0.50,0.50,0.50,0.50,0.50
98-1,NaN,0.40,0.40,0.61,0.80,0.56
99-1,NaN,0.57,0.57,0.43,0.20,0.39
