ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-S11,0.86,5.203,0.55,0.86,5.196,0.991,0.57
BLAST-S14,0.77,5.343,0.46,0.77,5.320,0.958,0.54
Naive-S11,1.00,5.187,0.28,1.00,5.135,0.905,0.39
Naive-S14,1.00,4.849,0.22,1.00,4.785,0.855,0.27
101-1,0.82,4.202,0.01,0.82,3.971,0.858,0.23
101-2,0.18,5.189,0.20,0.18,5.203,0.966,0.31
101-3,0.82,3.043,0.20,0.82,3.119,0.894,0.27
102-1,0.00,5.372,1.00,0.00,5.372,0.967,1.00
102-2,0.00,5.372,1.00,0.00,5.372,0.967,1.00
102-3,0.00,5.372,1.00,0.00,5.372,0.967,1.00
103-1,0.55,3.766,0.15,0.55,3.767,0.834,0.15
103-2,0.77,3.438,0.15,0.77,3.432,0.819,0.15
103-3,0.59,3.850,0.17,0.59,3.859,0.938,0.17
104-1,0.00,5.372,1.00,0.00,5.372,0.967,1.00
104-2,0.00,5.372,1.00,0.00,5.372,0.967,1.00
104-3,0.00,5.372,1.00,0.00,5.372,0.967,1.00
105-1,0.91,4.553,0.93,0.91,4.369,0.988,0.92
105-2,0.86,3.954,1.00,0.86,4.009,0.956,0.99
105-3,0.91,4.751,1.00,0.91,4.915,1.053,1.00
106-1,0.64,3.605,0.07,0.64,3.612,0.938,0.09
106-2,0.00,5.372,1.00,0.00,5.372,0.967,1.00
106-3,0.36,4.114,0.07,0.36,4.114,1.069,0.09
107-1,0.95,4.075,0.75,0.95,4.195,0.994,0.79
107-2,0.95,3.090,0.05,0.95,3.095,0.680,0.05
107-3,0.95,3.628,0.05,0.95,3.613,1.000,0.05
108-1,0.00,5.372,1.00,0.00,5.372,0.967,1.00
109-1,0.00,5.372,1.00,0.00,5.372,0.967,1.00
110-1,0.95,3.986,0.77,0.95,3.956,0.875,0.81
110-2,0.82,5.124,0.75,0.82,5.021,0.870,0.66
110-3,1.00,8.332,1.00,1.00,8.365,0.751,1.00
111-1,0.95,3.986,0.77,0.95,3.956,0.875,0.81
111-2,1.00,8.332,1.00,1.00,8.365,0.751,1.00
111-3,0.00,5.372,1.00,0.00,5.372,0.967,1.00
112-1,1.00,4.251,0.83,1.00,4.280,0.718,0.81
112-2,1.00,4.251,0.81,1.00,4.290,0.716,0.82
112-3,1.00,4.251,0.83,1.00,4.280,0.718,0.81
113-1,1.00,4.251,0.81,1.00,4.290,0.716,0.82
113-2,1.00,8.332,1.00,1.00,8.365,0.751,1.00
113-3,0.68,3.986,0.77,0.68,3.957,0.876,0.81
114-1,1.00,2.768,0.93,1.00,2.776,0.873,0.93
115-1,1.00,2.849,0.25,1.00,2.874,0.756,0.24
116-1,0.68,3.921,0.02,0.68,3.997,0.831,0.25
116-2,0.36,4.240,0.02,0.36,4.327,0.850,0.15
117-1,1.00,4.790,0.09,1.00,4.767,0.895,0.09
117-2,0.09,5.067,1.00,0.09,5.069,0.879,1.00
119-1,1.00,3.616,0.77,1.00,3.721,0.877,0.78
120-1,1.00,2.607,0.93,1.00,2.620,0.736,0.94
120-2,1.00,4.571,0.79,1.00,4.536,1.023,0.79
120-3,1.00,4.797,0.78,1.00,4.766,0.985,0.76
121-1,0.73,3.465,0.60,0.73,3.488,0.972,0.60
121-2,0.00,5.372,1.00,0.00,5.372,0.967,1.00
121-3,0.77,3.281,0.02,0.77,3.303,0.977,0.02
122-1,0.32,4.766,1.00,0.32,4.772,0.912,1.00
124-1,1.00,4.616,0.21,1.00,4.410,0.727,0.28
124-2,1.00,3.999,0.15,1.00,4.042,0.888,0.15
124-3,1.00,4.616,0.21,1.00,4.410,0.727,0.28
125-1,1.00,2.765,0.89,1.00,2.753,0.857,0.91
125-2,0.82,3.839,0.28,0.82,3.795,0.908,0.34
125-3,1.00,4.046,0.48,1.00,4.050,0.851,0.48
126-1,0.00,5.372,1.00,0.00,5.372,0.967,1.00
127-1,0.64,4.966,0.43,0.64,4.970,0.890,0.44
127-2,0.68,4.719,0.66,0.68,4.711,0.869,0.70
127-3,0.00,5.372,1.00,0.00,5.372,0.967,1.00
128-1,0.32,5.260,0.67,0.32,5.247,0.962,0.64
129-1,0.86,4.987,0.53,0.86,4.865,0.862,0.58
129-2,0.00,5.372,1.00,0.00,5.372,0.967,1.00
129-3,0.86,4.987,0.53,0.86,4.865,0.862,0.58
130-1,0.00,5.372,1.00,0.00,5.372,0.967,1.00
130-2,0.00,5.372,1.00,0.00,5.372,0.967,1.00
130-3,0.00,5.372,1.00,0.00,5.372,0.967,1.00
131-1,0.45,4.312,1.00,0.46,4.317,0.899,1.00
131-2,0.45,4.127,0.07,0.46,4.131,0.915,0.40
131-3,0.73,3.999,0.01,0.73,3.975,0.899,0.05
132-1,1.00,4.215,0.86,1.00,4.134,0.724,0.78
132-2,1.00,4.215,0.86,1.00,4.134,0.724,0.78
65-1,0.73,4.896,0.19,0.73,4.883,0.921,0.18
65-2,0.64,4.960,0.18,0.64,4.926,0.912,0.17
65-3,0.73,4.962,0.19,0.73,4.933,0.915,0.18
68-1,0.00,5.372,1.00,0.00,5.372,0.967,1.00
68-2,0.00,5.372,1.00,0.00,5.372,0.967,1.00
69-1,1.00,3.473,0.53,1.00,3.407,0.798,0.43
69-2,0.95,3.759,0.53,0.95,3.684,0.832,0.68
70-1,0.00,5.372,1.00,0.00,5.372,0.967,1.00
70-2,0.86,4.877,0.27,0.86,4.826,0.922,0.26
70-3,0.86,5.180,0.19,0.86,5.092,0.915,0.30
72-1,0.73,3.778,0.01,0.73,3.803,1.007,0.01
72-2,0.73,3.778,0.01,0.73,3.803,1.007,0.01
73-1,1.00,4.022,0.99,1.00,3.845,0.831,0.94
73-2,0.95,3.988,0.99,0.95,3.759,0.811,0.92
73-3,0.91,14.041,1.00,0.91,14.204,5.050,1.00
