ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
BLAST-S11,0.86,0.244,0.36,0.86,0.271,0.062,0.35
BLAST-S14,0.77,0.222,0.30,0.77,0.240,0.048,0.33
Naive-S11,1.00,0.398,0.17,1.00,0.403,0.028,0.17
Naive-S14,1.00,0.427,0.22,1.00,0.428,0.043,0.21
101-1,0.82,0.612,0.01,0.82,0.609,0.076,0.13
101-2,0.18,0.109,0.20,0.18,0.103,0.055,0.28
101-3,0.82,0.635,0.20,0.82,0.633,0.075,0.24
102-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
102-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
102-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
103-1,0.55,0.427,0.10,0.55,0.437,0.070,0.10
103-2,0.77,0.541,0.02,0.77,0.547,0.059,0.04
103-3,0.59,0.445,0.17,0.59,0.439,0.088,0.17
104-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
104-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
104-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
105-1,0.91,0.540,0.43,0.91,0.574,0.063,0.58
105-2,0.86,0.575,0.94,0.86,0.595,0.071,0.96
105-3,0.91,0.566,0.97,0.91,0.584,0.065,0.98
106-1,0.64,0.518,0.07,0.64,0.512,0.096,0.09
106-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
106-3,0.36,0.426,0.07,0.36,0.417,0.110,0.09
107-1,0.95,0.570,0.70,0.95,0.581,0.065,0.71
107-2,0.95,0.607,0.02,0.95,0.611,0.064,0.03
107-3,0.95,0.555,0.02,0.95,0.555,0.072,0.03
108-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
109-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
110-1,0.95,0.493,0.45,0.95,0.487,0.067,0.41
110-2,0.82,0.300,0.34,0.82,0.304,0.051,0.38
110-3,1.00,0.211,0.94,1.00,0.242,0.054,0.49
111-1,0.95,0.493,0.45,0.95,0.487,0.067,0.41
111-2,1.00,0.211,0.94,1.00,0.242,0.054,0.49
111-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
112-1,1.00,0.372,0.36,1.00,0.380,0.062,0.36
112-2,1.00,0.395,0.31,1.00,0.397,0.060,0.32
112-3,1.00,0.372,0.36,1.00,0.380,0.062,0.36
113-1,1.00,0.395,0.31,1.00,0.397,0.060,0.32
113-2,1.00,0.211,0.94,1.00,0.242,0.054,0.49
113-3,0.68,0.443,0.45,0.68,0.457,0.069,0.30
114-1,1.00,0.691,0.93,1.00,0.691,0.066,0.94
115-1,1.00,0.664,0.19,1.00,0.665,0.062,0.18
116-1,0.68,0.474,0.02,0.68,0.469,0.079,0.17
116-2,0.36,0.305,0.02,0.36,0.296,0.087,0.15
117-1,1.00,0.500,0.03,1.00,0.511,0.051,0.03
117-2,0.09,0.116,1.00,0.09,0.113,0.080,0.88
119-1,1.00,0.546,0.77,1.00,0.561,0.073,0.70
120-1,1.00,0.698,0.93,1.00,0.700,0.059,0.94
120-2,1.00,0.406,0.77,1.00,0.408,0.063,0.76
120-3,1.00,0.326,0.64,1.00,0.332,0.058,0.65
121-1,0.73,0.566,0.60,0.73,0.560,0.087,0.60
121-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
121-3,0.77,0.603,0.02,0.77,0.597,0.085,0.02
122-1,0.32,0.248,1.00,0.32,0.243,0.083,1.00
124-1,1.00,0.486,0.17,1.00,0.486,0.056,0.17
124-2,1.00,0.535,0.15,1.00,0.532,0.070,0.15
124-3,1.00,0.486,0.17,1.00,0.486,0.056,0.17
125-1,1.00,0.691,0.93,1.00,0.691,0.065,0.93
125-2,0.82,0.586,0.28,0.82,0.582,0.076,0.29
125-3,1.00,0.407,0.33,1.00,0.437,0.059,0.34
126-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
127-1,0.64,0.286,0.20,0.64,0.275,0.065,0.22
127-2,0.68,0.422,0.50,0.68,0.419,0.066,0.51
127-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
128-1,0.32,0.167,0.01,0.32,0.154,0.059,0.08
129-1,0.86,0.306,0.48,0.86,0.318,0.055,0.50
129-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
129-3,0.86,0.306,0.48,0.86,0.318,0.055,0.50
130-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
130-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
130-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
131-1,0.45,0.303,1.00,0.46,0.297,0.084,1.00
131-2,0.45,0.361,0.07,0.46,0.356,0.089,0.40
131-3,0.73,0.420,0.01,0.73,0.423,0.071,0.03
132-1,1.00,0.427,0.44,1.00,0.442,0.071,0.46
132-2,1.00,0.427,0.44,1.00,0.442,0.071,0.46
65-1,0.73,0.339,0.07,0.73,0.354,0.054,0.07
65-2,0.64,0.304,0.03,0.64,0.320,0.065,0.05
65-3,0.73,0.299,0.05,0.73,0.314,0.059,0.06
68-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
68-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
69-1,1.00,0.617,0.08,1.00,0.625,0.067,0.12
69-2,0.95,0.559,0.53,0.95,0.565,0.070,0.54
