ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-S11,0.86,0.609,0.36,0.86,0.610,0.040,0.35
BLAST-S14,0.77,0.648,0.36,0.77,0.650,0.025,0.35
Naive-S11,1.00,0.578,0.18,1.00,0.577,0.018,0.20
Naive-S14,1.00,0.531,0.22,1.00,0.535,0.026,0.22
101-1,0.82,0.339,0.01,0.82,0.346,0.068,0.14
101-2,0.18,0.626,0.30,0.18,0.642,0.040,0.42
101-3,0.82,0.321,0.18,0.82,0.321,0.063,0.17
102-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-1,0.55,0.411,0.15,0.55,0.407,0.060,0.14
103-2,0.77,0.480,0.10,0.77,0.437,0.050,0.07
103-3,0.59,0.407,0.17,0.59,0.418,0.082,0.17
104-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
105-1,0.91,0.502,0.92,0.91,0.453,0.056,0.65
105-2,0.86,0.374,0.99,0.86,0.374,0.067,0.98
105-3,0.91,0.435,0.99,0.91,0.423,0.060,0.98
106-1,0.64,0.349,0.07,0.64,0.356,0.091,0.09
106-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
106-3,0.36,0.232,0.07,0.36,0.241,0.121,0.09
107-1,0.95,0.476,0.74,0.95,0.454,0.059,0.71
107-2,0.95,0.399,0.05,0.95,0.392,0.061,0.04
107-3,0.95,0.439,0.02,0.95,0.443,0.067,0.03
108-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
109-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
110-1,0.95,0.571,0.05,0.95,0.556,0.042,0.22
110-2,0.82,0.631,0.32,0.82,0.629,0.035,0.31
110-3,1.00,0.658,0.94,1.00,0.661,0.045,0.96
111-1,0.95,0.571,0.05,0.95,0.556,0.042,0.22
111-2,1.00,0.658,0.94,1.00,0.661,0.045,0.96
111-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
112-1,1.00,0.588,0.36,1.00,0.583,0.037,0.39
112-2,1.00,0.591,0.40,1.00,0.582,0.038,0.38
112-3,1.00,0.588,0.36,1.00,0.583,0.037,0.39
113-1,1.00,0.591,0.40,1.00,0.582,0.038,0.38
113-2,1.00,0.658,0.94,1.00,0.661,0.045,0.96
113-3,0.68,0.508,0.45,0.68,0.500,0.061,0.46
114-1,1.00,0.338,0.92,1.00,0.337,0.060,0.91
115-1,1.00,0.358,0.17,1.00,0.359,0.055,0.17
116-1,0.68,0.402,0.02,0.68,0.411,0.060,0.17
116-2,0.36,0.413,0.02,0.36,0.433,0.082,0.16
117-1,1.00,0.551,0.04,1.00,0.535,0.039,0.04
117-2,0.09,0.324,1.00,0.09,0.319,0.246,1.00
119-1,1.00,0.479,0.75,1.00,0.461,0.055,0.70
120-1,1.00,0.320,0.93,1.00,0.323,0.053,0.94
120-2,1.00,0.549,0.73,1.00,0.547,0.037,0.70
120-3,1.00,0.596,0.64,1.00,0.591,0.028,0.57
121-1,0.73,0.335,0.60,0.73,0.346,0.079,0.60
121-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
121-3,0.77,0.318,0.02,0.77,0.328,0.077,0.02
