ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
BLAST-S11,0.86,0.259,0.36,0.86,0.288,0.067,0.35
BLAST-S14,0.77,0.243,0.36,0.77,0.264,0.055,0.33
Naive-S11,1.00,0.398,0.17,1.00,0.403,0.028,0.17
Naive-S14,1.00,0.427,0.22,1.00,0.428,0.043,0.21
101-1,0.82,0.678,0.01,0.82,0.677,0.076,0.13
101-2,0.18,0.370,0.30,0.18,0.330,0.106,0.44
101-3,0.82,0.710,0.20,0.82,0.708,0.072,0.26
102-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-1,0.55,0.598,0.15,0.55,0.617,0.070,0.13
103-2,0.77,0.602,0.02,0.77,0.619,0.059,0.06
103-3,0.59,0.619,0.17,0.59,0.614,0.093,0.17
104-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
105-1,0.91,0.561,0.43,0.91,0.601,0.065,0.59
105-2,0.86,0.614,0.94,0.86,0.640,0.074,0.96
105-3,0.91,0.590,0.97,0.91,0.612,0.066,0.98
106-1,0.64,0.689,0.07,0.64,0.685,0.097,0.09
106-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
106-3,0.36,0.824,0.07,0.36,0.819,0.101,0.09
107-1,0.95,0.583,0.70,0.95,0.595,0.066,0.72
107-2,0.95,0.621,0.02,0.95,0.626,0.064,0.03
107-3,0.95,0.569,0.02,0.95,0.569,0.073,0.03
108-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
109-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
110-1,0.95,0.507,0.45,0.95,0.501,0.067,0.41
110-2,0.82,0.333,0.34,0.82,0.342,0.051,0.38
110-3,1.00,0.211,0.94,1.00,0.242,0.054,0.49
111-1,0.95,0.507,0.45,0.95,0.501,0.067,0.41
111-2,1.00,0.211,0.94,1.00,0.242,0.054,0.49
111-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
112-1,1.00,0.372,0.36,1.00,0.380,0.062,0.36
112-2,1.00,0.395,0.31,1.00,0.397,0.060,0.32
112-3,1.00,0.372,0.36,1.00,0.380,0.062,0.36
113-1,1.00,0.395,0.31,1.00,0.397,0.060,0.32
113-2,1.00,0.211,0.94,1.00,0.242,0.054,0.49
113-3,0.68,0.543,0.45,0.68,0.553,0.078,0.38
114-1,1.00,0.691,0.93,1.00,0.691,0.066,0.94
115-1,1.00,0.664,0.19,1.00,0.665,0.062,0.18
116-1,0.68,0.593,0.02,0.68,0.591,0.081,0.20
116-2,0.36,0.617,0.02,0.36,0.607,0.106,0.16
117-1,1.00,0.500,0.03,1.00,0.511,0.051,0.03
117-2,0.09,0.807,1.00,0.09,0.784,0.183,1.00
119-1,1.00,0.546,0.77,1.00,0.561,0.073,0.70
120-1,1.00,0.698,0.93,1.00,0.700,0.059,0.94
120-2,1.00,0.406,0.77,1.00,0.408,0.063,0.76
120-3,1.00,0.326,0.64,1.00,0.332,0.058,0.65
121-1,0.73,0.681,0.60,0.73,0.676,0.087,0.60
121-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
121-3,0.77,0.698,0.02,0.77,0.694,0.083,0.02
122-1,0.32,0.580,1.00,0.32,0.575,0.122,1.00
124-1,1.00,0.486,0.17,1.00,0.486,0.056,0.17
124-2,1.00,0.535,0.15,1.00,0.532,0.070,0.15
124-3,1.00,0.486,0.17,1.00,0.486,0.056,0.17
125-1,1.00,0.691,0.93,1.00,0.691,0.065,0.93
125-2,0.82,0.651,0.28,0.82,0.648,0.076,0.30
125-3,1.00,0.407,0.33,1.00,0.437,0.059,0.34
126-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
127-1,0.64,0.370,0.20,0.64,0.363,0.075,0.24
127-2,0.68,0.498,0.50,0.68,0.503,0.074,0.54
127-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
128-1,0.32,0.257,0.01,0.32,0.263,0.104,0.15
129-1,0.86,0.324,0.48,0.86,0.339,0.058,0.50
129-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
129-3,0.86,0.324,0.48,0.86,0.339,0.058,0.50
130-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
131-1,0.45,0.517,1.00,0.46,0.508,0.107,1.00
131-2,0.45,0.609,0.07,0.46,0.603,0.103,0.40
131-3,0.73,0.512,0.01,0.73,0.521,0.072,0.04
132-1,1.00,0.427,0.44,1.00,0.442,0.071,0.46
