ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-H14,0.99,61.234,0.72,0.99,61.207,4.361,0.70
Naive-H14,1.00,55.290,0.23,1.00,55.334,3.775,0.23
101-1,0.00,61.980,1.00,0.00,62.038,4.435,1.00
101-2,0.00,61.980,1.00,0.00,62.038,4.435,1.00
101-3,0.00,61.980,1.00,0.00,62.038,4.435,1.00
102-1,0.00,61.980,1.00,0.00,62.038,4.435,1.00
102-2,0.00,61.980,1.00,0.00,62.038,4.435,1.00
102-3,0.00,61.980,1.00,0.00,62.038,4.435,1.00
103-1,0.00,61.980,1.00,0.00,62.038,4.435,1.00
103-2,0.00,61.980,1.00,0.00,62.038,4.435,1.00
103-3,0.00,61.980,1.00,0.00,62.038,4.435,1.00
104-1,0.76,60.963,0.13,0.76,60.990,4.373,0.14
104-2,0.76,60.963,0.13,0.76,60.990,4.373,0.14
104-3,0.89,61.586,0.87,0.89,61.639,4.412,0.87
105-1,0.00,61.980,1.00,0.00,62.038,4.435,1.00
105-2,0.00,61.980,1.00,0.00,62.038,4.435,1.00
105-3,0.00,61.980,1.00,0.00,62.038,4.435,1.00
106-1,0.00,61.980,1.00,0.00,62.038,4.435,1.00
106-2,0.00,61.980,1.00,0.00,62.038,4.435,1.00
106-3,0.00,61.980,1.00,0.00,62.038,4.435,1.00
107-1,0.00,61.980,1.00,0.00,62.038,4.435,1.00
107-2,0.00,61.980,1.00,0.00,62.038,4.435,1.00
107-3,0.00,61.980,1.00,0.00,62.038,4.435,1.00
108-1,0.21,61.134,1.00,0.21,61.211,4.324,1.00
109-1,0.00,61.980,1.00,0.00,62.038,4.435,1.00
110-1,1.00,64.684,1.00,1.00,64.834,3.905,1.00
110-2,0.95,60.273,0.11,0.95,60.292,4.271,0.12
110-3,1.00,61.681,0.98,1.00,61.744,4.315,0.99
111-1,0.00,61.980,1.00,0.00,62.038,4.435,1.00
111-2,0.00,61.980,1.00,0.00,62.038,4.435,1.00
111-3,0.00,61.980,1.00,0.00,62.038,4.435,1.00
112-1,1.00,60.517,0.59,1.00,60.521,4.272,0.60
112-2,1.00,60.497,0.52,1.00,60.522,4.265,0.54
112-3,0.99,60.521,0.59,0.99,60.524,4.272,0.60
113-1,0.99,60.507,0.52,0.99,60.532,4.267,0.54
113-2,0.89,61.681,0.98,0.90,61.744,4.315,0.99
113-3,0.00,61.980,1.00,0.00,62.038,4.435,1.00
114-1,0.00,61.980,1.00,0.00,62.038,4.435,1.00
115-1,0.00,61.980,1.00,0.00,62.038,4.435,1.00
116-1,0.00,61.980,1.00,0.00,62.038,4.435,1.00
116-2,0.00,61.980,1.00,0.00,62.038,4.435,1.00
117-1,0.00,61.980,1.00,0.00,62.038,4.435,1.00
117-2,0.00,61.980,1.00,0.00,62.038,4.435,1.00
119-1,0.67,59.325,0.40,0.67,59.332,4.214,0.40
120-1,0.00,61.980,1.00,0.00,62.038,4.435,1.00
120-2,0.00,61.980,1.00,0.00,62.038,4.435,1.00
120-3,0.00,61.980,1.00,0.00,62.038,4.435,1.00
121-1,0.00,61.980,1.00,0.00,62.038,4.435,1.00
121-2,0.00,61.980,1.00,0.00,62.038,4.435,1.00
121-3,0.00,61.980,1.00,0.00,62.038,4.435,1.00
122-1,0.00,61.980,1.00,0.00,62.038,4.435,1.00
124-1,0.00,61.980,1.00,0.00,62.038,4.435,1.00
124-2,0.00,61.980,1.00,0.00,62.038,4.435,1.00
124-3,0.00,61.980,1.00,0.00,62.038,4.435,1.00
125-1,0.00,61.980,1.00,0.00,62.038,4.435,1.00
125-2,0.00,61.980,1.00,0.00,62.038,4.435,1.00
125-3,0.00,61.980,1.00,0.00,62.038,4.435,1.00
126-1,0.00,61.980,1.00,0.00,62.038,4.435,1.00
127-1,0.00,61.980,1.00,0.00,62.038,4.435,1.00
127-2,0.00,61.980,1.00,0.00,62.038,4.435,1.00
127-3,0.00,61.980,1.00,0.00,62.038,4.435,1.00
128-1,0.00,61.980,1.00,0.00,62.038,4.435,1.00
129-1,0.00,61.980,1.00,0.00,62.038,4.435,1.00
129-2,0.00,61.980,1.00,0.00,62.038,4.435,1.00
129-3,0.00,61.980,1.00,0.00,62.038,4.435,1.00
130-1,1.00,60.846,0.87,1.00,60.818,4.363,0.89
130-2,1.00,60.953,0.92,1.00,60.987,4.375,0.91
130-3,1.00,60.889,0.90,1.00,60.908,4.356,0.89
131-1,0.00,61.980,1.00,0.00,62.038,4.435,1.00
131-2,0.00,61.980,1.00,0.00,62.038,4.435,1.00
131-3,0.00,61.980,1.00,0.00,62.038,4.435,1.00
132-1,1.00,59.861,0.55,1.00,59.908,4.212,0.56
132-2,0.99,59.865,0.55,0.99,59.911,4.212,0.56
65-1,1.00,57.970,0.17,1.00,58.020,4.098,0.17
65-2,0.01,61.680,0.12,0.01,61.750,4.420,0.17
65-3,1.00,61.203,0.15,1.00,61.196,4.374,0.18
68-1,0.00,61.980,1.00,0.00,62.038,4.435,1.00
68-2,0.00,61.980,1.00,0.00,62.038,4.435,1.00
69-1,0.00,61.980,1.00,0.00,62.038,4.435,1.00
69-2,0.00,61.980,1.00,0.00,62.038,4.435,1.00
70-1,0.00,61.980,1.00,0.00,62.038,4.435,1.00
70-2,0.00,61.980,1.00,0.00,62.038,4.435,1.00
70-3,0.00,61.980,1.00,0.00,62.038,4.435,1.00
72-1,1.00,56.541,0.21,1.00,56.557,3.878,0.20
72-2,1.00,56.541,0.21,1.00,56.557,3.878,0.20
73-1,0.00,61.980,1.00,0.00,62.038,4.435,1.00
73-2,0.00,61.980,1.00,0.00,62.038,4.435,1.00
73-3,0.00,61.980,1.00,0.00,62.038,4.435,1.00
74-1,0.00,61.980,1.00,0.00,62.038,4.435,1.00
74-2,0.00,61.980,1.00,0.00,62.038,4.435,1.00
75-1,0.00,61.980,1.00,0.00,62.038,4.435,1.00
75-2,0.00,61.980,1.00,0.00,62.038,4.435,1.00
79-1,0.00,61.980,1.00,0.00,62.038,4.435,1.00
79-2,0.00,61.980,1.00,0.00,62.038,4.435,1.00
79-3,0.00,61.980,1.00,0.00,62.038,4.435,1.00
80-1,0.00,61.980,1.00,0.00,62.038,4.435,1.00
80-2,0.00,61.980,1.00,0.00,62.038,4.435,1.00
81-1,0.25,61.980,1.00,0.25,61.974,4.395,0.93
81-2,0.25,61.980,1.00,0.25,61.973,4.395,0.93
82-1,0.00,61.980,1.00,0.00,62.038,4.435,1.00
83-1,0.00,61.980,1.00,0.00,62.038,4.435,1.00
83-2,0.00,61.980,1.00,0.00,62.038,4.435,1.00
84-1,0.00,61.980,1.00,0.00,62.038,4.435,1.00
85-1,0.97,59.585,0.46,0.97,59.614,4.173,0.45
85-2,0.00,61.980,1.00,0.00,62.038,4.435,1.00
86-1,0.00,61.980,1.00,0.00,62.038,4.435,1.00
86-2,0.00,61.980,1.00,0.00,62.038,4.435,1.00
86-3,0.00,61.980,1.00,0.00,62.038,4.435,1.00
87-1,0.00,61.980,1.00,0.00,62.038,4.435,1.00
87-2,0.00,61.980,1.00,0.00,62.038,4.435,1.00
87-3,0.00,61.980,1.00,0.00,62.038,4.435,1.00
88-1,0.00,61.980,1.00,0.00,62.038,4.435,1.00
89-1,0.00,61.980,1.00,0.00,62.038,4.435,1.00
89-2,0.00,61.980,1.00,0.00,62.038,4.435,1.00
89-3,0.00,61.980,1.00,0.00,62.038,4.435,1.00
91-1,0.00,61.980,1.00,0.00,62.038,4.435,1.00
91-2,0.00,61.980,1.00,0.00,62.038,4.435,1.00
91-3,0.00,61.980,1.00,0.00,62.038,4.435,1.00
93-1,0.00,61.980,1.00,0.00,62.038,4.435,1.00
93-2,0.00,61.980,1.00,0.00,62.038,4.435,1.00
94-1,0.00,61.980,1.00,0.00,62.038,4.435,1.00
95-1,0.00,61.980,1.00,0.00,62.038,4.435,1.00
95-2,0.00,61.980,1.00,0.00,62.038,4.435,1.00
96-1,0.00,61.980,1.00,0.00,62.038,4.435,1.00
96-2,0.00,61.980,1.00,0.00,62.038,4.435,1.00
96-3,0.00,61.980,1.00,0.00,62.038,4.435,1.00
97-1,1.00,58.178,0.33,1.00,58.230,4.033,0.33
97-2,1.00,56.585,0.30,1.00,56.576,3.905,0.31
97-3,1.00,61.830,0.69,1.00,61.447,4.295,0.78
98-1,0.00,61.980,1.00,0.00,62.038,4.435,1.00
