ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
BLAST-H14,0.99,0.150,0.40,0.99,0.152,0.010,0.38
Naive-H14,1.00,0.293,0.14,1.00,0.293,0.008,0.14
101-1,0.00,0.010,0.00,0.00,0.010,0.001,0.00
101-2,0.00,0.010,0.00,0.00,0.010,0.001,0.00
101-3,0.00,0.010,0.00,0.00,0.010,0.001,0.00
102-1,0.00,0.010,0.00,0.00,0.010,0.001,0.00
102-2,0.00,0.010,0.00,0.00,0.010,0.001,0.00
102-3,0.00,0.010,0.00,0.00,0.010,0.001,0.00
103-1,0.00,0.010,0.00,0.00,0.010,0.001,0.00
103-2,0.00,0.010,0.00,0.00,0.010,0.001,0.00
103-3,0.00,0.010,0.00,0.00,0.010,0.001,0.00
104-1,0.76,0.136,0.01,0.76,0.135,0.008,0.01
104-2,0.76,0.136,0.01,0.76,0.135,0.008,0.01
104-3,0.89,0.108,0.19,0.89,0.110,0.006,0.18
105-1,0.00,0.010,0.00,0.00,0.010,0.001,0.00
105-2,0.00,0.010,0.00,0.00,0.010,0.001,0.00
105-3,0.00,0.010,0.00,0.00,0.010,0.001,0.00
106-1,0.00,0.010,0.00,0.00,0.010,0.001,0.00
106-2,0.00,0.010,0.00,0.00,0.010,0.001,0.00
106-3,0.00,0.010,0.00,0.00,0.010,0.001,0.00
107-1,0.00,0.010,0.00,0.00,0.010,0.001,0.00
107-2,0.00,0.010,0.00,0.00,0.010,0.001,0.00
107-3,0.00,0.010,0.00,0.00,0.010,0.001,0.00
108-1,0.21,0.043,1.00,0.21,0.043,0.010,1.00
109-1,0.00,0.010,0.00,0.00,0.010,0.001,0.00
110-1,1.00,0.184,0.64,1.00,0.184,0.012,0.64
110-2,0.95,0.121,0.01,0.95,0.121,0.010,0.01
110-3,1.00,0.157,0.04,1.00,0.158,0.013,0.06
111-1,0.00,0.010,0.00,0.00,0.010,0.001,0.00
111-2,0.00,0.010,0.00,0.00,0.010,0.001,0.00
111-3,0.00,0.010,0.00,0.00,0.010,0.001,0.00
112-1,1.00,0.172,0.28,1.00,0.173,0.008,0.28
112-2,1.00,0.187,0.25,1.00,0.189,0.009,0.24
112-3,0.99,0.168,0.28,0.99,0.169,0.008,0.30
113-1,0.99,0.184,0.25,0.99,0.187,0.009,0.25
113-2,0.89,0.112,0.28,0.90,0.112,0.007,0.24
113-3,0.00,0.010,0.00,0.00,0.010,0.001,0.00
114-1,0.00,0.010,0.00,0.00,0.010,0.001,0.00
115-1,0.00,0.010,0.00,0.00,0.010,0.001,0.00
116-1,0.00,0.010,0.00,0.00,0.010,0.001,0.00
116-2,0.00,0.010,0.00,0.00,0.010,0.001,0.00
117-1,0.00,0.010,0.00,0.00,0.010,0.001,0.00
117-2,0.00,0.010,0.00,0.00,0.010,0.001,0.00
119-1,0.67,0.164,0.16,0.67,0.164,0.013,0.17
120-1,0.00,0.010,0.00,0.00,0.010,0.001,0.00
120-2,0.00,0.010,0.00,0.00,0.010,0.001,0.00
120-3,0.00,0.010,0.00,0.00,0.010,0.001,0.00
121-1,0.00,0.010,0.00,0.00,0.010,0.001,0.00
121-2,0.00,0.010,0.00,0.00,0.010,0.001,0.00
121-3,0.00,0.010,0.00,0.00,0.010,0.001,0.00
122-1,0.00,0.010,0.00,0.00,0.010,0.001,0.00
124-1,0.00,0.010,0.00,0.00,0.010,0.001,0.00
124-2,0.00,0.010,0.00,0.00,0.010,0.001,0.00
124-3,0.00,0.010,0.00,0.00,0.010,0.001,0.00
125-1,0.00,0.010,0.00,0.00,0.010,0.001,0.00
125-2,0.00,0.010,0.00,0.00,0.010,0.001,0.00
125-3,0.00,0.010,0.00,0.00,0.010,0.001,0.00
126-1,0.00,0.010,0.00,0.00,0.010,0.001,0.00
127-1,0.00,0.010,0.00,0.00,0.010,0.001,0.00
127-2,0.00,0.010,0.00,0.00,0.010,0.001,0.00
