ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
BLAST-H14,0.99,0.217,0.36,0.99,0.221,0.011,0.37
Naive-H14,1.00,0.356,0.18,1.00,0.357,0.010,0.18
101-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
101-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
101-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-1,0.76,0.219,0.01,0.76,0.219,0.010,0.01
104-2,0.76,0.219,0.01,0.76,0.219,0.010,0.01
104-3,0.89,0.187,0.07,0.89,0.191,0.008,0.12
105-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
105-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
105-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
106-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
106-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
106-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
107-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
107-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
107-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
108-1,0.21,0.178,1.00,0.21,0.175,0.026,1.00
109-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
110-1,1.00,0.247,0.64,1.00,0.247,0.012,0.63
110-2,0.95,0.181,0.01,0.95,0.181,0.011,0.01
110-3,1.00,0.229,0.08,1.00,0.230,0.012,0.07
111-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
111-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
111-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
112-1,1.00,0.259,0.28,1.00,0.260,0.009,0.26
112-2,1.00,0.265,0.19,1.00,0.265,0.010,0.19
112-3,0.99,0.257,0.28,0.99,0.258,0.009,0.27
113-1,0.99,0.262,0.19,0.99,0.263,0.010,0.20
113-2,0.89,0.201,0.19,0.90,0.203,0.008,0.18
113-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
114-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
115-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
116-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
116-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
117-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
117-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
119-1,0.67,0.256,0.17,0.67,0.258,0.016,0.16
120-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
120-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
120-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
121-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
121-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
121-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
122-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
124-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
124-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
124-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
125-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
125-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
125-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
126-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
127-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
127-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
127-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
128-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
129-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
129-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
129-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-1,1.00,0.220,0.48,1.00,0.221,0.009,0.48
130-2,1.00,0.216,0.50,1.00,0.218,0.009,0.50
130-3,1.00,0.212,0.42,1.00,0.214,0.009,0.43
131-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
131-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
131-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
132-1,1.00,0.257,0.36,1.00,0.259,0.010,0.33
132-2,0.99,0.256,0.36,0.99,0.257,0.010,0.34
65-1,1.00,0.287,0.11,1.00,0.287,0.008,0.11
65-2,0.01,0.266,0.17,0.01,0.273,0.024,0.19
65-3,1.00,0.231,0.04,1.00,0.230,0.008,0.04
68-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
68-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
69-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
69-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
70-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
70-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
70-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
