ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-H14,0.99,61.428,0.72,0.99,61.399,4.393,0.70
Naive-H14,1.00,55.290,0.23,1.00,55.334,3.775,0.23
101-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
101-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
101-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-1,0.76,63.239,0.14,0.76,63.228,5.303,0.15
104-2,0.76,63.239,0.14,0.76,63.228,5.303,0.15
104-3,0.89,61.493,0.87,0.89,61.545,4.636,0.87
105-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
105-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
105-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
106-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
106-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
106-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
107-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
107-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
107-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
108-1,0.21,59.409,1.00,0.21,60.012,7.283,1.00
109-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
110-1,1.00,64.684,1.00,1.00,64.834,3.905,1.00
110-2,0.95,60.621,0.11,0.95,60.637,4.450,0.14
110-3,1.00,61.681,0.98,1.00,61.744,4.315,0.99
111-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
111-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
111-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
112-1,1.00,60.517,0.59,1.00,60.521,4.272,0.60
112-2,1.00,60.484,0.52,1.00,60.510,4.283,0.54
112-3,0.99,60.480,0.59,0.99,60.482,4.307,0.60
113-1,0.99,60.456,0.52,0.99,60.479,4.320,0.55
113-2,0.89,62.678,1.00,0.90,62.748,4.623,0.99
113-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
114-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
115-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
116-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
116-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
117-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
117-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
119-1,0.67,59.307,0.40,0.67,59.352,5.032,0.44
120-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
120-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
120-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
121-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
121-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
121-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
122-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
124-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
124-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
124-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
125-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
125-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
125-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
126-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
127-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
127-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
127-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
128-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
129-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
129-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
129-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-1,1.00,60.905,0.87,1.00,60.876,4.380,0.89
130-2,1.00,61.009,0.92,1.00,61.045,4.393,0.91
130-3,1.00,60.946,0.90,1.00,60.966,4.374,0.89
131-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
131-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
131-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
132-1,1.00,59.861,0.55,1.00,59.908,4.212,0.56
132-2,0.99,59.819,0.55,0.99,59.865,4.246,0.56
65-1,1.00,58.142,0.17,1.00,58.189,4.111,0.17
65-2,0.01,83.154,0.30,0.01,82.935,31.877,0.31
65-3,1.00,61.203,0.15,1.00,61.196,4.374,0.18
68-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
68-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
69-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
69-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
70-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
70-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
70-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
72-1,1.00,56.541,0.21,1.00,56.557,3.878,0.20
72-2,1.00,56.541,0.21,1.00,56.557,3.878,0.20
73-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
73-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
73-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
74-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
74-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
75-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
75-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
79-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
79-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
79-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
80-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
80-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
81-1,0.25,54.739,1.00,0.25,54.863,7.261,1.00
81-2,0.25,54.739,1.00,0.25,54.863,7.261,1.00
82-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
83-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
83-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
84-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
85-1,0.97,58.791,0.46,0.97,58.831,4.238,0.45
85-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
86-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
86-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
86-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
87-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
87-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
87-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
88-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
89-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
89-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
89-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
91-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
91-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
91-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
93-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
93-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
94-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
95-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
95-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
96-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
96-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
96-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
97-1,1.00,58.178,0.33,1.00,58.230,4.033,0.33
97-2,1.00,56.585,0.30,1.00,56.576,3.905,0.31
97-3,1.00,61.830,0.69,1.00,61.447,4.295,0.78
98-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
99-1,0.90,60.563,0.05,0.90,60.573,4.626,0.05
