ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
BLAST-S11,1.00,0.481,0.48,1.00,0.487,0.032,0.47
BLAST-S14,1.00,0.546,0.44,1.00,0.550,0.030,0.45
Naive-S11,1.00,0.565,0.11,1.00,0.565,0.030,0.11
Naive-S14,1.00,0.569,0.18,1.00,0.569,0.031,0.18
101-1,0.98,0.457,0.31,0.98,0.458,0.022,0.33
101-2,0.98,0.533,0.20,0.98,0.547,0.032,0.18
101-3,0.98,0.552,0.03,0.98,0.558,0.032,0.10
102-1,1.00,0.546,0.39,1.00,0.555,0.037,0.44
102-2,0.93,0.512,0.72,0.93,0.525,0.040,0.54
102-3,0.04,0.061,0.46,0.04,0.058,0.035,0.46
103-1,0.00,0.001,0.00,0.00,0.001,0.000,0.00
103-2,0.00,0.001,0.00,0.00,0.001,0.000,0.00
103-3,0.84,0.546,0.17,0.84,0.545,0.040,0.17
104-1,0.00,0.001,0.00,0.00,0.001,0.000,0.00
104-2,0.00,0.001,0.00,0.00,0.001,0.000,0.00
104-3,0.00,0.001,0.00,0.00,0.001,0.000,0.00
105-1,1.00,0.535,0.92,1.00,0.538,0.023,0.91
105-2,1.00,0.557,0.96,1.00,0.558,0.021,0.96
105-3,1.00,0.540,1.00,1.00,0.541,0.023,1.00
106-1,0.95,0.315,0.06,0.95,0.317,0.042,0.09
106-2,0.52,0.064,0.60,0.52,0.064,0.020,0.65
106-3,0.36,0.318,0.07,0.36,0.316,0.051,0.09
107-1,1.00,0.480,0.71,1.00,0.494,0.024,0.76
107-2,1.00,0.594,0.07,1.00,0.604,0.031,0.06
107-3,0.00,0.001,0.00,0.00,0.001,0.000,0.00
108-1,0.00,0.001,0.00,0.00,0.001,0.000,0.00
109-1,0.00,0.001,0.00,0.00,0.001,0.000,0.00
110-1,1.00,0.357,0.10,1.00,0.367,0.030,0.24
110-2,1.00,0.349,0.31,1.00,0.357,0.033,0.25
110-3,1.00,0.371,0.01,1.00,0.369,0.025,0.05
111-1,1.00,0.357,0.10,1.00,0.366,0.030,0.23
111-2,1.00,0.374,0.01,1.00,0.372,0.024,0.04
111-3,0.02,0.030,0.02,0.02,0.026,0.022,0.01
112-1,1.00,0.383,0.28,1.00,0.386,0.034,0.28
112-2,1.00,0.389,0.26,1.00,0.393,0.034,0.27
112-3,1.00,0.372,0.28,1.00,0.375,0.034,0.28
113-1,1.00,0.381,0.26,1.00,0.384,0.034,0.27
113-2,0.50,0.167,0.25,0.50,0.176,0.033,0.35
113-3,1.00,0.377,0.40,1.00,0.399,0.035,0.37
114-1,1.00,0.559,0.96,1.00,0.568,0.025,0.72
115-1,1.00,0.549,0.40,1.00,0.562,0.025,0.54
116-1,0.96,0.516,0.74,0.96,0.527,0.036,0.72
116-2,0.91,0.567,0.53,0.91,0.572,0.040,0.62
117-1,1.00,0.552,0.14,1.00,0.561,0.031,0.13
117-2,0.25,0.220,1.00,0.25,0.217,0.059,1.00
119-1,1.00,0.607,0.87,1.00,0.611,0.035,0.87
120-1,1.00,0.563,0.94,1.00,0.567,0.026,0.93
120-2,1.00,0.531,0.64,1.00,0.533,0.038,0.65
120-3,0.84,0.560,0.64,0.84,0.559,0.042,0.64
121-1,0.30,0.286,0.60,0.30,0.283,0.056,0.60
121-2,0.11,0.087,0.85,0.11,0.086,0.044,0.86
121-3,0.96,0.564,0.08,0.96,0.564,0.036,0.10
122-1,1.00,0.546,0.71,1.00,0.547,0.030,0.75
124-1,1.00,0.575,0.31,1.00,0.575,0.036,0.31
124-2,1.00,0.518,0.23,1.00,0.517,0.037,0.24
124-3,1.00,0.459,0.18,1.00,0.462,0.037,0.20
125-1,1.00,0.555,0.92,1.00,0.560,0.029,0.90
125-2,1.00,0.525,0.34,1.00,0.537,0.026,0.28
125-3,1.00,0.443,0.42,1.00,0.454,0.033,0.41
126-1,0.27,0.166,0.45,0.27,0.163,0.048,0.51
127-1,1.00,0.602,0.56,1.00,0.618,0.030,0.60
127-2,1.00,0.609,0.17,1.00,0.614,0.039,0.17
127-3,0.00,0.001,0.00,0.00,0.001,0.000,0.00
128-1,0.73,0.252,0.20,0.73,0.254,0.038,0.29
129-1,1.00,0.618,0.46,1.00,0.631,0.026,0.45
129-2,0.00,0.001,0.00,0.00,0.001,0.000,0.00
129-3,1.00,0.618,0.46,1.00,0.631,0.026,0.45
130-1,0.00,0.001,0.00,0.00,0.001,0.000,0.00
130-2,0.00,0.001,0.00,0.00,0.001,0.000,0.00
130-3,0.00,0.001,0.00,0.00,0.001,0.000,0.00
131-1,0.95,0.568,0.86,0.95,0.572,0.035,0.59
131-2,0.98,0.571,0.49,0.98,0.573,0.034,0.53
131-3,0.96,0.564,0.19,0.96,0.575,0.029,0.20
132-1,1.00,0.422,0.46,1.00,0.428,0.037,0.45
132-2,1.00,0.430,0.46,1.00,0.437,0.038,0.47
65-1,1.00,0.253,0.06,1.00,0.276,0.033,0.10
65-2,1.00,0.234,0.04,1.00,0.258,0.035,0.10
65-3,1.00,0.215,0.07,1.00,0.239,0.028,0.11
68-1,0.00,0.001,0.00,0.00,0.001,0.000,0.00
68-2,0.00,0.001,0.00,0.00,0.001,0.000,0.00
69-1,1.00,0.580,0.51,1.00,0.587,0.026,0.56
69-2,1.00,0.572,0.24,1.00,0.586,0.027,0.47
70-1,1.00,0.668,0.20,1.00,0.679,0.025,0.26
70-2,1.00,0.551,0.11,1.00,0.564,0.031,0.15
70-3,1.00,0.412,0.20,1.00,0.416,0.019,0.18
72-1,0.96,0.486,0.01,0.96,0.484,0.037,0.01
72-2,0.79,0.390,0.01,0.79,0.387,0.043,0.01
73-1,1.00,0.444,0.85,1.00,0.454,0.027,0.86
