ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-S11,1.00,4.547,0.56,1.00,4.497,0.305,0.59
BLAST-S14,1.00,4.029,0.59,1.00,4.002,0.301,0.61
Naive-S11,1.00,3.357,0.11,1.00,3.360,0.289,0.11
Naive-S14,1.00,3.312,0.18,1.00,3.315,0.288,0.18
101-1,0.98,5.076,0.42,0.98,5.029,0.260,0.42
101-2,0.98,3.850,0.40,0.98,3.785,0.319,0.35
101-3,0.98,4.068,0.33,0.98,4.012,0.310,0.49
102-1,1.00,3.560,0.67,1.00,3.535,0.276,0.66
102-2,0.93,4.204,0.85,0.93,4.145,0.430,0.83
102-3,0.04,3.556,0.88,0.04,3.552,1.178,0.91
103-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-3,0.84,3.615,0.33,0.84,3.477,0.267,0.26
104-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
105-1,1.00,4.519,0.93,1.00,4.532,0.263,0.93
105-2,1.00,5.462,1.00,1.00,5.480,0.531,1.00
105-3,1.00,6.594,1.00,1.00,6.607,0.759,1.00
106-1,0.95,5.278,0.93,0.95,5.242,0.259,0.82
106-2,0.52,6.011,1.00,0.52,5.990,0.347,0.96
106-3,0.36,3.456,0.13,0.36,3.477,0.533,0.13
107-1,1.00,6.264,1.00,1.00,6.345,1.343,1.00
107-2,1.00,3.907,0.11,1.00,3.806,0.273,0.10
107-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
108-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
109-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
110-1,1.00,6.084,0.99,1.00,6.090,0.368,0.99
110-2,1.00,5.480,0.80,1.00,5.467,0.290,0.83
110-3,1.00,7.059,1.00,1.00,7.068,0.611,0.96
111-1,1.00,6.084,0.99,1.00,6.089,0.368,0.99
111-2,1.00,7.050,1.00,1.00,7.059,0.602,0.96
111-3,0.02,7.874,1.00,0.02,7.874,0.000,1.00
112-1,1.00,5.353,0.64,1.00,5.312,0.311,0.63
112-2,1.00,5.389,0.63,1.00,5.334,0.309,0.64
112-3,1.00,5.276,0.64,1.00,5.195,0.276,0.69
113-1,1.00,5.299,0.65,1.00,5.220,0.272,0.69
113-2,0.50,9.456,1.00,0.50,9.447,1.041,0.97
113-3,1.00,5.450,0.99,1.00,5.444,0.286,0.96
114-1,1.00,4.823,1.00,1.00,4.832,0.384,1.00
115-1,1.00,3.970,0.87,1.00,3.906,0.312,0.88
116-1,0.96,3.727,0.87,0.96,3.703,0.306,0.89
116-2,0.91,3.438,0.84,0.91,3.342,0.289,0.81
117-1,1.00,3.700,0.18,1.00,3.614,0.256,0.17
117-2,0.25,7.229,1.00,0.25,7.341,2.161,1.00
119-1,1.00,3.477,0.89,1.00,3.502,0.398,0.89
120-1,1.00,5.195,1.00,1.00,5.197,0.404,1.00
120-2,1.00,4.090,0.76,1.00,4.042,0.359,0.73
120-3,0.84,3.598,0.75,0.84,3.498,0.297,0.75
121-1,0.30,4.017,0.60,0.30,4.088,0.803,0.60
121-2,0.11,3.635,0.85,0.11,3.869,0.972,0.87
121-3,0.96,3.943,0.11,0.96,3.875,0.278,0.21
122-1,1.00,4.385,0.99,1.00,4.323,0.331,0.92
124-1,1.00,3.309,0.31,1.00,3.324,0.298,0.31
124-2,1.00,3.774,0.31,1.00,3.780,0.321,0.32
124-3,1.00,4.625,0.30,1.00,4.623,0.313,0.30
125-1,1.00,4.823,1.00,1.00,4.832,0.384,1.00
125-2,1.00,4.389,0.48,1.00,4.382,0.230,0.49
125-3,1.00,5.093,0.93,1.00,5.081,0.279,0.89
126-1,0.27,4.321,0.60,0.27,4.340,0.526,0.61
127-1,1.00,3.151,0.71,1.00,3.091,0.256,0.73
127-2,1.00,3.156,0.19,1.00,3.110,0.317,0.19
