ID-model,GO:0003674,GO:0003824,GO:0003676,GO:0003677,GO:0097159,GO:1901363,GO:0005488,GO:0000975,GO:0001067,GO:0044212
BLAST-S11,NaN,0.91,0.89,0.89,0.80,0.80,0.86,0.58,0.58,0.58
BLAST-S14,NaN,0.97,0.96,0.96,0.96,0.96,0.95,0.88,0.88,0.88
Naive-S11,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
Naive-S14,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
101-1,NaN,0.98,0.79,0.79,0.50,0.50,0.61,0.50,0.50,0.50
101-2,NaN,0.95,0.90,0.90,0.89,0.89,0.79,0.50,0.50,0.50
101-3,NaN,1.00,0.95,0.95,0.85,0.85,0.83,0.50,0.50,0.50
102-1,NaN,0.97,0.89,0.89,0.81,0.81,0.68,0.96,0.96,0.96
102-2,NaN,0.95,0.94,0.93,0.89,0.89,0.69,0.92,0.92,0.92
102-3,NaN,0.65,0.46,0.46,0.38,0.38,0.44,0.50,0.50,0.50
103-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
103-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
103-3,NaN,0.65,0.95,0.95,0.94,0.94,0.89,0.50,0.50,0.50
104-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
104-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
104-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
105-1,NaN,1.00,0.88,0.88,0.66,0.66,0.63,0.89,0.89,0.89
105-2,NaN,1.00,0.90,0.90,0.71,0.71,0.70,0.91,0.91,0.91
105-3,NaN,1.00,0.88,0.88,0.70,0.70,0.73,0.84,0.84,0.84
106-1,NaN,0.90,0.72,0.72,0.56,0.56,0.69,0.50,0.50,0.50
106-2,NaN,0.55,0.50,0.50,0.31,0.31,0.44,0.50,0.50,0.50
106-3,NaN,0.80,0.54,0.54,0.42,0.42,0.44,0.50,0.50,0.50
107-1,NaN,0.99,0.87,0.87,0.66,0.66,0.45,0.77,0.77,0.77
107-2,NaN,1.00,0.85,0.85,0.66,0.66,0.69,0.93,0.93,0.93
107-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
108-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
109-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
110-1,NaN,0.93,0.79,0.79,0.78,0.78,0.73,0.85,0.85,0.85
110-2,NaN,1.00,0.75,0.78,0.61,0.61,0.58,0.60,0.60,0.62
110-3,NaN,0.68,0.44,0.52,0.44,0.44,0.56,0.50,0.50,0.50
111-1,NaN,0.93,0.79,0.79,0.78,0.78,0.73,0.85,0.85,0.85
111-2,NaN,0.68,0.44,0.52,0.44,0.44,0.56,0.50,0.50,0.50
111-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
112-1,NaN,1.00,0.87,0.95,0.76,0.79,0.58,0.85,0.85,0.85
112-2,NaN,1.00,0.86,0.93,0.74,0.77,0.58,0.85,0.85,0.85
112-3,NaN,1.00,0.83,0.93,0.71,0.74,0.55,0.85,0.85,0.85
113-1,NaN,1.00,0.83,0.91,0.70,0.72,0.55,0.85,0.85,0.85
113-2,NaN,0.68,0.44,0.52,0.44,0.44,0.47,0.50,0.50,0.50
113-3,NaN,0.93,0.78,0.78,0.76,0.76,0.72,0.85,0.85,0.85
114-1,NaN,1.00,0.91,0.91,0.74,0.74,0.76,0.88,0.88,0.88
115-1,NaN,1.00,0.94,0.94,0.75,0.75,0.78,0.71,0.71,0.71
116-1,NaN,1.00,0.90,0.90,0.73,0.73,0.77,0.50,0.50,0.50
116-2,NaN,0.95,0.90,0.90,0.78,0.78,0.72,0.50,0.50,0.50
117-1,NaN,1.00,0.96,0.96,0.92,0.92,0.82,0.89,0.89,0.89
117-2,NaN,0.65,0.83,0.83,0.83,0.83,0.78,0.50,0.50,0.50
