ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
BLAST-S11,0.96,0.487,0.54,0.96,0.512,0.053,0.47
BLAST-S14,1.00,0.642,0.45,1.00,0.659,0.042,0.42
Naive-S11,1.00,0.331,0.07,1.00,0.334,0.030,0.07
Naive-S14,1.00,0.358,0.09,1.00,0.359,0.035,0.10
101-1,0.96,0.474,0.26,0.96,0.474,0.032,0.29
101-2,0.92,0.607,0.20,0.92,0.617,0.037,0.20
101-3,0.96,0.656,0.50,0.96,0.657,0.033,0.52
102-1,1.00,0.681,0.46,1.00,0.683,0.046,0.48
102-2,1.00,0.646,0.46,1.00,0.658,0.050,0.52
102-3,0.12,0.167,0.23,0.12,0.158,0.074,0.41
103-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
103-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
103-3,0.68,0.499,0.33,0.68,0.502,0.063,0.28
104-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
104-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
104-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
105-1,1.00,0.613,0.80,1.00,0.621,0.037,0.85
105-2,1.00,0.630,1.00,1.00,0.637,0.037,0.99
105-3,1.00,0.611,1.00,1.00,0.618,0.034,0.99
106-1,0.96,0.427,0.10,0.96,0.424,0.059,0.13
106-2,0.48,0.099,0.76,0.48,0.099,0.059,0.81
106-3,0.40,0.335,0.10,0.40,0.328,0.075,0.13
107-1,1.00,0.562,0.72,1.00,0.578,0.039,0.73
107-2,1.00,0.629,0.03,1.00,0.640,0.037,0.04
107-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
108-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
109-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
110-1,1.00,0.586,0.54,1.00,0.598,0.054,0.53
110-2,1.00,0.440,0.16,1.00,0.459,0.048,0.22
110-3,1.00,0.297,0.23,1.00,0.290,0.049,0.28
111-1,1.00,0.586,0.54,1.00,0.598,0.054,0.53
111-2,1.00,0.297,0.23,1.00,0.290,0.049,0.28
111-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
112-1,1.00,0.494,0.33,1.00,0.513,0.048,0.30
112-2,1.00,0.523,0.27,1.00,0.533,0.046,0.29
112-3,1.00,0.488,0.33,1.00,0.509,0.049,0.29
113-1,1.00,0.522,0.27,1.00,0.532,0.048,0.29
113-2,0.68,0.187,0.66,0.68,0.190,0.048,0.58
113-3,1.00,0.615,0.54,1.00,0.631,0.056,0.54
114-1,1.00,0.661,0.99,1.00,0.672,0.036,0.75
115-1,1.00,0.663,0.67,1.00,0.671,0.031,0.58
116-1,0.96,0.646,0.56,0.96,0.647,0.037,0.63
116-2,0.92,0.591,0.56,0.92,0.591,0.054,0.63
117-1,1.00,0.668,0.15,1.00,0.670,0.038,0.15
117-2,0.60,0.514,1.00,0.60,0.510,0.072,1.00
119-1,1.00,0.740,0.86,1.00,0.742,0.029,0.85
120-1,1.00,0.661,0.99,1.00,0.662,0.038,0.98
120-2,1.00,0.443,0.51,1.00,0.451,0.055,0.50
120-3,1.00,0.582,0.48,1.00,0.582,0.063,0.50
121-1,0.40,0.379,0.60,0.40,0.369,0.077,0.60
121-2,0.08,0.077,1.00,0.08,0.075,0.070,0.64
121-3,0.80,0.557,0.17,0.80,0.556,0.045,0.16
122-1,0.96,0.657,0.72,0.96,0.657,0.043,0.73
124-1,1.00,0.358,0.31,1.00,0.364,0.053,0.28
124-2,1.00,0.291,0.26,1.00,0.306,0.049,0.22
124-3,1.00,0.311,0.23,1.00,0.312,0.046,0.22
125-1,1.00,0.661,0.99,1.00,0.666,0.039,0.93
125-2,1.00,0.614,0.34,1.00,0.622,0.037,0.30
125-3,1.00,0.570,0.43,1.00,0.578,0.044,0.43
126-1,0.96,0.655,0.57,0.96,0.655,0.058,0.61
127-1,1.00,0.647,0.48,1.00,0.654,0.042,0.54
127-2,1.00,0.645,0.22,1.00,0.655,0.054,0.19
127-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
128-1,1.00,0.515,0.31,1.00,0.511,0.056,0.31
129-1,1.00,0.605,0.53,1.00,0.620,0.033,0.50
129-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
129-3,1.00,0.605,0.53,1.00,0.620,0.033,0.50
130-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
130-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
130-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
131-1,1.00,0.630,0.96,1.00,0.629,0.041,0.96
131-2,1.00,0.642,0.98,1.00,0.641,0.039,0.98
131-3,1.00,0.636,0.29,1.00,0.640,0.044,0.25
132-1,1.00,0.561,0.40,1.00,0.573,0.042,0.39
132-2,1.00,0.569,0.38,1.00,0.586,0.042,0.38
65-1,0.92,0.575,0.07,0.92,0.596,0.051,0.10
65-2,0.88,0.572,0.07,0.88,0.601,0.052,0.09
65-3,0.92,0.575,0.09,0.92,0.591,0.052,0.11
68-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
68-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
69-1,1.00,0.668,0.90,1.00,0.676,0.039,0.70
69-2,1.00,0.660,0.87,1.00,0.673,0.041,0.65
70-1,1.00,0.632,0.36,1.00,0.634,0.042,0.35
70-2,1.00,0.485,0.10,1.00,0.485,0.035,0.10
70-3,1.00,0.452,0.11,1.00,0.458,0.044,0.15
72-1,0.96,0.594,0.01,0.96,0.595,0.042,0.02
72-2,0.76,0.366,0.01,0.76,0.362,0.063,0.01
73-1,1.00,0.574,0.87,1.00,0.581,0.045,0.90
73-2,1.00,0.588,0.87,1.00,0.594,0.045,0.91
73-3,1.00,0.565,0.90,1.00,0.563,0.036,0.93
74-1,0.48,0.451,0.01,0.48,0.445,0.066,0.03
74-2,1.00,0.644,0.88,1.00,0.642,0.038,0.91
75-1,1.00,0.668,0.90,1.00,0.678,0.036,0.73
75-2,1.00,0.660,0.97,1.00,0.672,0.038,0.71
79-1,0.96,0.695,0.03,0.96,0.711,0.030,0.16
79-2,0.80,0.632,0.01,0.80,0.650,0.045,0.17
79-3,1.00,0.687,0.10,1.00,0.692,0.032,0.24
80-1,0.80,0.540,0.01,0.80,0.537,0.052,0.25
80-2,1.00,0.652,0.88,1.00,0.654,0.036,0.87
81-1,0.60,0.498,0.46,0.60,0.493,0.078,0.46
81-2,0.60,0.498,0.46,0.60,0.493,0.078,0.46
82-1,1.00,0.677,0.60,1.00,0.678,0.033,0.61
83-1,1.00,0.578,0.12,1.00,0.597,0.051,0.17
83-2,1.00,0.594,0.12,1.00,0.609,0.043,0.14
84-1,0.80,0.304,0.08,0.80,0.320,0.057,0.07
85-1,0.96,0.646,0.07,0.96,0.654,0.026,0.11
85-2,0.96,0.646,0.07,0.96,0.654,0.026,0.11
86-1,1.00,0.382,0.45,1.00,0.390,0.060,0.41
86-2,1.00,0.382,0.45,1.00,0.390,0.060,0.41
86-3,1.00,0.250,0.31,1.00,0.250,0.059,0.33
87-1,1.00,0.695,0.38,1.00,0.703,0.037,0.39
