ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-S11,0.96,0.521,0.39,0.96,0.501,0.043,0.44
BLAST-S14,1.00,0.453,0.45,1.00,0.447,0.044,0.46
Naive-S11,1.00,0.528,0.10,1.00,0.527,0.029,0.10
Naive-S14,1.00,0.526,0.13,1.00,0.524,0.027,0.14
101-1,0.96,0.589,0.36,0.96,0.581,0.030,0.34
101-2,0.92,0.401,0.20,0.92,0.392,0.039,0.19
101-3,0.96,0.363,0.50,0.96,0.366,0.035,0.49
102-1,1.00,0.369,0.51,1.00,0.359,0.042,0.57
102-2,1.00,0.383,0.65,1.00,0.369,0.046,0.68
102-3,0.12,0.886,0.01,0.12,0.888,0.058,0.12
103-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
103-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
103-3,0.68,0.531,0.17,0.68,0.536,0.056,0.17
104-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
104-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
104-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
105-1,1.00,0.488,0.92,1.00,0.488,0.041,0.92
105-2,1.00,0.422,1.00,1.00,0.423,0.047,1.00
105-3,1.00,0.490,1.00,1.00,0.491,0.042,1.00
106-1,0.96,0.503,0.10,0.96,0.505,0.038,0.14
106-2,0.48,0.760,0.62,0.48,0.763,0.044,0.63
106-3,0.40,0.721,0.10,0.40,0.723,0.070,0.13
107-1,1.00,0.489,0.76,1.00,0.483,0.039,0.77
107-2,1.00,0.400,0.07,1.00,0.396,0.041,0.08
107-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
108-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
109-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
110-1,1.00,0.487,0.66,1.00,0.483,0.043,0.65
110-2,1.00,0.503,0.31,1.00,0.503,0.040,0.31
110-3,1.00,0.650,0.59,1.00,0.646,0.023,0.46
111-1,1.00,0.487,0.66,1.00,0.483,0.043,0.65
111-2,1.00,0.650,0.59,1.00,0.646,0.023,0.46
111-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
112-1,1.00,0.470,0.33,1.00,0.468,0.034,0.34
112-2,1.00,0.468,0.34,1.00,0.465,0.033,0.34
112-3,1.00,0.481,0.33,1.00,0.479,0.035,0.34
113-1,1.00,0.479,0.34,1.00,0.476,0.034,0.34
113-2,0.68,0.658,0.59,0.68,0.658,0.027,0.50
113-3,1.00,0.431,0.59,1.00,0.423,0.052,0.62
114-1,1.00,0.378,0.99,1.00,0.377,0.040,0.96
115-1,1.00,0.356,0.77,1.00,0.357,0.034,0.74
116-1,0.96,0.365,0.75,0.96,0.368,0.038,0.73
116-2,0.92,0.418,0.75,0.92,0.413,0.047,0.69
117-1,1.00,0.376,0.15,1.00,0.374,0.043,0.15
117-2,0.60,0.525,1.00,0.60,0.529,0.074,1.00
119-1,1.00,0.291,0.87,1.00,0.293,0.036,0.86
120-1,1.00,0.378,0.99,1.00,0.378,0.040,0.99
120-2,1.00,0.503,0.51,1.00,0.504,0.035,0.53
120-3,1.00,0.425,0.48,1.00,0.425,0.042,0.50
121-1,0.40,0.690,0.60,0.40,0.693,0.075,0.60
121-2,0.08,0.942,0.52,0.08,0.942,0.043,0.57
121-3,0.80,0.449,0.17,0.80,0.455,0.047,0.19
122-1,0.96,0.373,0.72,0.96,0.368,0.040,0.77
124-1,1.00,0.549,0.23,1.00,0.542,0.033,0.26
124-2,1.00,0.606,0.26,1.00,0.602,0.032,0.23
124-3,1.00,0.571,0.23,1.00,0.573,0.026,0.22
125-1,1.00,0.378,0.99,1.00,0.378,0.040,0.98
125-2,1.00,0.426,0.34,1.00,0.422,0.037,0.36
125-3,1.00,0.530,0.54,1.00,0.511,0.035,0.51
126-1,0.96,0.353,0.57,0.96,0.355,0.054,0.60
127-1,1.00,0.383,0.72,1.00,0.379,0.040,0.69
127-2,1.00,0.377,0.22,1.00,0.374,0.059,0.21
127-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
128-1,1.00,0.547,0.31,1.00,0.548,0.038,0.27
129-1,1.00,0.423,0.59,1.00,0.410,0.039,0.56
129-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
129-3,1.00,0.423,0.59,1.00,0.410,0.039,0.56
130-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
130-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
130-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
131-1,1.00,0.379,0.96,1.00,0.382,0.038,0.96
131-2,1.00,0.380,0.98,1.00,0.381,0.038,0.98
131-3,1.00,0.384,0.29,1.00,0.384,0.043,0.28
132-1,1.00,0.457,0.45,1.00,0.446,0.029,0.48
132-2,1.00,0.457,0.45,1.00,0.449,0.031,0.47
65-1,0.92,0.463,0.08,0.92,0.449,0.043,0.10
65-2,0.88,0.478,0.08,0.88,0.456,0.044,0.09
65-3,0.92,0.462,0.09,0.92,0.454,0.043,0.10
68-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
68-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
69-1,1.00,0.343,0.62,1.00,0.333,0.040,0.73
69-2,1.00,0.337,0.63,1.00,0.332,0.039,0.73
70-1,1.00,0.351,0.30,1.00,0.350,0.038,0.28
70-2,1.00,0.506,0.12,1.00,0.498,0.019,0.12
70-3,1.00,0.522,0.10,1.00,0.519,0.026,0.11
72-1,0.96,0.402,0.01,0.96,0.407,0.040,0.01
