ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-S11,0.96,5.236,0.63,0.96,5.059,0.810,0.60
BLAST-S14,1.00,5.153,0.63,1.00,4.933,0.840,0.60
Naive-S11,1.00,5.812,0.11,1.00,5.816,0.824,0.11
Naive-S14,1.00,5.756,0.18,1.00,5.760,0.829,0.18
101-1,0.96,6.581,0.45,0.96,6.504,0.646,0.49
101-2,0.92,4.135,0.30,0.92,4.101,0.778,0.30
101-3,0.96,4.224,0.50,0.96,4.268,0.716,0.61
102-1,1.00,4.328,0.68,1.00,4.228,0.675,0.68
102-2,1.00,4.580,0.83,1.00,4.483,0.759,0.83
102-3,0.12,6.612,0.53,0.12,6.641,0.625,0.55
103-1,0.00,7.297,1.00,0.00,7.293,0.659,1.00
103-2,0.00,7.297,1.00,0.00,7.293,0.659,1.00
103-3,0.68,4.996,0.33,0.68,4.969,0.875,0.30
104-1,0.00,7.297,1.00,0.00,7.293,0.659,1.00
104-2,0.00,7.297,1.00,0.00,7.293,0.659,1.00
104-3,0.00,7.297,1.00,0.00,7.293,0.659,1.00
105-1,1.00,6.841,0.93,1.00,6.812,0.769,0.94
105-2,1.00,8.437,1.00,1.00,8.447,1.930,1.00
105-3,1.00,11.549,1.00,1.00,11.559,2.757,1.00
106-1,0.96,6.268,0.96,0.96,6.106,0.762,0.74
106-2,0.48,6.979,1.00,0.48,6.967,0.716,0.97
106-3,0.40,5.679,0.10,0.40,5.711,0.603,0.15
107-1,1.00,13.088,1.00,1.00,13.195,4.511,0.95
107-2,1.00,5.055,0.13,1.00,4.926,1.048,0.13
107-3,0.00,7.297,1.00,0.00,7.293,0.659,1.00
108-1,0.00,7.297,1.00,0.00,7.293,0.659,1.00
109-1,0.00,7.297,1.00,0.00,7.293,0.659,1.00
110-1,1.00,6.917,1.00,1.00,6.724,1.106,0.94
110-2,1.00,6.451,0.69,1.00,6.174,0.975,0.71
110-3,1.00,9.185,1.00,1.00,9.229,1.291,0.99
111-1,1.00,6.917,1.00,1.00,6.724,1.106,0.94
111-2,1.00,9.185,1.00,1.00,9.229,1.291,0.99
111-3,0.00,7.297,1.00,0.00,7.293,0.659,1.00
112-1,1.00,5.425,0.48,1.00,5.294,0.672,0.44
112-2,1.00,5.393,0.39,1.00,5.258,0.662,0.43
112-3,1.00,5.571,0.48,1.00,5.424,0.674,0.44
113-1,1.00,5.520,0.39,1.00,5.388,0.663,0.43
113-2,0.68,9.094,1.00,0.68,9.133,1.219,0.99
113-3,1.00,6.520,0.99,1.00,6.249,1.124,0.92
114-1,1.00,5.010,1.00,1.00,5.010,0.786,0.99
115-1,1.00,4.103,0.77,1.00,4.125,0.670,0.75
116-1,0.96,4.152,0.75,0.96,4.176,0.680,0.74
116-2,0.92,4.486,0.79,0.92,4.415,0.865,0.72
117-1,1.00,4.023,0.15,1.00,4.050,0.667,0.16
117-2,0.60,5.055,1.00,0.60,5.144,0.909,1.00
119-1,1.00,3.899,0.87,1.00,3.731,0.996,0.90
120-1,1.00,5.051,1.00,1.00,5.057,0.809,1.00
120-2,1.00,6.393,0.81,1.00,6.291,0.735,0.78
120-3,1.00,5.544,0.80,1.00,5.394,0.886,0.69
121-1,0.40,5.560,0.60,0.40,5.621,0.618,0.60
121-2,0.08,6.970,1.00,0.08,6.964,0.716,1.00
121-3,0.80,4.859,0.17,0.80,4.890,0.646,0.22
122-1,0.96,4.454,0.91,0.96,4.408,0.661,0.91
124-1,1.00,5.808,0.31,1.00,5.837,0.814,0.33
124-2,1.00,6.075,0.34,1.00,6.084,0.841,0.34
124-3,1.00,6.673,0.43,1.00,6.635,0.695,0.40
125-1,1.00,5.010,1.00,1.00,5.011,0.786,1.00
125-2,1.00,5.877,0.76,1.00,5.473,0.763,0.60
125-3,1.00,6.574,0.70,1.00,6.463,0.724,0.76
126-1,0.96,3.541,0.57,0.96,3.602,0.795,0.60
127-1,1.00,4.340,0.74,1.00,4.319,0.618,0.75
127-2,1.00,3.653,0.23,1.00,3.631,0.665,0.24
127-3,0.00,7.297,1.00,0.00,7.293,0.659,1.00
128-1,1.00,8.951,1.00,1.00,9.049,2.392,0.92
129-1,1.00,4.231,0.59,1.00,4.205,0.605,0.60
129-2,0.00,7.297,1.00,0.00,7.293,0.659,1.00
129-3,1.00,4.231,0.59,1.00,4.205,0.605,0.60
130-1,0.00,7.297,1.00,0.00,7.293,0.659,1.00
130-2,0.00,7.297,1.00,0.00,7.293,0.659,1.00
130-3,0.00,7.297,1.00,0.00,7.293,0.659,1.00
131-1,1.00,4.685,0.96,1.00,4.739,0.684,0.96
131-2,1.00,4.895,0.98,1.00,4.909,0.752,0.98
131-3,1.00,3.938,0.40,1.00,3.887,0.655,0.39
132-1,1.00,4.970,0.60,1.00,4.816,0.628,0.57
132-2,1.00,4.996,0.60,1.00,4.842,0.637,0.57
65-1,0.92,4.334,0.17,0.92,4.331,0.766,0.17
65-2,0.88,4.350,0.16,0.88,4.356,0.765,0.16
65-3,0.92,4.333,0.16,0.92,4.347,0.759,0.17
68-1,0.00,7.297,1.00,0.00,7.293,0.659,1.00
68-2,0.00,7.297,1.00,0.00,7.293,0.659,1.00
69-1,1.00,3.790,0.87,1.00,3.746,0.885,0.90
69-2,1.00,3.817,0.87,1.00,3.764,0.873,0.91
70-1,1.00,3.370,0.36,1.00,3.358,0.733,0.35
70-2,1.00,5.429,0.17,1.00,5.349,0.803,0.17
70-3,1.00,5.308,0.23,1.00,5.236,0.717,0.20
72-1,0.96,4.532,0.01,0.96,4.437,0.658,0.14
72-2,0.76,5.812,0.01,0.76,5.832,0.827,0.01
73-1,1.00,15.333,1.00,1.00,15.575,7.320,1.00
73-2,1.00,9.650,1.00,1.00,9.908,4.598,1.00
73-3,1.00,15.931,1.00,1.00,15.914,3.015,1.00
74-1,0.48,4.991,0.08,0.48,5.043,0.636,0.13
74-2,1.00,4.206,1.00,1.00,4.252,0.638,0.97
75-1,1.00,3.790,0.87,1.00,3.755,0.877,0.91
75-2,1.00,3.780,1.00,1.00,3.742,0.871,0.98
79-1,0.96,3.233,0.30,0.96,3.194,0.399,0.32
79-2,0.80,3.809,0.33,0.80,3.743,0.461,0.31
79-3,1.00,4.275,0.88,1.00,4.158,0.781,0.83
80-1,0.80,5.377,0.70,0.80,5.287,0.631,0.73
80-2,1.00,4.111,1.00,1.00,4.163,0.652,0.97
81-1,0.60,4.768,0.46,0.60,4.772,0.677,0.48
81-2,0.60,4.768,0.46,0.60,4.772,0.677,0.48
82-1,1.00,4.761,0.79,1.00,4.663,0.634,0.80
83-1,1.00,4.264,0.24,1.00,4.211,0.670,0.24
83-2,1.00,4.251,0.19,1.00,4.169,0.656,0.23
84-1,0.80,6.170,0.25,0.80,6.210,0.706,0.24
85-1,0.96,4.249,0.14,0.96,4.130,0.587,0.26
85-2,0.96,4.249,0.14,0.96,4.130,0.587,0.26
86-1,1.00,5.718,0.45,1.00,5.630,0.822,0.56
86-2,1.00,5.718,0.45,1.00,5.630,0.822,0.56
86-3,1.00,6.475,0.42,1.00,6.354,0.759,0.40
87-1,1.00,3.858,0.45,1.00,3.788,0.616,0.47
87-2,1.00,5.543,0.21,1.00,5.345,0.778,0.23
87-3,0.76,5.261,0.80,0.76,5.021,0.552,0.67
88-1,1.00,5.540,0.06,1.00,5.390,0.615,0.43
89-1,0.00,7.297,1.00,0.00,7.293,0.659,1.00
89-2,0.00,7.297,1.00,0.00,7.293,0.659,1.00
89-3,0.00,7.297,1.00,0.00,7.293,0.659,1.00
91-1,0.00,7.297,1.00,0.00,7.293,0.659,1.00
91-2,0.00,7.297,1.00,0.00,7.293,0.659,1.00
91-3,0.00,7.297,1.00,0.00,7.293,0.659,1.00
93-1,0.00,7.297,1.00,0.00,7.293,0.659,1.00
93-2,0.00,7.297,1.00,0.00,7.293,0.659,1.00
94-1,1.00,4.856,1.00,1.00,4.858,0.803,0.86
95-1,0.00,7.297,1.00,0.00,7.293,0.659,1.00
95-2,0.00,7.297,1.00,0.00,7.293,0.659,1.00
96-1,0.00,7.297,1.00,0.00,7.293,0.659,1.00
96-2,0.00,7.297,1.00,0.00,7.293,0.659,1.00
96-3,0.00,7.297,1.00,0.00,7.293,0.659,1.00
97-1,0.00,7.297,1.00,0.00,7.293,0.659,1.00
97-2,0.00,7.297,1.00,0.00,7.293,0.659,1.00
97-3,0.00,7.297,1.00,0.00,7.293,0.659,1.00
98-1,1.00,6.886,0.56,1.00,6.885,0.700,0.57
99-1,1.00,3.252,0.17,1.00,3.257,0.651,0.17
