ID-model,GO:0003674,GO:0003824,GO:0005515,GO:0005488
BLAST-S11,NaN,0.88,0.76,0.71
BLAST-S14,NaN,0.87,0.81,0.77
Naive-S11,NaN,0.50,0.50,0.50
Naive-S14,NaN,0.50,0.50,0.50
101-1,NaN,0.94,0.50,0.41
101-2,NaN,0.85,0.77,0.61
101-3,NaN,0.94,0.86,0.80
102-1,NaN,0.95,0.84,0.80
102-2,NaN,0.96,0.86,0.81
102-3,NaN,0.50,0.50,0.50
103-1,NaN,0.50,0.50,0.50
103-2,NaN,0.50,0.50,0.50
103-3,NaN,0.83,0.57,0.59
104-1,NaN,0.50,0.50,0.50
104-2,NaN,0.50,0.50,0.50
104-3,NaN,0.50,0.50,0.50
105-1,NaN,0.93,0.69,0.65
105-2,NaN,0.93,0.73,0.67
105-3,NaN,0.91,0.66,0.67
106-1,NaN,0.82,0.66,0.66
106-2,NaN,0.60,0.50,0.56
106-3,NaN,0.80,0.57,0.54
107-1,NaN,0.87,0.68,0.62
107-2,NaN,0.88,0.73,0.70
107-3,NaN,0.50,0.50,0.50
108-1,NaN,0.50,0.50,0.50
109-1,NaN,0.50,0.50,0.50
110-1,NaN,0.96,0.78,0.84
110-2,NaN,0.97,0.88,0.84
110-3,NaN,0.46,0.58,0.70
111-1,NaN,0.97,0.81,0.86
111-2,NaN,0.46,0.65,0.76
111-3,NaN,0.50,0.57,0.57
112-1,NaN,0.94,0.85,0.93
112-2,NaN,0.94,0.85,0.94
112-3,NaN,0.93,0.69,0.75
113-1,NaN,0.93,0.69,0.76
113-2,NaN,0.46,0.45,0.49
113-3,NaN,0.96,0.68,0.73
114-1,NaN,0.95,0.83,0.85
115-1,NaN,0.97,0.78,0.86
116-1,NaN,0.61,0.59,0.73
116-2,NaN,0.58,0.56,0.65
117-1,NaN,0.96,0.69,0.59
117-2,NaN,0.65,0.49,0.48
119-1,NaN,0.94,0.90,0.79
120-1,NaN,0.95,0.84,0.80
120-2,NaN,0.80,0.70,0.77
120-3,NaN,0.57,0.50,0.66
121-1,NaN,0.86,0.51,0.66
121-2,NaN,0.50,0.50,0.50
121-3,NaN,0.97,0.84,0.70
122-1,NaN,0.85,0.78,0.73
124-1,NaN,0.37,0.29,0.24
124-2,NaN,0.24,0.15,0.38
124-3,NaN,0.36,0.29,0.24
125-1,NaN,0.95,0.83,0.83
125-2,NaN,0.90,0.67,0.65
125-3,NaN,0.91,0.72,0.75
126-1,NaN,0.48,0.50,0.50
127-1,NaN,0.95,0.78,0.68
127-2,NaN,0.98,0.79,0.69
127-3,NaN,0.50,0.50,0.50
128-1,NaN,0.93,0.68,0.57
129-1,NaN,0.96,0.52,0.55
129-2,NaN,0.50,0.50,0.50
129-3,NaN,0.96,0.52,0.55
130-1,NaN,0.50,0.50,0.50
130-2,NaN,0.50,0.50,0.50
130-3,NaN,0.50,0.50,0.50
131-1,NaN,0.91,0.53,0.64
131-2,NaN,0.91,0.65,0.66
131-3,NaN,0.88,0.56,0.64
132-1,NaN,0.96,0.84,0.92
132-2,NaN,0.94,0.72,0.78
65-1,NaN,0.61,0.65,0.62
65-2,NaN,0.61,0.65,0.62
65-3,NaN,0.61,0.65,0.62
68-1,NaN,0.50,0.50,0.50
68-2,NaN,0.50,0.50,0.50
69-1,NaN,0.92,0.73,0.86
69-2,NaN,0.92,0.71,0.84
70-1,NaN,0.94,0.85,0.83
70-2,NaN,0.63,0.55,0.48
70-3,NaN,0.88,0.53,0.45
72-1,NaN,0.83,0.76,0.68
72-2,NaN,0.73,0.69,0.73
73-1,NaN,0.92,0.76,0.36
73-2,NaN,0.92,0.76,0.36
73-3,NaN,0.67,0.65,0.54
74-1,NaN,0.57,0.70,0.72
74-2,NaN,0.91,0.82,0.77
75-1,NaN,0.95,0.73,0.86
75-2,NaN,0.94,0.71,0.85
79-1,NaN,0.83,0.63,0.78
79-2,NaN,0.94,0.59,0.58
79-3,NaN,0.86,0.74,0.88
80-1,NaN,0.63,0.66,0.73
80-2,NaN,0.94,0.83,0.81
81-1,NaN,0.86,0.75,0.66
81-2,NaN,0.86,0.75,0.66
82-1,NaN,0.97,0.69,0.64
83-1,NaN,0.93,0.85,0.80
83-2,NaN,0.93,0.85,0.80
84-1,NaN,0.62,0.73,0.50
85-1,NaN,0.96,0.79,0.86
85-2,NaN,0.96,0.79,0.86
86-1,NaN,0.65,0.80,0.74
86-2,NaN,0.65,0.80,0.74
86-3,NaN,0.58,0.82,0.77
87-1,NaN,0.50,0.50,0.50
87-2,NaN,0.50,0.50,0.50
87-3,NaN,0.83,0.74,0.66
88-1,NaN,0.92,0.74,0.73
89-1,NaN,0.50,0.50,0.50
89-2,NaN,0.50,0.50,0.50
89-3,NaN,0.50,0.50,0.50
91-1,NaN,0.50,0.50,0.50
91-2,NaN,0.50,0.50,0.50
91-3,NaN,0.50,0.50,0.50
93-1,NaN,0.50,0.50,0.50
93-2,NaN,0.50,0.50,0.50
94-1,NaN,0.90,0.70,0.78
95-1,NaN,0.50,0.50,0.50
95-2,NaN,0.50,0.50,0.50
96-1,NaN,0.50,0.50,0.50
96-2,NaN,0.50,0.50,0.50
96-3,NaN,0.50,0.50,0.50
97-1,NaN,0.50,0.50,0.50
97-2,NaN,0.50,0.50,0.50
97-3,NaN,0.50,0.50,0.50
98-1,NaN,0.93,0.80,0.71
99-1,NaN,0.94,0.68,0.81
