ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
BLAST-S11,1.00,0.472,0.44,1.00,0.486,0.043,0.44
BLAST-S14,0.97,0.420,0.48,0.97,0.446,0.046,0.43
Naive-S11,1.00,0.350,0.30,1.00,0.352,0.042,0.37
Naive-S14,1.00,0.302,0.17,1.00,0.302,0.034,0.17
101-1,0.91,0.520,0.38,0.91,0.526,0.047,0.30
101-2,0.85,0.604,0.06,0.85,0.610,0.047,0.09
101-3,0.91,0.590,0.28,0.91,0.594,0.045,0.21
102-1,0.94,0.661,0.30,0.94,0.667,0.043,0.42
102-2,0.91,0.630,0.49,0.91,0.638,0.048,0.52
102-3,0.00,0.001,0.00,0.00,0.001,0.000,0.00
103-1,0.00,0.001,0.00,0.00,0.001,0.000,0.00
103-2,0.00,0.001,0.00,0.00,0.001,0.000,0.00
103-3,0.56,0.453,0.17,0.56,0.448,0.059,0.17
104-1,0.00,0.001,0.00,0.00,0.001,0.000,0.00
104-2,0.00,0.001,0.00,0.00,0.001,0.000,0.00
104-3,0.00,0.001,0.00,0.00,0.001,0.000,0.00
105-1,1.00,0.527,0.80,1.00,0.531,0.057,0.77
105-2,0.91,0.557,0.87,0.91,0.562,0.055,0.90
105-3,1.00,0.522,0.96,1.00,0.530,0.058,0.93
106-1,0.79,0.498,0.03,0.79,0.495,0.055,0.05
106-2,0.35,0.149,0.76,0.35,0.150,0.055,0.79
106-3,0.29,0.273,0.03,0.29,0.266,0.061,0.05
107-1,1.00,0.509,0.75,1.00,0.514,0.056,0.84
107-2,1.00,0.475,0.02,1.00,0.475,0.061,0.02
107-3,0.00,0.001,0.00,0.00,0.001,0.000,0.00
108-1,0.00,0.001,0.00,0.00,0.001,0.000,0.00
109-1,0.00,0.001,0.00,0.00,0.001,0.000,0.00
110-1,1.00,0.606,0.98,1.00,0.611,0.050,0.91
110-2,0.97,0.631,1.00,0.97,0.635,0.050,0.79
110-3,1.00,0.449,0.04,1.00,0.453,0.053,0.07
111-1,1.00,0.613,1.00,1.00,0.620,0.050,0.95
111-2,1.00,0.434,0.07,1.00,0.437,0.054,0.09
111-3,0.09,0.088,0.03,0.09,0.085,0.042,0.23
112-1,1.00,0.618,0.45,1.00,0.636,0.049,0.65
112-2,1.00,0.625,0.50,1.00,0.640,0.048,0.63
112-3,1.00,0.549,0.31,1.00,0.551,0.048,0.32
113-1,1.00,0.547,0.32,1.00,0.550,0.048,0.32
113-2,0.50,0.272,0.08,0.50,0.282,0.061,0.14
113-3,0.94,0.481,0.60,0.94,0.491,0.048,0.60
114-1,1.00,0.636,0.90,1.00,0.636,0.045,0.90
115-1,1.00,0.605,0.20,1.00,0.614,0.048,0.24
116-1,0.47,0.390,0.34,0.47,0.386,0.069,0.48
116-2,0.44,0.359,0.34,0.44,0.356,0.071,0.48
117-1,1.00,0.576,0.11,1.00,0.580,0.044,0.11
117-2,0.15,0.206,1.00,0.15,0.200,0.076,0.99
119-1,0.97,0.597,0.75,0.97,0.597,0.048,0.75
120-1,1.00,0.611,0.97,1.00,0.614,0.045,0.94
120-2,1.00,0.322,0.50,1.00,0.328,0.041,0.46
120-3,0.88,0.247,0.44,0.88,0.248,0.041,0.48
121-1,0.50,0.364,0.44,0.50,0.360,0.051,0.46
121-2,0.00,0.001,0.00,0.00,0.001,0.000,0.00
121-3,0.79,0.550,0.01,0.79,0.556,0.044,0.03
122-1,0.85,0.637,0.73,0.85,0.633,0.045,0.75
124-1,1.00,0.342,0.34,1.00,0.348,0.040,0.33
124-2,1.00,0.178,0.23,1.00,0.189,0.025,0.17
124-3,1.00,0.342,0.34,1.00,0.347,0.040,0.33
125-1,0.94,0.622,0.93,0.94,0.629,0.045,0.87
125-2,0.91,0.557,0.34,0.91,0.555,0.054,0.35
125-3,1.00,0.603,0.63,1.00,0.608,0.049,0.62
126-1,0.03,0.001,0.00,0.03,0.001,0.000,0.00
127-1,0.94,0.586,0.59,0.94,0.599,0.060,0.51
127-2,0.88,0.609,0.15,0.88,0.614,0.058,0.15
127-3,0.00,0.001,0.00,0.00,0.001,0.000,0.00
128-1,0.85,0.514,0.11,0.85,0.520,0.055,0.12
129-1,0.94,0.587,0.44,0.94,0.603,0.049,0.45
129-2,0.00,0.001,0.00,0.00,0.001,0.000,0.00
129-3,0.94,0.587,0.44,0.94,0.603,0.049,0.45
130-1,0.00,0.001,0.00,0.00,0.001,0.000,0.00
130-2,0.00,0.001,0.00,0.00,0.001,0.000,0.00
130-3,0.00,0.001,0.00,0.00,0.001,0.000,0.00
131-1,0.71,0.500,0.04,0.71,0.498,0.057,0.17
131-2,0.76,0.543,0.03,0.76,0.540,0.056,0.06
131-3,0.97,0.454,0.02,0.97,0.464,0.060,0.18
