ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-S11,1.00,0.592,0.42,1.00,0.583,0.026,0.42
BLAST-S14,0.97,0.576,0.40,0.97,0.569,0.030,0.41
Naive-S11,1.00,0.653,0.09,1.00,0.651,0.012,0.09
Naive-S14,1.00,0.653,0.13,1.00,0.651,0.012,0.13
101-1,0.91,0.531,0.15,0.91,0.527,0.039,0.21
101-2,0.85,0.514,0.10,0.85,0.512,0.052,0.06
101-3,0.91,0.495,0.08,0.91,0.488,0.040,0.08
102-1,0.94,0.423,0.32,0.94,0.420,0.046,0.38
102-2,0.91,0.424,0.46,0.91,0.427,0.048,0.43
102-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
103-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
103-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
103-3,0.56,0.615,0.17,0.56,0.618,0.058,0.17
104-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
104-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
104-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
105-1,1.00,0.498,0.81,1.00,0.494,0.041,0.83
105-2,0.91,0.465,0.90,0.91,0.462,0.044,0.93
105-3,1.00,0.495,0.97,1.00,0.489,0.045,0.97
106-1,0.79,0.550,0.03,0.79,0.553,0.047,0.05
106-2,0.35,0.796,0.68,0.35,0.796,0.048,0.67
106-3,0.29,0.787,0.03,0.29,0.788,0.056,0.05
107-1,1.00,0.512,1.00,1.00,0.512,0.043,0.86
107-2,1.00,0.478,0.02,1.00,0.482,0.043,0.02
107-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
108-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
109-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
110-1,1.00,0.457,0.80,1.00,0.454,0.047,0.83
110-2,0.97,0.463,0.49,0.97,0.461,0.042,0.42
110-3,1.00,0.636,0.15,1.00,0.633,0.040,0.10
111-1,1.00,0.461,0.81,1.00,0.457,0.047,0.84
111-2,1.00,0.614,0.13,1.00,0.616,0.039,0.11
111-3,0.09,0.924,0.03,0.09,0.924,0.040,0.04
112-1,1.00,0.435,0.50,1.00,0.435,0.041,0.48
112-2,1.00,0.436,0.50,1.00,0.436,0.041,0.48
112-3,1.00,0.473,0.40,1.00,0.470,0.040,0.38
113-1,1.00,0.470,0.40,1.00,0.470,0.040,0.38
113-2,0.50,0.663,0.04,0.50,0.659,0.045,0.11
113-3,0.94,0.556,0.60,0.94,0.552,0.040,0.66
114-1,1.00,0.416,0.90,1.00,0.419,0.043,0.88
115-1,1.00,0.421,0.19,1.00,0.416,0.040,0.23
116-1,0.47,0.689,0.34,0.47,0.692,0.059,0.44
116-2,0.44,0.733,0.34,0.44,0.735,0.058,0.46
117-1,1.00,0.545,0.10,1.00,0.539,0.042,0.10
117-2,0.15,0.883,1.00,0.15,0.884,0.050,0.99
119-1,0.97,0.458,0.69,0.97,0.460,0.043,0.71
120-1,1.00,0.445,0.96,1.00,0.441,0.042,0.94
120-2,1.00,0.619,0.32,1.00,0.615,0.025,0.35
120-3,0.88,0.702,0.44,0.88,0.704,0.025,0.44
121-1,0.50,0.673,0.44,0.50,0.675,0.054,0.46
121-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
