ID-model,GO:0003674,GO:0003824,GO:0005515,GO:0005488
BLAST-S11,NaN,0.88,0.76,0.71
BLAST-S14,NaN,0.87,0.80,0.75
Naive-S11,NaN,0.50,0.50,0.50
Naive-S14,NaN,0.50,0.50,0.50
101-1,NaN,0.94,0.50,0.41
101-2,NaN,0.85,0.77,0.61
101-3,NaN,0.94,0.86,0.80
102-1,NaN,0.95,0.86,0.82
102-2,NaN,0.95,0.88,0.85
102-3,NaN,NaN,NaN,NaN
103-1,NaN,NaN,NaN,NaN
103-2,NaN,NaN,NaN,NaN
103-3,NaN,0.90,0.65,0.81
104-1,NaN,NaN,NaN,NaN
104-2,NaN,NaN,NaN,NaN
104-3,NaN,NaN,NaN,NaN
105-1,NaN,0.93,0.69,0.65
105-2,NaN,0.92,0.77,0.68
105-3,NaN,0.91,0.66,0.67
106-1,NaN,0.81,0.69,0.78
106-2,NaN,0.62,0.50,0.84
106-3,NaN,1.00,0.75,0.62
107-1,NaN,0.87,0.68,0.62
107-2,NaN,0.88,0.73,0.70
107-3,NaN,NaN,NaN,NaN
108-1,NaN,NaN,NaN,NaN
109-1,NaN,NaN,NaN,NaN
110-1,NaN,0.96,0.78,0.84
110-2,NaN,0.97,0.92,0.87
110-3,NaN,0.46,0.58,0.70
111-1,NaN,0.97,0.81,0.86
111-2,NaN,0.46,0.65,0.76
111-3,NaN,NaN,NaN,NaN
112-1,NaN,0.94,0.85,0.93
112-2,NaN,0.94,0.85,0.94
112-3,NaN,0.93,0.69,0.75
113-1,NaN,0.93,0.69,0.76
113-2,NaN,0.62,0.57,0.66
113-3,NaN,0.96,0.63,0.67
114-1,NaN,0.95,0.83,0.85
115-1,NaN,0.97,0.78,0.86
116-1,NaN,0.80,0.71,1.00
116-2,NaN,0.78,0.71,0.92
117-1,NaN,0.96,0.69,0.59
117-2,NaN,1.00,0.58,0.58
119-1,NaN,0.94,0.89,0.81
120-1,NaN,0.95,0.84,0.80
120-2,NaN,0.80,0.70,0.77
120-3,NaN,0.62,0.50,0.67
121-1,NaN,0.82,0.49,0.77
121-2,NaN,NaN,NaN,NaN
121-3,NaN,0.96,0.94,0.76
122-1,NaN,0.89,0.83,0.80
124-1,NaN,0.37,0.29,0.24
124-2,NaN,0.24,0.15,0.38
124-3,NaN,0.36,0.29,0.24
125-1,NaN,0.95,0.84,0.84
125-2,NaN,0.89,0.69,0.67
125-3,NaN,0.91,0.72,0.75
126-1,NaN,NaN,NaN,NaN
127-1,NaN,0.94,0.80,0.73
127-2,NaN,0.97,0.83,0.74
127-3,NaN,NaN,NaN,NaN
128-1,NaN,0.92,0.65,0.61
129-1,NaN,0.96,0.51,0.53
129-2,NaN,NaN,NaN,NaN
129-3,NaN,0.96,0.51,0.53
130-1,NaN,NaN,NaN,NaN
130-2,NaN,NaN,NaN,NaN
130-3,NaN,NaN,NaN,NaN
131-1,NaN,0.88,0.57,0.81
131-2,NaN,0.88,0.70,0.78
131-3,NaN,0.87,0.57,0.66
132-1,NaN,0.96,0.84,0.92
132-2,NaN,0.94,0.72,0.78
65-1,NaN,0.61,0.65,0.62
65-2,NaN,0.61,0.65,0.62
65-3,NaN,0.61,0.65,0.62
68-1,NaN,NaN,NaN,NaN
68-2,NaN,NaN,NaN,NaN
69-1,NaN,0.92,0.73,0.86
69-2,NaN,0.92,0.71,0.84
70-1,NaN,0.94,0.85,0.83
70-2,NaN,0.63,0.55,0.48
70-3,NaN,0.88,0.53,0.45
72-1,NaN,0.83,0.76,0.68
72-2,NaN,0.72,0.53,0.55
73-1,NaN,0.92,0.76,0.36
73-2,NaN,0.92,0.76,0.36
73-3,NaN,0.67,0.65,0.54
74-1,NaN,0.94,0.80,0.88
74-2,NaN,0.91,0.82,0.77
75-1,NaN,0.95,0.73,0.86
75-2,NaN,0.94,0.71,0.85
79-1,NaN,0.87,0.67,0.84
79-2,NaN,0.98,0.57,0.69
79-3,NaN,0.86,0.74,0.88
80-1,NaN,0.98,0.74,0.93
80-2,NaN,0.94,0.83,0.81
81-1,NaN,0.84,0.83,0.78
81-2,NaN,0.84,0.83,0.78
82-1,NaN,0.97,0.70,0.68
83-1,NaN,0.93,0.85,0.80
83-2,NaN,0.93,0.85,0.80
84-1,NaN,0.51,0.85,0.52
85-1,NaN,0.95,0.79,0.92
85-2,NaN,0.95,0.79,0.92
86-1,NaN,0.71,0.67,0.65
86-2,NaN,0.71,0.67,0.65
86-3,NaN,0.66,0.79,0.79
87-1,NaN,NaN,NaN,NaN
87-2,NaN,NaN,NaN,NaN
87-3,NaN,0.90,0.86,0.81
88-1,NaN,0.91,0.74,0.76
89-1,NaN,NaN,NaN,NaN
89-2,NaN,NaN,NaN,NaN
89-3,NaN,NaN,NaN,NaN
91-1,NaN,NaN,NaN,NaN
91-2,NaN,NaN,NaN,NaN
91-3,NaN,NaN,NaN,NaN
93-1,NaN,NaN,NaN,NaN
93-2,NaN,NaN,NaN,NaN
94-1,NaN,0.90,0.70,0.78
95-1,NaN,NaN,NaN,NaN
95-2,NaN,NaN,NaN,NaN
96-1,NaN,NaN,NaN,NaN
96-2,NaN,NaN,NaN,NaN
96-3,NaN,NaN,NaN,NaN
97-1,NaN,NaN,NaN,NaN
97-2,NaN,NaN,NaN,NaN
97-3,NaN,NaN,NaN,NaN
98-1,NaN,0.93,0.80,0.71
99-1,NaN,0.93,0.71,0.84
