ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-S11,1.00,8.168,0.77,1.00,8.002,0.696,0.71
BLAST-S14,0.97,8.426,0.60,0.97,8.033,0.751,0.70
Naive-S11,1.00,8.015,0.30,1.00,8.008,0.659,0.30
Naive-S14,1.00,8.100,0.43,1.00,8.093,0.660,0.43
101-1,0.91,8.296,0.49,0.91,8.182,0.686,0.49
101-2,0.85,4.958,0.11,0.85,4.957,0.664,0.13
101-3,0.91,5.866,0.28,0.91,5.767,0.622,0.46
102-1,0.94,5.284,0.74,0.94,5.252,0.765,0.72
102-2,0.91,5.524,0.83,0.91,5.390,0.797,0.80
102-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-3,0.56,5.859,0.33,0.56,5.685,0.788,0.27
104-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
105-1,1.00,8.316,0.93,1.00,8.140,0.664,0.94
105-2,0.91,11.560,1.00,0.91,11.699,3.510,1.00
105-3,1.00,12.857,1.00,1.00,13.043,3.818,1.00
106-1,0.79,6.678,0.03,0.79,6.463,0.811,0.45
106-2,0.35,6.332,0.79,0.35,5.893,0.875,0.88
106-3,0.29,8.425,0.03,0.29,7.842,1.346,0.21
107-1,1.00,13.301,1.00,1.00,13.413,2.789,1.00
107-2,1.00,6.418,0.09,1.00,6.281,0.696,0.08
107-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
108-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
109-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
110-1,1.00,5.236,1.00,1.00,5.264,0.721,1.00
110-2,0.97,5.306,1.00,0.97,5.302,0.694,0.96
110-3,1.00,8.038,1.00,1.00,8.047,0.810,0.89
111-1,1.00,5.207,1.00,1.00,5.234,0.718,1.00
111-2,1.00,8.102,1.00,1.00,8.141,0.812,0.97
111-3,0.09,9.175,0.98,0.09,9.696,1.472,0.99
112-1,1.00,5.327,0.96,1.00,5.294,0.682,0.92
112-2,1.00,5.327,0.96,1.00,5.289,0.682,0.91
112-3,1.00,6.553,0.70,1.00,6.380,0.634,0.65
113-1,1.00,6.526,0.69,1.00,6.385,0.627,0.66
113-2,0.50,9.012,1.00,0.50,9.052,1.469,0.98
113-3,0.94,7.432,1.00,0.94,7.339,0.783,0.98
114-1,1.00,5.648,1.00,1.00,5.658,0.784,0.99
115-1,1.00,5.538,0.64,1.00,5.445,0.674,0.52
116-1,0.47,5.812,0.34,0.47,5.688,1.299,0.53
116-2,0.44,5.864,0.34,0.44,5.893,1.272,0.49
117-1,1.00,6.088,0.12,1.00,6.007,0.712,0.13
117-2,0.15,7.812,1.00,0.15,8.108,5.658,1.00
119-1,0.97,6.773,0.98,0.97,6.518,0.739,0.96
120-1,1.00,6.441,1.00,1.00,6.517,1.179,1.00
120-2,1.00,8.173,0.67,1.00,8.044,0.663,0.70
120-3,0.88,7.618,0.49,0.88,7.539,0.638,0.61
121-1,0.50,7.618,0.60,0.50,7.296,1.042,0.72
121-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
121-3,0.79,5.142,0.70,0.79,5.065,0.645,0.48
122-1,0.85,5.863,0.95,0.85,5.800,0.691,0.93
124-1,1.00,8.041,0.43,1.00,7.877,0.666,0.41
124-2,1.00,8.374,0.37,1.00,8.327,0.623,0.34
124-3,1.00,8.041,0.43,1.00,7.873,0.668,0.41
125-1,0.94,5.733,1.00,0.94,5.751,0.837,0.99
125-2,0.91,7.582,0.59,0.91,7.116,0.890,0.70
125-3,1.00,7.230,0.76,1.00,7.079,1.001,0.81
126-1,0.03,12.351,1.00,0.03,12.351,0.000,1.00
127-1,0.94,4.621,0.66,0.94,4.591,0.684,0.65
127-2,0.88,4.874,0.15,0.88,4.810,0.770,0.17
127-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
128-1,0.85,9.277,0.85,0.85,9.575,2.361,0.85
129-1,0.94,5.410,0.52,0.94,5.169,0.669,0.55
129-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
129-3,0.94,5.410,0.52,0.94,5.169,0.669,0.55
130-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
131-1,0.71,5.574,0.80,0.71,5.450,0.826,0.66
131-2,0.76,5.651,0.33,0.76,5.660,0.751,0.48
131-3,0.97,5.974,0.38,0.97,5.979,0.653,0.46
132-1,1.00,5.201,0.78,1.00,5.166,0.649,0.81
132-2,1.00,6.297,0.62,1.00,6.173,0.696,0.63
65-1,1.00,6.869,0.53,1.00,6.875,0.740,0.53
65-2,1.00,6.696,0.53,1.00,6.706,0.770,0.53
65-3,1.00,6.747,0.55,1.00,6.762,0.764,0.55
68-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
68-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
69-1,1.00,5.760,0.80,1.00,5.705,0.642,0.85
69-2,1.00,5.742,0.89,1.00,5.595,0.612,0.78
70-1,1.00,5.883,0.20,1.00,5.854,0.622,0.25
70-2,1.00,8.344,0.15,1.00,8.282,0.681,0.17
70-3,1.00,7.338,0.20,1.00,7.259,0.741,0.21
72-1,1.00,5.763,0.38,1.00,5.707,0.586,0.32
72-2,0.85,6.840,0.01,0.85,6.853,0.873,0.01
73-1,1.00,12.828,1.00,1.00,13.023,3.508,1.00
73-2,1.00,12.828,1.00,1.00,13.023,3.508,1.00
73-3,1.00,27.955,1.00,1.00,28.054,5.019,1.00
74-1,0.41,6.822,0.21,0.41,6.698,1.086,0.33
74-2,1.00,5.668,0.31,1.00,5.535,0.578,0.57
75-1,1.00,5.760,0.80,1.00,5.628,0.639,0.78
75-2,1.00,5.742,0.89,1.00,5.620,0.619,0.83
79-1,0.94,6.262,0.80,0.94,5.993,0.777,0.70
79-2,0.56,6.483,0.29,0.56,6.437,0.997,0.32
79-3,1.00,5.501,0.88,1.00,5.444,0.654,0.90
80-1,0.56,5.029,0.21,0.56,5.037,1.139,0.23
80-2,1.00,5.677,0.89,1.00,5.404,0.647,0.62
81-1,0.76,6.174,0.55,0.76,6.022,0.841,0.54
81-2,0.76,6.174,0.55,0.76,6.022,0.841,0.54
82-1,0.88,5.586,0.91,0.88,5.557,0.899,0.91
83-1,1.00,5.193,0.80,1.00,5.181,0.635,0.84
83-2,1.00,5.193,0.80,1.00,5.174,0.634,0.82
84-1,0.74,8.513,0.49,0.73,8.296,0.801,0.42
85-1,0.91,4.646,0.51,0.91,4.548,0.626,0.44
85-2,0.91,4.646,0.51,0.91,4.548,0.626,0.44
86-1,0.62,6.138,0.39,0.62,6.093,0.793,0.49
86-2,0.62,6.138,0.39,0.62,6.093,0.793,0.49
86-3,0.56,5.862,0.40,0.56,5.857,0.834,0.44
87-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
87-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
87-3,0.71,6.104,0.76,0.71,6.135,1.272,0.77
88-1,0.91,5.761,0.80,0.91,5.766,0.999,0.73
89-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
89-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
89-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
91-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
91-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
91-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
93-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
93-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
94-1,1.00,5.804,1.00,1.00,5.860,0.664,0.99
95-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
95-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
96-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
96-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
96-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
97-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
97-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
97-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
98-1,1.00,6.652,0.54,1.00,6.553,0.670,0.54
99-1,0.97,5.402,0.16,0.97,5.245,0.612,0.16
