ID-model,GO:0003674,GO:0003824,GO:0005488,GO:0042802,GO:0005515
BLAST-S11,NaN,0.65,0.64,0.51,0.55
BLAST-S14,NaN,0.73,0.56,0.49,0.46
Naive-S11,NaN,0.50,0.50,0.50,0.50
Naive-S14,NaN,0.50,0.50,0.50,0.50
101-1,NaN,0.89,0.57,0.50,0.51
101-2,NaN,0.74,0.62,0.50,0.55
101-3,NaN,0.91,0.66,0.50,0.52
102-1,NaN,0.86,0.59,0.57,0.58
102-2,NaN,0.86,0.46,0.54,0.58
102-3,NaN,0.48,0.45,0.50,0.46
103-1,NaN,0.78,0.54,0.50,0.60
103-2,NaN,0.78,0.57,0.50,0.62
103-3,NaN,0.82,0.54,0.50,0.55
104-1,NaN,0.50,0.50,0.50,0.50
104-2,NaN,0.50,0.50,0.50,0.50
104-3,NaN,0.50,0.50,0.50,0.50
105-1,NaN,0.86,0.55,0.45,0.53
105-2,NaN,0.91,0.59,0.46,0.53
105-3,NaN,0.89,0.58,0.41,0.47
106-1,NaN,0.57,0.65,0.48,0.49
106-2,NaN,0.56,0.53,0.50,0.50
106-3,NaN,0.63,0.60,0.48,0.49
107-1,NaN,0.90,0.45,0.50,0.48
107-2,NaN,0.89,0.66,0.48,0.48
107-3,NaN,0.84,0.68,0.47,0.52
108-1,NaN,0.50,0.50,0.50,0.50
109-1,NaN,0.50,0.50,0.50,0.50
110-1,NaN,0.69,0.73,0.53,0.71
110-2,NaN,0.83,0.70,0.52,0.71
110-3,NaN,0.61,0.62,0.46,0.62
111-1,NaN,0.69,0.73,0.53,0.71
111-2,NaN,0.61,0.62,0.46,0.62
111-3,NaN,0.50,0.50,0.50,0.50
112-1,NaN,0.83,0.74,0.48,0.70
112-2,NaN,0.83,0.73,0.47,0.69
112-3,NaN,0.83,0.70,0.48,0.64
113-1,NaN,0.83,0.69,0.47,0.65
113-2,NaN,0.61,0.60,0.47,0.56
113-3,NaN,0.69,0.60,0.53,0.63
114-1,NaN,0.91,0.55,0.43,0.60
115-1,NaN,0.87,0.62,0.48,0.72
116-1,NaN,0.80,0.54,0.48,0.51
116-2,NaN,0.80,0.59,0.50,0.50
117-1,NaN,0.91,0.53,0.44,0.48
117-2,NaN,0.60,0.54,0.50,0.50
119-1,NaN,0.67,0.44,0.43,0.56
120-1,NaN,0.91,0.55,0.55,0.63
120-2,NaN,0.51,0.79,0.56,0.73
120-3,NaN,0.65,0.60,0.50,0.50
121-1,NaN,0.86,0.52,0.50,0.55
121-2,NaN,0.50,0.50,0.50,0.50
121-3,NaN,0.81,0.57,0.50,0.60
122-1,NaN,0.70,0.60,0.50,0.57
124-1,NaN,0.18,0.60,0.56,0.50
124-2,NaN,0.08,0.47,0.50,0.35
124-3,NaN,0.17,0.60,0.56,0.50
125-1,NaN,0.91,0.56,0.43,0.60
125-2,NaN,0.89,0.37,0.50,0.44
125-3,NaN,0.76,0.56,0.49,0.55
126-1,NaN,0.58,0.49,0.50,0.50
127-1,NaN,0.85,0.52,0.58,0.53
127-2,NaN,0.86,0.45,0.54,0.49
127-3,NaN,0.50,0.50,0.50,0.50
128-1,NaN,0.78,0.48,0.50,0.62
129-1,NaN,0.86,0.54,0.54,0.58
129-2,NaN,0.50,0.50,0.50,0.50
129-3,NaN,0.86,0.54,0.54,0.58
130-1,NaN,0.50,0.50,0.50,0.50
130-2,NaN,0.50,0.50,0.50,0.50
130-3,NaN,0.50,0.50,0.50,0.50
131-1,NaN,0.80,0.46,0.50,0.50
131-2,NaN,0.91,0.48,0.50,0.50
131-3,NaN,0.80,0.50,0.50,0.50
132-1,NaN,0.77,0.75,0.50,0.74
132-2,NaN,0.77,0.74,0.50,0.72
65-1,NaN,0.61,0.83,0.51,0.72
65-2,NaN,0.61,0.83,0.51,0.71
65-3,NaN,0.60,0.83,0.51,0.72
68-1,NaN,0.50,0.50,0.50,0.50
68-2,NaN,0.50,0.50,0.50,0.50
69-1,NaN,0.87,0.66,0.50,0.62
69-2,NaN,0.77,0.71,0.54,0.63
70-1,NaN,0.78,0.78,0.61,0.67
70-2,NaN,0.48,0.70,0.73,0.53
70-3,NaN,0.64,0.59,0.58,0.51
72-1,NaN,0.93,0.50,0.45,0.50
72-2,NaN,0.48,0.63,0.45,0.50
73-1,NaN,0.83,0.80,0.46,0.67
73-2,NaN,0.83,0.81,0.49,0.67
73-3,NaN,0.74,0.51,0.45,0.60
74-1,NaN,0.57,0.67,0.48,0.58
74-2,NaN,0.82,0.72,0.48,0.61
75-1,NaN,0.86,0.68,0.50,0.62
75-2,NaN,0.78,0.76,0.54,0.63
79-1,NaN,0.74,0.53,0.48,0.41
79-2,NaN,0.72,0.53,0.52,0.48
79-3,NaN,0.81,0.65,0.46,0.49
80-1,NaN,0.57,0.65,0.45,0.54
80-2,NaN,0.87,0.68,0.45,0.61
81-1,NaN,0.83,0.54,0.50,0.55
81-2,NaN,0.83,0.54,0.50,0.55
82-1,NaN,0.80,0.54,0.50,0.55
83-1,NaN,0.79,0.48,0.55,0.73
83-2,NaN,0.80,0.48,0.55,0.76
84-1,NaN,0.63,0.60,0.50,0.55
85-1,NaN,0.78,0.56,0.48,0.52
85-2,NaN,0.78,0.56,0.48,0.52
86-1,NaN,0.46,0.70,0.50,0.69
86-2,NaN,0.46,0.70,0.50,0.69
86-3,NaN,0.50,0.71,0.50,0.71
87-1,NaN,0.90,0.58,0.50,0.57
87-2,NaN,0.92,0.55,0.50,0.57
87-3,NaN,0.86,0.55,0.50,0.57
88-1,NaN,0.81,0.51,0.48,0.53
89-1,NaN,0.50,0.50,0.50,0.50
89-2,NaN,0.50,0.50,0.50,0.50
89-3,NaN,0.50,0.50,0.50,0.50
91-1,NaN,0.50,0.50,0.50,0.50
91-2,NaN,0.50,0.50,0.50,0.50
91-3,NaN,0.50,0.50,0.50,0.50
93-1,NaN,0.74,0.50,0.45,0.54
93-2,NaN,0.65,0.57,0.45,0.42
94-1,NaN,0.82,0.66,0.48,0.59
95-1,NaN,0.50,0.50,0.50,0.50
95-2,NaN,0.50,0.50,0.50,0.50
96-1,NaN,0.50,0.50,0.50,0.50
96-2,NaN,0.50,0.50,0.50,0.50
96-3,NaN,0.50,0.50,0.50,0.50
97-1,NaN,0.50,0.50,0.50,0.50
97-2,NaN,0.50,0.50,0.50,0.50
97-3,NaN,0.50,0.50,0.50,0.50
98-1,NaN,0.80,0.61,0.62,0.58
99-1,NaN,0.73,0.40,0.47,0.49
