ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
BLAST-S11,0.97,0.368,0.36,0.97,0.380,0.042,0.35
BLAST-S14,0.97,0.355,0.36,0.97,0.361,0.043,0.36
Naive-S11,1.00,0.388,0.30,1.00,0.392,0.047,0.36
Naive-S14,1.00,0.354,0.17,1.00,0.354,0.037,0.17
101-1,0.82,0.462,0.34,0.82,0.467,0.041,0.28
101-2,0.79,0.534,0.10,0.79,0.530,0.051,0.11
101-3,0.82,0.484,0.04,0.82,0.492,0.049,0.15
102-1,0.97,0.532,0.23,0.97,0.549,0.042,0.40
102-2,0.85,0.504,0.72,0.85,0.505,0.054,0.70
102-3,0.03,0.058,0.61,0.03,0.056,0.052,0.39
103-1,0.70,0.432,0.15,0.70,0.430,0.049,0.18
103-2,0.76,0.465,0.15,0.76,0.464,0.052,0.21
103-3,0.73,0.463,0.17,0.73,0.459,0.058,0.18
104-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
104-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
104-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
105-1,0.91,0.431,0.91,0.91,0.427,0.044,0.87
105-2,0.85,0.451,0.99,0.85,0.448,0.048,0.99
105-3,0.91,0.449,1.00,0.91,0.443,0.044,1.00
106-1,0.79,0.392,0.10,0.79,0.390,0.058,0.17
106-2,0.48,0.216,0.78,0.48,0.214,0.062,0.79
106-3,0.39,0.312,0.10,0.39,0.309,0.070,0.17
107-1,1.00,0.398,0.72,1.00,0.422,0.040,0.67
107-2,1.00,0.429,0.04,1.00,0.429,0.047,0.05
107-3,0.97,0.395,0.03,0.97,0.397,0.047,0.05
108-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
109-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
110-1,0.94,0.502,0.60,0.94,0.511,0.050,0.57
110-2,0.88,0.455,0.11,0.88,0.461,0.051,0.12
110-3,1.00,0.166,0.31,1.00,0.181,0.032,0.52
111-1,0.94,0.502,0.60,0.94,0.511,0.050,0.57
111-2,1.00,0.166,0.31,1.00,0.181,0.032,0.52
111-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
112-1,1.00,0.446,0.31,1.00,0.456,0.051,0.40
112-2,1.00,0.463,0.31,1.00,0.465,0.052,0.37
112-3,1.00,0.420,0.29,1.00,0.424,0.055,0.32
113-1,1.00,0.443,0.31,1.00,0.441,0.055,0.31
113-2,1.00,0.161,0.31,1.00,0.168,0.037,0.34
113-3,0.85,0.471,0.60,0.85,0.474,0.055,0.60
114-1,1.00,0.507,0.90,1.00,0.512,0.039,0.90
115-1,1.00,0.482,0.31,1.00,0.483,0.045,0.32
116-1,0.82,0.466,0.42,0.82,0.464,0.055,0.49
116-2,0.67,0.315,0.42,0.67,0.311,0.057,0.45
117-1,1.00,0.462,0.05,1.00,0.466,0.034,0.06
117-2,0.09,0.103,1.00,0.09,0.100,0.062,0.95
119-1,0.97,0.459,0.63,0.97,0.474,0.045,0.71
120-1,1.00,0.501,0.97,1.00,0.498,0.043,0.97
120-2,1.00,0.331,0.37,1.00,0.339,0.035,0.38
120-3,0.79,0.274,0.62,0.79,0.279,0.042,0.59
121-1,0.73,0.463,0.60,0.73,0.458,0.055,0.60
121-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
121-3,0.76,0.495,0.01,0.76,0.496,0.054,0.10
