ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
BLAST-S11,0.97,0.291,0.33,0.97,0.303,0.041,0.34
BLAST-S14,0.97,0.310,0.36,0.97,0.318,0.050,0.36
Naive-S11,1.00,0.291,0.05,1.00,0.290,0.021,0.05
Naive-S14,1.00,0.223,0.09,1.00,0.222,0.024,0.10
101-1,0.82,0.421,0.08,0.82,0.427,0.050,0.23
101-2,0.79,0.479,0.10,0.79,0.475,0.059,0.11
101-3,0.82,0.481,0.24,0.82,0.478,0.058,0.25
102-1,0.97,0.474,0.23,0.97,0.484,0.042,0.31
102-2,0.85,0.435,0.72,0.85,0.436,0.053,0.69
102-3,0.03,0.058,0.61,0.03,0.056,0.053,0.39
103-1,0.70,0.387,0.15,0.70,0.385,0.050,0.20
103-2,0.76,0.442,0.15,0.76,0.444,0.056,0.26
103-3,0.73,0.457,0.17,0.73,0.453,0.060,0.17
104-1,0.00,0.001,0.00,0.00,0.001,0.000,0.00
104-2,0.00,0.001,0.00,0.00,0.001,0.000,0.00
104-3,0.00,0.001,0.00,0.00,0.001,0.000,0.00
105-1,0.91,0.409,0.92,0.91,0.405,0.049,0.89
105-2,0.85,0.441,0.99,0.85,0.440,0.054,0.99
105-3,0.91,0.428,1.00,0.91,0.423,0.050,1.00
106-1,0.79,0.361,0.10,0.79,0.359,0.059,0.16
106-2,0.48,0.178,0.78,0.48,0.178,0.064,0.81
106-3,0.39,0.302,0.10,0.39,0.300,0.071,0.16
107-1,1.00,0.384,0.72,1.00,0.401,0.044,0.69
107-2,1.00,0.411,0.04,1.00,0.411,0.054,0.06
107-3,0.97,0.375,0.03,0.97,0.383,0.052,0.05
108-1,0.00,0.001,0.00,0.00,0.001,0.000,0.00
109-1,0.00,0.001,0.00,0.00,0.001,0.000,0.00
110-1,0.94,0.418,0.63,0.94,0.428,0.052,0.47
110-2,0.88,0.381,0.12,0.88,0.386,0.051,0.13
110-3,1.00,0.109,0.42,1.00,0.119,0.028,0.46
111-1,0.94,0.418,0.63,0.94,0.428,0.052,0.47
111-2,1.00,0.109,0.42,1.00,0.119,0.028,0.46
111-3,0.00,0.001,0.00,0.00,0.001,0.000,0.00
112-1,1.00,0.372,0.29,1.00,0.376,0.058,0.34
112-2,1.00,0.384,0.31,1.00,0.388,0.060,0.34
112-3,1.00,0.367,0.29,1.00,0.370,0.060,0.32
113-1,1.00,0.380,0.31,1.00,0.382,0.061,0.32
113-2,1.00,0.109,0.42,1.00,0.118,0.029,0.42
113-3,0.85,0.407,0.63,0.85,0.407,0.058,0.60
114-1,1.00,0.492,0.90,1.00,0.497,0.048,0.90
115-1,1.00,0.456,0.31,1.00,0.455,0.052,0.37
116-1,0.82,0.437,0.42,0.82,0.437,0.060,0.52
116-2,0.67,0.314,0.42,0.67,0.310,0.059,0.45
117-1,1.00,0.391,0.05,1.00,0.396,0.040,0.06
117-2,0.09,0.098,1.00,0.09,0.095,0.062,0.93
119-1,0.97,0.427,0.63,0.97,0.439,0.048,0.69
120-1,1.00,0.475,0.97,1.00,0.478,0.046,0.96
120-2,1.00,0.269,0.36,1.00,0.275,0.041,0.35
120-3,0.79,0.252,0.67,0.79,0.252,0.053,0.63
121-1,0.73,0.462,0.60,0.73,0.458,0.059,0.60
121-2,0.00,0.001,0.00,0.00,0.001,0.000,0.00
121-3,0.76,0.488,0.01,0.76,0.486,0.057,0.07
122-1,0.48,0.282,0.71,0.48,0.278,0.058,0.73
124-1,1.00,0.266,0.19,1.00,0.270,0.039,0.20
124-2,1.00,0.219,0.09,1.00,0.231,0.035,0.11
124-3,1.00,0.240,0.19,1.00,0.240,0.035,0.20
125-1,0.97,0.492,0.90,0.97,0.497,0.048,0.90
125-2,0.97,0.401,0.34,0.97,0.402,0.050,0.34
125-3,0.94,0.350,0.56,0.94,0.356,0.053,0.51
126-1,0.18,0.166,0.56,0.18,0.162,0.069,0.61
127-1,0.79,0.338,0.57,0.79,0.361,0.052,0.57
127-2,0.79,0.342,0.15,0.79,0.354,0.059,0.17
127-3,0.00,0.001,0.00,0.00,0.001,0.000,0.00
128-1,0.61,0.283,0.29,0.61,0.298,0.064,0.48
129-1,0.91,0.327,0.62,0.91,0.343,0.054,0.56
129-2,0.00,0.001,0.00,0.00,0.001,0.000,0.00
129-3,0.91,0.327,0.62,0.91,0.343,0.054,0.56
130-1,0.00,0.001,0.00,0.00,0.001,0.000,0.00
130-2,0.00,0.001,0.00,0.00,0.001,0.000,0.00
130-3,0.00,0.001,0.00,0.00,0.001,0.000,0.00
131-1,0.58,0.388,1.00,0.58,0.383,0.060,0.90
131-2,0.64,0.436,0.05,0.64,0.431,0.056,0.19
131-3,0.67,0.411,0.16,0.67,0.413,0.059,0.19
132-1,1.00,0.349,0.43,1.00,0.365,0.056,0.46
132-2,1.00,0.347,0.43,1.00,0.360,0.057,0.44
65-1,1.00,0.260,0.20,1.00,0.266,0.042,0.23
65-2,0.97,0.261,0.20,0.97,0.266,0.042,0.23
65-3,1.00,0.265,0.22,1.00,0.268,0.043,0.24
68-1,0.00,0.001,0.00,0.00,0.001,0.000,0.00
68-2,0.00,0.001,0.00,0.00,0.001,0.000,0.00
69-1,1.00,0.413,0.21,1.00,0.416,0.050,0.31
69-2,1.00,0.383,0.14,1.00,0.392,0.052,0.33
70-1,1.00,0.371,0.05,1.00,0.381,0.040,0.05
70-2,1.00,0.228,0.08,1.00,0.240,0.028,0.09
70-3,1.00,0.210,0.13,1.00,0.217,0.024,0.11
72-1,0.94,0.419,0.01,0.94,0.416,0.052,0.03
72-2,0.94,0.133,0.01,0.94,0.133,0.022,0.01
73-1,1.00,0.408,1.00,1.00,0.414,0.052,0.94
73-2,1.00,0.408,1.00,1.00,0.412,0.052,0.97
73-3,0.94,0.381,0.87,0.94,0.388,0.044,0.91
74-1,0.55,0.332,0.09,0.55,0.329,0.067,0.11
74-2,0.82,0.454,0.44,0.82,0.453,0.061,0.42
75-1,1.00,0.422,0.70,1.00,0.424,0.052,0.61
75-2,1.00,0.425,0.70,1.00,0.426,0.053,0.57
79-1,0.55,0.301,0.05,0.54,0.299,0.059,0.10
79-2,0.30,0.191,0.08,0.30,0.188,0.057,0.17
