ID-model,GO:0003674,GO:0003824,GO:0005488,GO:0042802,GO:0005515
BLAST-S11,NaN,0.63,0.60,0.50,0.51
BLAST-S14,NaN,0.72,0.52,0.49,0.44
Naive-S11,NaN,0.50,0.50,0.50,0.50
Naive-S14,NaN,0.50,0.50,0.50,0.50
101-1,NaN,0.89,0.57,0.50,0.51
101-2,NaN,0.74,0.62,0.50,0.55
101-3,NaN,0.91,0.66,0.50,0.52
102-1,NaN,0.85,0.61,0.60,0.61
102-2,NaN,0.99,0.39,0.53,0.59
102-3,NaN,NaN,NaN,NaN,NaN
103-1,NaN,0.88,0.65,0.50,0.67
103-2,NaN,0.77,0.64,0.50,0.66
103-3,NaN,0.88,0.60,0.50,0.58
104-1,NaN,NaN,NaN,NaN,NaN
104-2,NaN,NaN,NaN,NaN,NaN
104-3,NaN,NaN,NaN,NaN,NaN
105-1,NaN,0.84,0.55,0.47,0.55
105-2,NaN,0.89,0.64,0.47,0.56
105-3,NaN,0.88,0.59,0.44,0.47
106-1,NaN,0.58,0.72,0.47,0.49
106-2,NaN,0.50,0.72,0.50,0.50
106-3,NaN,1.00,0.73,0.45,0.50
107-1,NaN,0.90,0.45,0.50,0.48
107-2,NaN,0.89,0.66,0.48,0.48
107-3,NaN,0.84,0.65,0.47,0.50
108-1,NaN,NaN,NaN,NaN,NaN
109-1,NaN,NaN,NaN,NaN,NaN
110-1,NaN,0.73,0.76,0.52,0.74
110-2,NaN,0.82,0.73,0.52,0.74
110-3,NaN,0.61,0.62,0.46,0.62
111-1,NaN,0.73,0.76,0.52,0.74
111-2,NaN,0.61,0.62,0.46,0.62
111-3,NaN,NaN,NaN,NaN,NaN
112-1,NaN,0.83,0.74,0.48,0.70
112-2,NaN,0.83,0.73,0.47,0.69
112-3,NaN,0.83,0.70,0.48,0.64
113-1,NaN,0.83,0.69,0.47,0.65
113-2,NaN,0.61,0.60,0.47,0.56
113-3,NaN,0.70,0.69,0.55,0.75
114-1,NaN,0.91,0.55,0.43,0.60
115-1,NaN,0.87,0.62,0.48,0.72
116-1,NaN,0.76,0.54,0.47,0.52
116-2,NaN,0.79,0.60,0.50,0.50
117-1,NaN,0.91,0.53,0.44,0.48
117-2,NaN,NaN,1.00,0.50,0.50
119-1,NaN,0.66,0.38,0.42,0.53
120-1,NaN,0.91,0.55,0.55,0.63
120-2,NaN,0.51,0.79,0.56,0.73
120-3,NaN,0.70,0.73,0.50,0.50
121-1,NaN,0.87,0.56,0.50,0.57
121-2,NaN,NaN,NaN,NaN,NaN
121-3,NaN,0.80,0.63,0.50,0.63
122-1,NaN,0.70,0.70,0.50,0.64
124-1,NaN,0.18,0.60,0.56,0.50
124-2,NaN,0.08,0.47,0.50,0.35
124-3,NaN,0.17,0.60,0.56,0.50
125-1,NaN,0.91,0.58,0.43,0.61
125-2,NaN,0.88,0.38,0.50,0.45
125-3,NaN,0.82,0.60,0.47,0.54
126-1,NaN,0.81,0.50,NaN,0.50
127-1,NaN,0.88,0.53,0.61,0.54
127-2,NaN,0.90,0.47,0.57,0.52
127-3,NaN,NaN,NaN,NaN,NaN
128-1,NaN,0.80,0.62,0.50,0.73
129-1,NaN,0.92,0.62,0.54,0.66
