ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-S11,0.97,8.331,0.54,0.97,8.237,0.930,0.54
BLAST-S14,0.97,8.663,0.69,0.97,8.480,0.887,0.64
Naive-S11,1.00,8.040,0.30,1.00,8.004,0.855,0.26
Naive-S14,1.00,8.128,0.43,1.00,8.070,0.837,0.35
101-1,0.82,7.387,0.43,0.82,7.355,1.128,0.46
101-2,0.79,7.141,0.33,0.79,7.110,1.003,0.33
101-3,0.82,7.412,1.00,0.82,7.329,0.946,0.82
102-1,0.97,6.606,0.74,0.97,6.483,0.887,0.74
102-2,0.85,7.275,0.89,0.85,7.247,1.016,0.88
102-3,0.03,1.951,0.76,0.03,1.951,0.000,0.76
103-1,0.70,7.083,0.53,0.70,6.979,0.735,0.56
103-2,0.76,6.573,0.71,0.76,6.372,0.793,0.68
103-3,0.73,6.609,0.33,0.73,6.692,0.924,0.33
104-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
105-1,0.91,8.907,0.93,0.91,8.646,0.832,0.95
105-2,0.85,10.364,1.00,0.85,10.469,1.918,1.00
105-3,0.91,13.113,1.00,0.91,13.182,2.112,1.00
106-1,0.79,8.107,0.78,0.79,7.992,0.839,0.86
106-2,0.48,7.826,0.99,0.48,7.445,1.206,0.90
106-3,0.39,6.512,0.43,0.39,6.336,1.354,0.48
107-1,1.00,10.897,1.00,1.00,11.002,2.001,0.93
107-2,1.00,6.836,0.17,1.00,6.687,0.776,0.16
107-3,0.97,7.488,0.12,0.97,7.234,0.763,0.15
108-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
109-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
110-1,0.94,7.317,0.95,0.94,7.224,1.021,0.93
110-2,0.88,7.153,0.81,0.88,7.110,0.957,0.77
110-3,1.00,13.920,1.00,1.00,13.953,0.826,1.00
111-1,0.94,7.317,0.95,0.94,7.224,1.021,0.93
111-2,1.00,13.920,1.00,1.00,13.953,0.826,1.00
111-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
112-1,1.00,7.160,0.77,1.00,7.083,0.866,0.72
112-2,1.00,7.063,0.76,1.00,7.019,0.869,0.73
112-3,1.00,7.262,0.70,1.00,7.144,0.862,0.72
113-1,1.00,7.183,0.76,1.00,7.100,0.864,0.71
113-2,1.00,13.778,1.00,1.00,13.809,0.795,1.00
113-3,0.85,7.507,0.95,0.85,7.407,1.085,0.93
114-1,1.00,8.573,1.00,1.00,8.647,1.353,1.00
115-1,1.00,6.778,0.84,1.00,6.489,0.773,0.82
116-1,0.82,7.333,0.75,0.82,7.085,0.770,0.72
116-2,0.67,7.884,0.42,0.67,7.904,0.796,0.50
117-1,1.00,6.883,0.13,1.00,6.897,0.774,0.12
117-2,0.09,9.802,1.00,0.09,9.925,5.880,1.00
119-1,0.97,6.610,0.87,0.97,6.565,0.745,0.88
120-1,1.00,9.061,1.00,1.00,9.132,1.462,1.00
120-2,1.00,7.757,0.76,1.00,7.690,0.720,0.79
120-3,0.79,6.906,0.87,0.79,6.855,0.813,0.81
121-1,0.73,8.128,0.60,0.73,8.059,1.172,0.66
121-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
121-3,0.76,6.895,0.96,0.76,6.836,0.965,0.94
122-1,0.48,10.866,1.00,0.48,10.997,2.181,0.92
124-1,1.00,7.984,0.34,1.00,7.843,0.818,0.38
124-2,1.00,8.017,0.34,1.00,7.978,0.852,0.34
124-3,1.00,8.115,0.32,1.00,8.039,0.834,0.37
125-1,0.97,8.800,1.00,0.97,8.875,1.384,1.00
125-2,0.97,7.781,0.70,0.97,7.707,0.764,0.69
125-3,0.94,8.416,0.65,0.94,8.152,0.897,0.74
126-1,0.18,6.669,0.56,0.18,6.769,1.601,0.68
127-1,0.79,7.212,0.75,0.79,7.148,1.033,0.76
127-2,0.79,6.880,0.24,0.79,6.896,1.042,0.24
127-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
128-1,0.61,7.481,1.00,0.61,7.624,1.277,0.96
129-1,0.91,6.958,0.62,0.91,6.896,0.959,0.65
129-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
129-3,0.91,6.958,0.62,0.91,6.896,0.959,0.65
130-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
131-1,0.58,9.187,1.00,0.58,9.339,1.580,1.00
131-2,0.64,9.517,1.00,0.64,9.574,1.540,0.70
131-3,0.67,8.273,0.81,0.67,7.824,1.022,0.76
132-1,1.00,7.052,0.59,1.00,7.038,0.851,0.62
132-2,1.00,7.057,0.59,1.00,7.049,0.847,0.62
65-1,1.00,7.887,0.44,1.00,7.811,0.803,0.43
65-2,0.97,7.787,0.44,0.97,7.703,0.820,0.43
65-3,1.00,7.881,0.43,1.00,7.805,0.799,0.46
68-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
68-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
69-1,1.00,7.023,1.00,1.00,7.066,0.719,0.99
69-2,1.00,6.981,1.00,1.00,6.942,0.735,0.97
70-1,1.00,7.393,0.40,1.00,7.313,0.872,0.37
70-2,1.00,7.569,0.16,1.00,7.570,0.731,0.16
70-3,1.00,7.968,0.24,1.00,7.918,0.757,0.23
72-1,0.94,7.005,0.29,0.94,6.915,0.954,0.39
72-2,0.94,7.994,0.01,0.94,7.999,0.902,0.01
73-1,1.00,8.556,1.00,1.00,8.631,1.244,1.00
73-2,1.00,8.556,1.00,1.00,8.631,1.244,1.00
73-3,0.94,14.546,1.00,0.94,14.582,2.259,1.00
74-1,0.55,6.524,0.70,0.55,6.498,1.115,0.43
74-2,0.82,7.261,0.68,0.82,7.210,0.966,0.75
75-1,1.00,7.023,1.00,1.00,7.067,0.719,1.00
75-2,1.00,6.981,1.00,1.00,6.941,0.735,0.97
79-1,0.55,6.644,0.25,0.54,6.658,0.882,0.30
79-2,0.30,6.170,0.48,0.30,6.182,1.160,0.50
79-3,0.88,6.740,0.95,0.88,6.683,0.843,0.80
80-1,0.61,6.450,0.70,0.61,6.460,0.883,0.52
80-2,0.85,7.291,0.89,0.85,7.273,0.878,0.87
81-1,0.67,7.994,1.00,0.67,8.130,1.238,0.97
81-2,0.67,7.994,1.00,0.67,8.130,1.238,0.97
82-1,0.70,7.439,0.87,0.70,7.391,1.034,0.85
83-1,1.00,7.460,0.49,1.00,7.322,0.676,0.62
83-2,1.00,7.460,0.49,1.00,7.322,0.678,0.62
84-1,1.00,7.341,0.45,1.00,7.297,0.664,0.47
85-1,0.76,7.671,0.75,0.76,7.227,1.135,0.53
85-2,0.76,7.671,0.75,0.76,7.227,1.135,0.53
86-1,0.45,6.914,0.72,0.45,6.883,1.084,0.84
86-2,0.45,6.914,0.72,0.45,6.883,1.084,0.84
86-3,0.39,6.329,0.45,0.39,6.343,1.139,0.61
