ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-S11,0.97,0.583,0.32,0.97,0.583,0.029,0.32
BLAST-S14,0.97,0.586,0.37,0.97,0.585,0.032,0.36
Naive-S11,1.00,0.626,0.08,1.00,0.625,0.011,0.07
Naive-S14,1.00,0.627,0.12,1.00,0.626,0.011,0.11
101-1,0.87,0.510,0.37,0.87,0.507,0.034,0.30
101-2,0.84,0.493,0.10,0.84,0.493,0.037,0.13
101-3,0.87,0.477,0.31,0.87,0.472,0.037,0.38
102-1,0.95,0.551,0.24,0.95,0.536,0.032,0.40
102-2,0.84,0.553,0.72,0.84,0.553,0.031,0.61
102-3,0.18,0.839,0.01,0.19,0.841,0.049,0.02
103-1,0.71,0.540,0.14,0.71,0.542,0.039,0.14
103-2,0.82,0.481,0.18,0.82,0.481,0.042,0.20
103-3,0.76,0.484,0.17,0.76,0.488,0.049,0.17
104-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
104-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
104-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
105-1,0.95,0.540,0.75,0.95,0.540,0.033,0.75
105-2,0.95,0.491,0.99,0.95,0.493,0.039,0.99
105-3,0.95,0.521,0.99,0.95,0.524,0.039,0.99
106-1,0.82,0.507,0.13,0.82,0.511,0.041,0.14
106-2,0.47,0.713,0.61,0.47,0.715,0.048,0.64
106-3,0.42,0.678,0.09,0.42,0.679,0.061,0.11
107-1,1.00,0.498,0.74,1.00,0.497,0.039,0.74
107-2,1.00,0.532,0.06,1.00,0.525,0.033,0.07
107-3,0.97,0.542,0.05,0.97,0.532,0.032,0.07
108-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
109-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
110-1,0.89,0.588,0.49,0.89,0.588,0.030,0.52
110-2,0.95,0.536,0.19,0.95,0.530,0.029,0.24
110-3,1.00,0.668,1.00,1.00,0.669,0.018,1.00
111-1,0.89,0.588,0.49,0.89,0.588,0.030,0.52
111-2,1.00,0.668,1.00,1.00,0.669,0.018,1.00
111-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
112-1,1.00,0.522,0.34,1.00,0.518,0.032,0.35
112-2,1.00,0.523,0.33,1.00,0.516,0.032,0.33
112-3,1.00,0.524,0.34,1.00,0.520,0.032,0.34
113-1,1.00,0.525,0.33,1.00,0.518,0.032,0.32
113-2,1.00,0.676,1.00,1.00,0.676,0.017,1.00
113-3,0.82,0.606,0.49,0.82,0.607,0.025,0.50
114-1,1.00,0.408,0.97,1.00,0.409,0.042,0.97
115-1,1.00,0.418,0.63,1.00,0.415,0.039,0.57
116-1,0.89,0.434,0.40,0.89,0.436,0.044,0.49
116-2,0.87,0.485,0.49,0.87,0.489,0.047,0.52
117-1,1.00,0.565,0.06,1.00,0.562,0.030,0.06
117-2,0.05,0.949,1.00,0.05,0.949,0.035,0.87
119-1,0.95,0.493,0.75,0.95,0.494,0.035,0.75
120-1,1.00,0.412,1.00,1.00,0.410,0.042,0.99
120-2,1.00,0.618,0.32,1.00,0.618,0.016,0.37
120-3,0.79,0.668,0.45,0.79,0.671,0.026,0.45
121-1,0.79,0.471,0.51,0.79,0.474,0.047,0.54
121-2,0.03,0.981,0.61,0.03,0.980,0.019,0.39
121-3,0.82,0.446,0.02,0.82,0.449,0.045,0.07
122-1,0.63,0.622,0.69,0.63,0.624,0.055,0.71
124-1,1.00,0.608,0.18,1.00,0.607,0.019,0.21
124-2,1.00,0.667,0.16,1.00,0.663,0.008,0.16
124-3,1.00,0.608,0.18,1.00,0.606,0.019,0.21
125-1,1.00,0.408,0.97,1.00,0.409,0.042,0.97
125-2,0.95,0.514,0.30,0.95,0.503,0.036,0.31
125-3,1.00,0.562,0.38,1.00,0.562,0.032,0.38
126-1,0.95,0.553,0.46,0.95,0.555,0.037,0.47
127-1,0.89,0.473,0.69,0.89,0.474,0.036,0.68
127-2,0.89,0.515,0.13,0.89,0.514,0.031,0.14
127-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
128-1,0.71,0.588,0.01,0.71,0.593,0.036,0.01
129-1,0.95,0.583,0.42,0.95,0.581,0.034,0.43
129-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
129-3,0.95,0.583,0.42,0.95,0.581,0.034,0.43
130-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
130-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
130-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
131-1,0.71,0.512,0.53,0.71,0.515,0.052,0.66
131-2,0.71,0.529,0.12,0.71,0.532,0.052,0.36
131-3,0.87,0.477,0.01,0.87,0.472,0.038,0.08
132-1,1.00,0.496,0.39,1.00,0.497,0.034,0.39
132-2,1.00,0.497,0.39,1.00,0.498,0.034,0.39
65-1,0.95,0.642,0.12,0.95,0.632,0.019,0.15
65-2,0.84,0.639,0.15,0.84,0.631,0.019,0.15
65-3,0.95,0.640,0.16,0.95,0.631,0.019,0.17
68-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
68-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
69-1,1.00,0.488,0.63,1.00,0.486,0.032,0.65
69-2,1.00,0.493,0.54,1.00,0.486,0.031,0.59
70-1,1.00,0.575,0.05,1.00,0.575,0.023,0.06
70-2,1.00,0.615,0.10,1.00,0.614,0.015,0.10
70-3,1.00,0.626,0.08,1.00,0.626,0.011,0.08
72-1,1.00,0.543,0.01,1.00,0.545,0.041,0.01
72-2,0.97,0.728,0.01,0.97,0.729,0.047,0.01
73-1,1.00,0.530,0.99,1.00,0.527,0.031,0.98
73-2,1.00,0.524,0.99,1.00,0.520,0.031,0.98
73-3,0.95,0.541,0.93,0.95,0.542,0.034,0.91
74-1,0.74,0.515,0.04,0.74,0.511,0.042,0.16
74-2,0.89,0.466,0.51,0.89,0.466,0.040,0.43
75-1,1.00,0.444,0.70,1.00,0.446,0.037,0.70
75-2,1.00,0.434,0.70,1.00,0.437,0.037,0.70
79-1,0.89,0.524,0.19,0.90,0.523,0.032,0.13
79-2,0.37,0.748,0.04,0.37,0.750,0.053,0.05
79-3,0.92,0.481,0.33,0.92,0.481,0.037,0.29
80-1,0.82,0.487,0.28,0.82,0.485,0.042,0.35
80-2,0.92,0.432,0.70,0.92,0.435,0.038,0.62
81-1,0.79,0.525,0.37,0.79,0.528,0.045,0.43
81-2,0.79,0.525,0.37,0.79,0.528,0.045,0.43
82-1,0.76,0.588,0.43,0.76,0.581,0.029,0.50
83-1,1.00,0.475,0.28,1.00,0.476,0.033,0.28
83-2,1.00,0.466,0.28,1.00,0.467,0.034,0.29
84-1,0.97,0.574,0.21,0.97,0.570,0.023,0.22
85-1,0.87,0.510,0.13,0.87,0.511,0.043,0.15
85-2,0.87,0.510,0.13,0.87,0.511,0.043,0.15
86-1,1.00,0.658,0.30,1.00,0.661,0.034,0.30
86-2,1.00,0.658,0.30,1.00,0.661,0.034,0.30
86-3,0.97,0.715,0.30,0.97,0.717,0.045,0.30
87-1,0.82,0.465,0.19,0.82,0.467,0.040,0.27
87-2,0.82,0.463,0.19,0.82,0.462,0.041,0.18
87-3,0.79,0.463,0.25,0.79,0.467,0.042,0.26
88-1,0.95,0.499,0.02,0.95,0.501,0.038,0.11
89-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
89-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
89-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
91-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
91-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
91-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
93-1,0.95,0.828,1.00,0.95,0.829,0.040,1.00
93-2,1.00,0.925,1.00,1.00,0.925,0.014,1.00
94-1,1.00,0.426,1.00,1.00,0.428,0.037,0.91
95-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
95-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
96-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
96-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
96-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
97-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
97-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
97-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
98-1,1.00,0.523,0.50,1.00,0.521,0.032,0.50
99-1,0.82,0.572,0.07,0.82,0.571,0.032,0.08
