ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-S11,0.97,8.624,0.50,0.97,8.560,0.737,0.50
BLAST-S14,0.97,8.564,0.50,0.97,8.577,0.721,0.50
Naive-S11,1.00,8.457,0.30,1.00,8.441,0.622,0.27
Naive-S14,1.00,8.520,0.43,1.00,8.493,0.614,0.38
101-1,0.87,7.438,0.43,0.87,7.257,0.762,0.43
101-2,0.84,6.536,0.18,0.84,6.453,0.594,0.24
101-3,0.87,5.814,0.75,0.87,5.799,0.595,0.74
102-1,0.95,7.448,0.77,0.95,7.299,0.757,0.76
102-2,0.84,8.307,0.93,0.84,8.163,0.667,0.90
102-3,0.18,8.290,0.73,0.19,8.200,0.597,0.75
103-1,0.71,6.651,0.20,0.71,6.557,0.583,0.27
103-2,0.82,5.758,0.72,0.82,5.644,0.671,0.60
103-3,0.76,5.667,0.17,0.76,5.724,0.589,0.17
104-1,0.00,9.178,1.00,0.00,9.182,0.658,1.00
104-2,0.00,9.178,1.00,0.00,9.182,0.658,1.00
104-3,0.00,9.178,1.00,0.00,9.182,0.658,1.00
105-1,0.95,8.593,0.93,0.95,8.620,0.688,0.94
105-2,0.95,10.405,1.00,0.95,10.460,1.642,1.00
105-3,0.95,14.764,1.00,0.95,14.792,2.204,1.00
106-1,0.82,7.226,0.40,0.82,7.071,0.661,0.51
106-2,0.47,7.940,0.84,0.47,7.970,0.692,0.86
106-3,0.42,7.188,0.09,0.42,7.193,0.736,0.13
107-1,1.00,7.299,1.00,1.00,7.432,1.130,0.98
107-2,1.00,7.168,0.13,1.00,7.092,0.697,0.15
107-3,0.97,7.747,0.14,0.97,7.548,0.713,0.14
108-1,0.00,9.178,1.00,0.00,9.182,0.658,1.00
109-1,0.00,9.178,1.00,0.00,9.182,0.658,1.00
110-1,0.89,8.881,0.98,0.89,8.825,0.823,0.95
110-2,0.95,7.532,0.68,0.95,7.422,0.727,0.64
110-3,1.00,13.711,1.00,1.00,13.725,0.785,1.00
111-1,0.89,8.881,0.98,0.89,8.825,0.823,0.95
111-2,1.00,13.711,1.00,1.00,13.725,0.785,1.00
111-3,0.00,9.178,1.00,0.00,9.182,0.658,1.00
112-1,1.00,7.621,0.55,1.00,7.485,0.749,0.59
112-2,1.00,7.734,0.46,1.00,7.509,0.746,0.58
112-3,1.00,7.747,0.55,1.00,7.635,0.727,0.57
113-1,1.00,7.788,0.46,1.00,7.638,0.734,0.55
113-2,1.00,13.838,1.00,1.00,13.851,0.768,1.00
113-3,0.82,9.108,0.98,0.82,9.045,0.786,0.95
114-1,1.00,5.315,1.00,1.00,5.325,0.608,1.00
115-1,1.00,5.746,0.86,1.00,5.702,0.573,0.80
116-1,0.89,5.923,0.61,0.89,5.744,0.610,0.71
116-2,0.87,6.034,0.61,0.87,6.031,0.662,0.59
117-1,1.00,7.663,0.10,1.00,7.635,0.689,0.10
