ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
BLAST-S11,0.97,0.319,0.32,0.97,0.321,0.051,0.32
BLAST-S14,0.97,0.302,0.32,0.97,0.310,0.052,0.33
Naive-S11,1.00,0.264,0.05,1.00,0.263,0.024,0.05
Naive-S14,1.00,0.216,0.09,1.00,0.220,0.021,0.09
101-1,0.87,0.459,0.37,0.87,0.462,0.051,0.28
101-2,0.84,0.480,0.18,0.84,0.484,0.052,0.15
101-3,0.87,0.504,0.68,0.87,0.509,0.054,0.55
102-1,0.95,0.458,0.19,0.95,0.465,0.047,0.31
102-2,0.84,0.403,0.72,0.84,0.412,0.048,0.48
102-3,0.18,0.208,0.40,0.19,0.201,0.057,0.36
103-1,0.71,0.438,0.18,0.71,0.441,0.053,0.20
103-2,0.82,0.513,0.72,0.82,0.525,0.059,0.50
103-3,0.76,0.535,0.17,0.76,0.533,0.058,0.17
104-1,0.00,0.001,0.00,0.00,0.001,0.000,0.00
104-2,0.00,0.001,0.00,0.00,0.001,0.000,0.00
104-3,0.00,0.001,0.00,0.00,0.001,0.000,0.00
105-1,0.95,0.431,0.45,0.95,0.444,0.050,0.61
105-2,0.95,0.457,0.99,0.95,0.461,0.054,0.98
105-3,0.95,0.467,0.99,0.95,0.464,0.053,0.99
106-1,0.82,0.449,0.13,0.82,0.448,0.059,0.17
106-2,0.47,0.248,0.84,0.47,0.246,0.065,0.83
106-3,0.42,0.366,0.09,0.42,0.364,0.068,0.11
107-1,1.00,0.488,0.75,1.00,0.493,0.055,0.78
107-2,1.00,0.427,0.04,1.00,0.430,0.049,0.05
107-3,0.97,0.406,0.04,0.97,0.416,0.050,0.06
108-1,0.00,0.001,0.00,0.00,0.001,0.000,0.00
109-1,0.00,0.001,0.00,0.00,0.001,0.000,0.00
110-1,0.89,0.320,0.40,0.89,0.323,0.050,0.49
110-2,0.95,0.423,0.19,0.95,0.430,0.049,0.17
110-3,1.00,0.129,0.67,1.00,0.137,0.030,0.65
111-1,0.89,0.320,0.40,0.89,0.323,0.050,0.49
111-2,1.00,0.129,0.67,1.00,0.137,0.030,0.65
111-3,0.00,0.001,0.00,0.00,0.001,0.000,0.00
112-1,1.00,0.430,0.22,1.00,0.432,0.047,0.25
112-2,1.00,0.451,0.20,1.00,0.452,0.047,0.21
112-3,1.00,0.430,0.22,1.00,0.431,0.047,0.24
113-1,1.00,0.450,0.20,1.00,0.451,0.047,0.21
113-2,1.00,0.119,0.67,1.00,0.126,0.027,0.60
113-3,0.82,0.294,0.40,0.82,0.296,0.046,0.46
114-1,1.00,0.584,1.00,1.00,0.589,0.055,0.99
115-1,1.00,0.553,0.40,1.00,0.564,0.052,0.46
116-1,0.89,0.525,0.40,0.89,0.526,0.060,0.53
116-2,0.87,0.469,0.61,0.87,0.469,0.063,0.58
117-1,1.00,0.437,0.04,1.00,0.441,0.036,0.05
117-2,0.05,0.097,1.00,0.05,0.096,0.062,0.87
