ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-S11,0.97,0.580,0.32,0.97,0.581,0.030,0.32
BLAST-S14,0.97,0.583,0.37,0.97,0.583,0.033,0.36
Naive-S11,1.00,0.626,0.08,1.00,0.625,0.011,0.07
Naive-S14,1.00,0.627,0.12,1.00,0.626,0.011,0.11
101-1,0.87,0.496,0.38,0.87,0.492,0.040,0.37
101-2,0.84,0.446,0.18,0.84,0.446,0.037,0.16
101-3,0.87,0.428,0.60,0.87,0.428,0.038,0.56
102-1,0.95,0.551,0.67,0.95,0.531,0.033,0.47
102-2,0.84,0.535,0.72,0.84,0.534,0.036,0.74
102-3,0.18,0.498,0.73,0.19,0.476,0.067,0.75
103-1,0.71,0.435,0.20,0.71,0.434,0.037,0.20
103-2,0.82,0.418,0.20,0.82,0.411,0.042,0.30
103-3,0.76,0.373,0.17,0.76,0.377,0.041,0.17
104-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
105-1,0.95,0.543,0.75,0.95,0.541,0.036,0.79
105-2,0.95,0.487,0.99,0.95,0.489,0.042,0.99
105-3,0.95,0.527,0.99,0.95,0.529,0.043,0.99
106-1,0.82,0.455,0.13,0.82,0.457,0.042,0.18
106-2,0.47,0.538,0.81,0.47,0.533,0.053,0.77
106-3,0.42,0.365,0.13,0.42,0.367,0.068,0.13
107-1,1.00,0.498,0.74,1.00,0.497,0.039,0.74
107-2,1.00,0.532,0.06,1.00,0.525,0.033,0.07
107-3,0.97,0.542,0.05,0.97,0.529,0.034,0.07
108-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
109-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
110-1,0.89,0.578,0.69,0.89,0.576,0.034,0.62
110-2,0.95,0.531,0.22,0.95,0.521,0.031,0.26
110-3,1.00,0.668,1.00,1.00,0.669,0.018,1.00
111-1,0.89,0.578,0.69,0.89,0.576,0.034,0.62
111-2,1.00,0.668,1.00,1.00,0.669,0.018,1.00
111-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
112-1,1.00,0.522,0.34,1.00,0.518,0.032,0.35
112-2,1.00,0.523,0.33,1.00,0.516,0.032,0.33
112-3,1.00,0.524,0.34,1.00,0.520,0.032,0.34
113-1,1.00,0.525,0.33,1.00,0.518,0.032,0.32
113-2,1.00,0.676,1.00,1.00,0.676,0.017,1.00
113-3,0.82,0.590,0.69,0.82,0.589,0.031,0.67
114-1,1.00,0.408,0.97,1.00,0.409,0.042,0.97
115-1,1.00,0.418,0.63,1.00,0.415,0.039,0.57
116-1,0.89,0.400,0.40,0.89,0.399,0.044,0.53
116-2,0.87,0.431,0.49,0.87,0.433,0.046,0.53
117-1,1.00,0.565,0.06,1.00,0.562,0.030,0.06
117-2,0.05,0.029,1.00,0.05,0.029,0.022,1.00
119-1,0.95,0.480,0.76,0.95,0.482,0.036,0.75
120-1,1.00,0.412,1.00,1.00,0.410,0.042,0.99
120-2,1.00,0.618,0.32,1.00,0.618,0.016,0.37
120-3,0.79,0.620,0.45,0.79,0.622,0.018,0.46
121-1,0.79,0.378,0.51,0.79,0.382,0.042,0.56
121-2,0.03,0.502,0.61,0.03,0.502,0.000,0.61
121-3,0.82,0.380,0.02,0.82,0.374,0.043,0.28
122-1,0.63,0.456,0.69,0.63,0.460,0.053,0.75
124-1,1.00,0.608,0.18,1.00,0.607,0.019,0.21
124-2,1.00,0.667,0.16,1.00,0.663,0.008,0.16
124-3,1.00,0.608,0.18,1.00,0.606,0.019,0.21
125-1,1.00,0.408,0.97,1.00,0.409,0.042,0.97
125-2,0.95,0.505,0.30,0.95,0.489,0.038,0.33
125-3,1.00,0.562,0.38,1.00,0.562,0.032,0.38
126-1,0.95,0.536,0.46,0.95,0.538,0.036,0.47
127-1,0.89,0.440,0.69,0.89,0.441,0.036,0.70
127-2,0.89,0.501,0.15,0.89,0.494,0.034,0.15
127-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
128-1,0.71,0.583,0.07,0.71,0.576,0.045,0.08
129-1,0.95,0.578,0.42,0.95,0.574,0.035,0.45
129-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
129-3,0.95,0.578,0.42,0.95,0.574,0.035,0.45
130-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
131-1,0.71,0.379,0.53,0.71,0.382,0.045,0.70
131-2,0.71,0.399,0.88,0.71,0.398,0.046,0.68
131-3,0.87,0.448,0.16,0.87,0.443,0.041,0.19
132-1,1.00,0.496,0.39,1.00,0.497,0.034,0.39
132-2,1.00,0.497,0.39,1.00,0.498,0.034,0.39
65-1,0.95,0.642,0.17,0.95,0.631,0.019,0.17
65-2,0.84,0.635,0.23,0.84,0.627,0.021,0.21
65-3,0.95,0.641,0.18,0.95,0.630,0.020,0.19
68-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
68-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
69-1,1.00,0.488,0.63,1.00,0.486,0.032,0.65
69-2,1.00,0.493,0.54,1.00,0.486,0.031,0.59
70-1,1.00,0.575,0.05,1.00,0.575,0.023,0.06
70-2,1.00,0.615,0.10,1.00,0.614,0.015,0.10
70-3,1.00,0.626,0.08,1.00,0.626,0.011,0.08
72-1,1.00,0.543,0.01,1.00,0.545,0.041,0.01
72-2,0.97,0.721,0.01,0.97,0.723,0.048,0.01
73-1,1.00,0.530,0.99,1.00,0.527,0.031,0.98
73-2,1.00,0.524,0.99,1.00,0.520,0.031,0.98
73-3,0.95,0.541,0.93,0.95,0.543,0.037,0.93
74-1,0.74,0.420,0.29,0.74,0.423,0.046,0.33
74-2,0.89,0.432,0.51,0.89,0.433,0.041,0.58
75-1,1.00,0.444,0.70,1.00,0.446,0.037,0.70
75-2,1.00,0.434,0.70,1.00,0.437,0.037,0.70
79-1,0.89,0.496,0.19,0.90,0.497,0.035,0.18
79-2,0.37,0.444,0.19,0.37,0.446,0.059,0.18
79-3,0.92,0.453,0.33,0.92,0.454,0.036,0.36
80-1,0.82,0.422,0.70,0.82,0.425,0.044,0.61
80-2,0.92,0.408,0.70,0.92,0.412,0.039,0.69
81-1,0.79,0.452,0.37,0.79,0.449,0.042,0.48
81-2,0.79,0.452,0.37,0.79,0.449,0.042,0.48
82-1,0.76,0.540,0.74,0.76,0.534,0.039,0.70
83-1,1.00,0.475,0.28,1.00,0.476,0.033,0.28
83-2,1.00,0.466,0.28,1.00,0.467,0.034,0.29
84-1,0.97,0.571,0.21,0.97,0.566,0.024,0.23
85-1,0.87,0.469,0.23,0.87,0.470,0.044,0.21
85-2,0.87,0.469,0.23,0.87,0.470,0.044,0.21
86-1,1.00,0.658,0.30,1.00,0.661,0.034,0.30
86-2,1.00,0.658,0.30,1.00,0.661,0.034,0.30
86-3,0.97,0.708,0.30,0.97,0.710,0.046,0.30
87-1,0.82,0.419,0.37,0.82,0.412,0.044,0.37
87-2,0.82,0.400,0.23,0.82,0.395,0.043,0.22
87-3,0.79,0.392,0.28,0.79,0.391,0.041,0.33
88-1,0.95,0.489,0.03,0.95,0.490,0.039,0.19
89-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
89-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
89-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
91-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
91-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
91-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
93-1,0.95,0.869,1.00,0.95,0.869,0.033,1.00
93-2,1.00,0.925,1.00,1.00,0.925,0.014,1.00
94-1,1.00,0.426,1.00,1.00,0.428,0.037,0.91
95-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
95-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
96-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
96-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
96-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
97-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
97-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
97-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
98-1,1.00,0.523,0.50,1.00,0.521,0.032,0.50
99-1,0.82,0.544,0.14,0.82,0.539,0.039,0.12
