ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-S11,0.97,8.688,0.50,0.97,8.624,0.753,0.50
BLAST-S14,0.97,8.607,0.50,0.97,8.622,0.739,0.50
Naive-S11,1.00,8.457,0.30,1.00,8.441,0.622,0.27
Naive-S14,1.00,8.520,0.43,1.00,8.493,0.614,0.38
101-1,0.87,7.133,0.44,0.87,6.973,0.819,0.44
101-2,0.84,6.376,0.22,0.84,6.223,0.649,0.28
101-3,0.87,5.424,0.75,0.87,5.388,0.570,0.77
102-1,0.95,7.641,0.77,0.95,7.487,0.783,0.76
102-2,0.84,8.153,0.93,0.84,8.046,0.728,0.91
102-3,0.18,7.860,0.89,0.19,7.638,1.341,0.86
103-1,0.71,6.162,0.26,0.71,5.987,0.643,0.38
103-2,0.82,4.988,0.72,0.82,4.893,0.694,0.67
103-3,0.76,5.094,0.17,0.76,5.103,0.668,0.19
104-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
105-1,0.95,8.848,0.93,0.95,8.874,0.697,0.94
105-2,0.95,10.868,1.00,0.95,10.925,1.732,1.00
105-3,0.95,15.510,1.00,0.95,15.540,2.290,1.00
106-1,0.82,7.152,0.84,0.82,6.874,0.699,0.66
106-2,0.47,7.653,0.84,0.47,7.303,0.950,0.91
106-3,0.42,5.018,0.33,0.42,4.562,0.915,0.26
107-1,1.00,7.299,1.00,1.00,7.432,1.130,0.98
107-2,1.00,7.168,0.13,1.00,7.092,0.697,0.15
107-3,0.97,7.890,0.14,0.97,7.688,0.717,0.14
108-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
109-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
110-1,0.89,8.978,0.98,0.89,8.935,0.901,0.96
110-2,0.95,7.210,0.68,0.95,7.110,0.730,0.67
110-3,1.00,13.711,1.00,1.00,13.725,0.785,1.00
111-1,0.89,8.978,0.98,0.89,8.935,0.901,0.96
111-2,1.00,13.711,1.00,1.00,13.725,0.785,1.00
111-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
112-1,1.00,7.621,0.55,1.00,7.485,0.749,0.59
112-2,1.00,7.734,0.46,1.00,7.509,0.746,0.58
112-3,1.00,7.747,0.55,1.00,7.635,0.727,0.57
113-1,1.00,7.788,0.46,1.00,7.638,0.734,0.55
113-2,1.00,13.838,1.00,1.00,13.851,0.768,1.00
113-3,0.82,8.979,0.98,0.82,8.945,0.931,0.96
114-1,1.00,5.315,1.00,1.00,5.325,0.608,1.00
115-1,1.00,5.746,0.86,1.00,5.702,0.573,0.80
116-1,0.89,5.227,0.86,0.89,5.133,0.556,0.77
116-2,0.87,5.330,0.61,0.87,5.316,0.623,0.63
117-1,1.00,7.663,0.10,1.00,7.635,0.689,0.10
117-2,0.05,0.245,1.00,0.05,0.244,0.186,1.00
119-1,0.95,7.558,0.92,0.95,7.313,0.688,0.87
120-1,1.00,5.222,1.00,1.00,5.281,0.612,1.00
120-2,1.00,8.511,0.83,1.00,8.381,0.631,0.79
120-3,0.79,9.271,0.73,0.79,9.182,0.664,0.79
121-1,0.79,5.301,0.60,0.79,5.356,0.710,0.60
121-2,0.03,8.208,0.61,0.03,8.208,0.000,0.61
121-3,0.82,5.016,0.81,0.82,4.948,0.599,0.74
122-1,0.63,5.773,0.99,0.63,5.850,0.864,0.94
124-1,1.00,8.019,0.32,1.00,8.019,0.575,0.34
124-2,1.00,8.901,0.42,1.00,8.906,0.639,0.40
124-3,1.00,7.918,0.32,1.00,7.938,0.594,0.34
125-1,1.00,5.315,1.00,1.00,5.325,0.608,1.00
