ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
BLAST-S11,0.97,0.323,0.32,0.97,0.324,0.052,0.32
BLAST-S14,0.97,0.306,0.32,0.97,0.314,0.053,0.33
Naive-S11,1.00,0.264,0.05,1.00,0.263,0.024,0.05
Naive-S14,1.00,0.216,0.09,1.00,0.220,0.021,0.09
101-1,0.87,0.488,0.37,0.87,0.492,0.053,0.30
101-2,0.84,0.526,0.18,0.84,0.530,0.054,0.16
101-3,0.87,0.546,0.68,0.87,0.550,0.056,0.58
102-1,0.95,0.467,0.19,0.95,0.477,0.048,0.33
102-2,0.84,0.437,0.72,0.84,0.445,0.051,0.53
102-3,0.18,0.550,0.40,0.19,0.551,0.096,0.59
103-1,0.71,0.530,0.20,0.71,0.538,0.055,0.22
103-2,0.82,0.586,0.72,0.82,0.595,0.061,0.57
103-3,0.76,0.623,0.17,0.76,0.621,0.059,0.17
104-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
105-1,0.95,0.439,0.45,0.95,0.454,0.051,0.61
105-2,0.95,0.469,0.99,0.95,0.473,0.055,0.98
105-3,0.95,0.477,0.99,0.95,0.475,0.054,0.99
106-1,0.82,0.499,0.13,0.82,0.499,0.063,0.17
106-2,0.47,0.401,0.84,0.47,0.399,0.093,0.85
106-3,0.42,0.614,0.09,0.42,0.621,0.084,0.14
107-1,1.00,0.488,0.75,1.00,0.493,0.055,0.78
107-2,1.00,0.427,0.04,1.00,0.430,0.049,0.05
107-3,0.97,0.411,0.04,0.97,0.421,0.051,0.06
108-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
109-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
110-1,0.89,0.334,0.40,0.89,0.340,0.053,0.52
110-2,0.95,0.434,0.19,0.95,0.441,0.050,0.18
110-3,1.00,0.129,0.67,1.00,0.137,0.030,0.65
111-1,0.89,0.334,0.40,0.89,0.340,0.053,0.52
111-2,1.00,0.129,0.67,1.00,0.137,0.030,0.65
111-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
112-1,1.00,0.430,0.22,1.00,0.432,0.047,0.25
112-2,1.00,0.451,0.20,1.00,0.452,0.047,0.21
112-3,1.00,0.430,0.22,1.00,0.431,0.047,0.24
113-1,1.00,0.450,0.20,1.00,0.451,0.047,0.21
113-2,1.00,0.119,0.67,1.00,0.126,0.027,0.60
113-3,0.82,0.316,0.40,0.82,0.323,0.050,0.51
114-1,1.00,0.584,1.00,1.00,0.589,0.055,0.99
115-1,1.00,0.553,0.40,1.00,0.564,0.052,0.46
116-1,0.89,0.556,0.40,0.89,0.559,0.061,0.54
116-2,0.87,0.510,0.61,0.87,0.511,0.065,0.59
117-1,1.00,0.437,0.04,1.00,0.441,0.036,0.05
117-2,0.05,0.985,1.00,0.05,0.985,0.011,1.00
119-1,0.95,0.490,0.76,0.95,0.489,0.054,0.75
120-1,1.00,0.590,1.00,1.00,0.590,0.055,1.00
120-2,1.00,0.261,0.32,1.00,0.262,0.034,0.31
120-3,0.79,0.242,0.46,0.79,0.241,0.037,0.48
121-1,0.79,0.612,0.51,0.79,0.611,0.059,0.54
121-2,0.03,0.475,0.61,0.03,0.475,0.000,0.61
121-3,0.82,0.607,0.81,0.82,0.615,0.059,0.55
122-1,0.63,0.502,0.69,0.63,0.502,0.072,0.77
124-1,1.00,0.243,0.18,1.00,0.253,0.036,0.22
124-2,1.00,0.156,0.11,1.00,0.163,0.023,0.10
124-3,1.00,0.243,0.18,1.00,0.253,0.037,0.23
125-1,1.00,0.584,1.00,1.00,0.589,0.055,0.99
125-2,0.95,0.505,0.45,0.95,0.518,0.055,0.39
125-3,1.00,0.423,0.38,1.00,0.426,0.050,0.39
126-1,0.95,0.403,0.55,0.95,0.407,0.058,0.56
127-1,0.89,0.554,0.69,0.89,0.559,0.051,0.69
127-2,0.89,0.457,0.09,0.89,0.470,0.046,0.12
127-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
128-1,0.71,0.333,0.01,0.71,0.334,0.066,0.03
129-1,0.95,0.307,0.42,0.95,0.317,0.052,0.44
129-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
129-3,0.95,0.307,0.42,0.95,0.317,0.052,0.44
130-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
131-1,0.71,0.598,0.53,0.71,0.597,0.064,0.70
131-2,0.71,0.569,0.88,0.71,0.571,0.067,0.81
131-3,0.87,0.524,0.09,0.87,0.537,0.058,0.19
132-1,1.00,0.439,0.39,1.00,0.448,0.050,0.37
132-2,1.00,0.438,0.39,1.00,0.447,0.050,0.37
65-1,0.95,0.310,0.10,0.95,0.317,0.046,0.10
65-2,0.84,0.319,0.10,0.84,0.329,0.048,0.10
65-3,0.95,0.339,0.06,0.95,0.342,0.051,0.08
68-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
68-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
69-1,1.00,0.473,0.63,1.00,0.480,0.048,0.58
69-2,1.00,0.472,0.33,1.00,0.484,0.048,0.47
