ID-model,GO:0003674,GO:0000982,GO:0001077,GO:0022836,GO:0022839,GO:0005216,GO:0015267,GO:0022803,GO:0022838,GO:0004888,GO:0016740,GO:0001071,GO:0003700,GO:0038023,GO:0015075,GO:0000976,GO:0004872,GO:0043565,GO:0016787,GO:0000981,GO:0000977,GO:0001012,GO:0004871,GO:0060089,GO:0001228,GO:0000987,GO:0001159,GO:0022891,GO:0003677,GO:0022857,GO:0003824,GO:0003676,GO:0003823,GO:0001067,GO:0022892,GO:1901363,GO:0043167,GO:0000975,GO:0044212,GO:0097159,GO:0000978,GO:0005215,GO:0005488,GO:0008092,GO:0042803,GO:0031267,GO:0017016,GO:0051020,GO:0042802,GO:0046983,GO:0032403,GO:0005102,GO:0005515,GO:0003682,GO:0019899,GO:0043566,GO:0019901,GO:0019900,GO:0031490
BLAST-S11,NaN,0.50,0.50,0.94,0.94,0.93,0.93,0.93,0.93,0.92,0.89,0.92,0.92,0.91,0.91,0.65,0.90,0.88,0.85,0.77,0.63,0.63,0.88,0.88,0.50,0.65,0.65,0.87,0.87,0.87,0.83,0.87,0.82,0.74,0.84,0.85,0.84,0.74,0.74,0.83,0.65,0.79,0.77,0.75,0.58,0.64,0.61,0.63,0.71,0.50,0.56,0.57,0.69,0.53,0.49,0.49,0.53,0.53,0.46
BLAST-S14,NaN,0.94,0.94,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.92,0.92,0.92,0.92,0.92,0.91,0.90,0.90,0.89,0.89,0.89,0.89,0.89,0.89,0.88,0.88,0.88,0.88,0.88,0.88,0.87,0.87,0.86,0.86,0.86,0.86,0.84,0.84,0.84,0.84,0.82,0.81,0.73,0.72,0.71,0.67,0.67,0.67,0.65,0.58,0.57,0.56,0.55,0.51,0.50,0.48,0.47,0.46,0.45
Naive-S11,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
Naive-S14,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
101-1,NaN,0.50,0.50,0.95,0.95,0.96,0.96,0.96,0.96,0.92,0.93,0.86,0.86,0.91,0.95,0.50,0.95,0.78,0.91,0.55,0.50,0.50,0.94,0.94,0.50,0.50,0.50,0.92,0.88,0.92,0.85,0.85,0.68,0.56,0.92,0.78,0.70,0.56,0.56,0.77,0.50,0.89,0.36,0.66,0.48,0.54,0.54,0.54,0.54,0.47,0.48,0.51,0.51,0.54,0.52,0.54,0.49,0.49,0.50
101-2,NaN,0.50,0.50,0.95,0.95,0.96,0.96,0.96,0.96,0.94,0.92,0.69,0.69,0.94,0.96,0.50,0.93,0.74,0.82,0.53,0.50,0.50,0.98,0.98,0.50,0.50,0.50,0.93,0.78,0.93,0.85,0.84,0.49,0.50,0.93,0.80,0.70,0.50,0.50,0.79,0.50,0.90,0.58,0.58,0.50,0.54,0.54,0.54,0.48,0.47,0.49,0.54,0.55,0.54,0.52,0.54,0.50,0.50,0.50
101-3,NaN,0.50,0.50,0.95,0.95,0.96,0.96,0.96,0.96,0.94,0.97,0.87,0.87,0.93,0.96,0.50,0.97,0.78,0.94,0.56,0.50,0.50,0.98,0.98,0.50,0.50,0.50,0.92,0.91,0.92,0.89,0.90,0.68,0.56,0.92,0.85,0.70,0.56,0.56,0.84,0.50,0.89,0.68,0.66,0.48,0.54,0.54,0.54,0.56,0.46,0.48,0.51,0.71,0.54,0.52,0.54,0.49,0.49,0.50
102-1,NaN,0.84,0.82,0.99,0.95,0.99,0.99,0.99,0.99,0.98,0.95,0.92,0.92,0.98,0.99,0.88,0.98,0.87,0.87,0.86,0.81,0.81,0.98,0.98,0.78,0.75,0.74,0.94,0.86,0.94,0.82,0.88,0.86,0.86,0.93,0.81,0.78,0.86,0.86,0.79,0.68,0.93,0.79,0.76,0.54,0.70,0.70,0.69,0.59,0.46,0.60,0.62,0.66,0.79,0.48,0.78,0.49,0.48,0.72
102-2,NaN,0.84,0.83,0.95,0.95,0.95,0.95,0.95,0.95,0.98,0.95,0.91,0.91,0.98,0.95,0.89,0.97,0.87,0.88,0.86,0.81,0.81,0.97,0.97,0.78,0.75,0.74,0.91,0.88,0.91,0.83,0.89,0.86,0.86,0.91,0.83,0.76,0.86,0.86,0.81,0.68,0.90,0.72,0.76,0.54,0.66,0.66,0.66,0.60,0.47,0.60,0.59,0.63,0.59,0.47,0.78,0.50,0.49,0.52
102-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.63,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.54,0.49,0.50,0.50,0.50,0.49,0.50,0.50,0.50,0.49,0.50,0.49,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
