ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
BLAST-S11,1.00,0.479,0.53,1.00,0.486,0.015,0.47
BLAST-S14,0.98,0.412,0.43,0.98,0.414,0.018,0.44
Naive-S11,1.00,0.424,0.62,1.00,0.424,0.017,0.62
Naive-S14,1.00,0.375,0.17,1.00,0.375,0.010,0.17
101-1,0.94,0.469,0.37,0.94,0.469,0.015,0.37
101-2,0.93,0.511,0.02,0.93,0.512,0.015,0.06
101-3,0.94,0.477,0.05,0.94,0.481,0.015,0.16
102-1,1.00,0.532,0.60,1.00,0.534,0.016,0.58
102-2,0.97,0.518,0.56,0.97,0.521,0.015,0.52
102-3,0.02,0.031,0.03,0.02,0.030,0.013,0.15
103-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
103-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
103-3,0.51,0.329,0.17,0.51,0.328,0.021,0.17
104-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
104-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
104-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
105-1,0.98,0.389,0.90,0.98,0.389,0.019,0.89
105-2,0.96,0.384,0.93,0.96,0.388,0.018,0.95
105-3,0.97,0.391,0.98,0.97,0.393,0.019,0.99
106-1,0.73,0.351,0.07,0.73,0.351,0.018,0.07
106-2,0.38,0.131,0.61,0.38,0.131,0.014,0.62
106-3,0.30,0.217,0.07,0.30,0.216,0.021,0.07
107-1,0.99,0.382,0.71,0.99,0.387,0.017,0.74
107-2,0.99,0.365,0.03,0.99,0.365,0.019,0.03
107-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
108-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
109-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
110-1,1.00,0.428,0.22,1.00,0.428,0.017,0.22
110-2,0.94,0.447,0.28,0.94,0.447,0.014,0.30
110-3,1.00,0.301,0.26,1.00,0.302,0.016,0.25
111-1,0.93,0.420,0.01,0.93,0.419,0.018,0.02
111-2,0.99,0.316,0.56,0.99,0.319,0.014,0.49
111-3,0.21,0.120,0.01,0.21,0.120,0.017,0.01
112-1,1.00,0.467,0.49,1.00,0.469,0.015,0.47
112-2,1.00,0.468,0.48,1.00,0.469,0.015,0.47
