ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-S11,1.00,9.543,0.68,1.00,9.487,0.436,0.71
BLAST-S14,0.98,9.171,0.68,0.98,9.152,0.443,0.68
Naive-S11,1.00,9.977,0.30,1.00,9.954,0.432,0.23
Naive-S14,1.00,10.009,0.17,1.00,10.001,0.414,0.22
101-1,0.94,9.481,0.45,0.94,9.479,0.448,0.45
101-2,0.93,8.865,0.23,0.93,8.833,0.462,0.27
101-3,0.94,8.851,0.59,0.94,8.852,0.419,0.61
102-1,1.00,8.966,0.77,1.00,8.967,0.468,0.76
102-2,0.97,9.345,0.83,0.97,9.333,0.471,0.83
102-3,0.02,10.418,0.25,0.02,10.419,0.457,0.23
103-1,0.00,10.518,1.00,0.00,10.519,0.454,1.00
103-2,0.00,10.518,1.00,0.00,10.519,0.454,1.00
103-3,0.51,8.950,0.17,0.51,8.955,0.424,0.18
104-1,0.00,10.518,1.00,0.00,10.519,0.454,1.00
104-2,0.00,10.518,1.00,0.00,10.519,0.454,1.00
104-3,0.00,10.518,1.00,0.00,10.519,0.454,1.00
105-1,0.98,10.302,0.96,0.98,10.272,0.449,0.95
105-2,0.96,14.603,1.00,0.96,14.636,1.265,1.00
105-3,0.97,18.394,1.00,0.97,18.424,1.534,1.00
106-1,0.73,9.726,0.99,0.73,9.661,0.435,0.68
106-2,0.38,10.227,0.80,0.38,10.208,0.441,0.85
106-3,0.30,9.733,0.17,0.30,9.722,0.439,0.16
107-1,0.99,16.194,1.00,0.99,16.215,1.030,1.00
107-2,0.99,9.386,0.04,0.99,9.334,0.432,0.05
107-3,0.00,10.518,1.00,0.00,10.519,0.454,1.00
108-1,0.00,10.518,1.00,0.00,10.519,0.454,1.00
109-1,0.00,10.518,1.00,0.00,10.519,0.454,1.00
110-1,1.00,10.068,0.22,1.00,10.074,0.453,0.22
110-2,0.94,8.995,0.73,0.94,8.981,0.453,0.77
110-3,1.00,13.151,1.00,1.00,13.163,0.452,1.00
111-1,0.93,9.717,0.09,0.93,9.721,0.441,0.11
111-2,0.99,11.854,1.00,0.99,11.864,0.449,1.00
111-3,0.21,10.006,0.03,0.21,10.006,0.447,0.07
112-1,1.00,9.057,0.61,1.00,9.025,0.448,0.64
112-2,1.00,9.070,0.64,1.00,9.027,0.448,0.66
112-3,0.99,9.058,0.57,0.99,9.052,0.442,0.58
113-1,0.99,9.088,0.57,0.99,9.065,0.440,0.58
113-2,0.87,13.028,1.00,0.87,13.037,0.417,1.00
113-3,0.21,10.025,0.03,0.22,10.019,0.445,0.12
114-1,1.00,8.946,1.00,1.00,8.958,0.452,1.00
115-1,1.00,9.056,0.59,1.00,9.010,0.422,0.61
116-1,0.68,9.050,0.33,0.68,9.026,0.429,0.46
116-2,0.59,9.097,0.25,0.59,9.087,0.441,0.38
117-1,1.00,8.449,0.12,1.00,8.456,0.448,0.12
117-2,0.17,9.926,1.00,0.17,9.933,0.457,1.00
119-1,0.96,8.816,0.97,0.96,8.791,0.437,0.97
120-1,1.00,9.324,1.00,1.00,9.342,0.502,1.00
120-2,1.00,9.088,0.79,1.00,9.079,0.426,0.80
120-3,0.71,9.412,0.57,0.71,9.406,0.438,0.59
121-1,0.53,8.914,0.60,0.53,8.923,0.427,0.60
121-2,0.03,10.371,0.72,0.03,10.372,0.461,0.78
121-3,0.69,8.880,0.04,0.69,8.866,0.424,0.04
122-1,0.86,8.787,0.86,0.86,8.767,0.420,0.89
124-1,1.00,9.603,0.39,1.00,9.595,0.460,0.40
124-2,1.00,9.848,0.34,1.00,9.849,0.452,0.34
124-3,1.00,9.653,0.39,1.00,9.642,0.460,0.40
125-1,0.97,8.946,1.00,0.97,8.958,0.451,1.00
125-2,0.90,9.638,0.86,0.90,9.598,0.442,0.85
125-3,1.00,9.998,0.94,1.00,9.925,0.478,0.88
126-1,0.47,9.456,0.25,0.47,9.456,0.451,0.28
127-1,0.96,8.445,0.63,0.96,8.418,0.479,0.62
127-2,0.93,8.252,0.19,0.93,8.209,0.469,0.20
127-3,0.00,10.518,1.00,0.00,10.519,0.454,1.00
128-1,0.50,10.859,0.95,0.50,10.862,0.526,0.91
129-1,0.99,8.408,0.52,0.99,8.397,0.449,0.52
129-2,0.74,8.822,0.51,0.74,8.810,0.440,0.51
129-3,0.99,8.388,0.52,0.99,8.370,0.449,0.52
130-1,0.00,10.518,1.00,0.00,10.519,0.454,1.00
130-2,0.00,10.518,1.00,0.00,10.519,0.454,1.00
130-3,0.00,10.518,1.00,0.00,10.519,0.454,1.00
