ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
BLAST-S11,1.00,0.479,0.53,1.00,0.486,0.015,0.47
BLAST-S14,0.98,0.416,0.43,0.98,0.418,0.018,0.44
Naive-S11,1.00,0.424,0.62,1.00,0.424,0.017,0.62
Naive-S14,1.00,0.375,0.17,1.00,0.375,0.010,0.17
101-1,0.94,0.481,0.37,0.94,0.481,0.016,0.37
101-2,0.93,0.531,0.02,0.93,0.533,0.015,0.07
101-3,0.94,0.490,0.21,0.94,0.496,0.016,0.19
102-1,1.00,0.533,0.60,1.00,0.535,0.016,0.58
102-2,0.97,0.525,0.56,0.97,0.528,0.015,0.53
102-3,0.02,0.564,0.80,0.02,0.618,0.101,0.65
103-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-3,0.51,0.489,0.17,0.51,0.488,0.025,0.17
104-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
105-1,0.98,0.392,0.90,0.98,0.392,0.019,0.90
105-2,0.96,0.391,0.93,0.96,0.395,0.018,0.95
105-3,0.97,0.395,0.98,0.97,0.397,0.019,0.99
106-1,0.73,0.423,0.07,0.73,0.424,0.020,0.07
106-2,0.38,0.230,0.61,0.38,0.231,0.022,0.65
106-3,0.30,0.475,0.07,0.30,0.475,0.030,0.09
107-1,0.99,0.383,0.71,0.99,0.388,0.017,0.74
107-2,0.99,0.367,0.03,0.99,0.367,0.019,0.03
107-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
108-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
109-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
110-1,1.00,0.428,0.22,1.00,0.428,0.017,0.22
110-2,0.94,0.461,0.28,0.94,0.461,0.014,0.31
110-3,1.00,0.301,0.26,1.00,0.302,0.016,0.25
111-1,0.93,0.443,0.01,0.93,0.443,0.018,0.02
111-2,0.99,0.317,0.56,0.99,0.320,0.014,0.50
111-3,0.21,0.411,0.01,0.21,0.410,0.034,0.02
112-1,1.00,0.468,0.49,1.00,0.470,0.015,0.47
112-2,1.00,0.469,0.48,1.00,0.470,0.015,0.47
112-3,0.99,0.428,0.39,0.99,0.429,0.015,0.39
113-1,0.99,0.428,0.34,0.99,0.429,0.014,0.36
113-2,0.87,0.203,0.44,0.87,0.208,0.013,0.40
113-3,0.21,0.421,0.01,0.22,0.419,0.034,0.02
114-1,1.00,0.519,0.70,1.00,0.519,0.016,0.71
115-1,1.00,0.468,0.32,1.00,0.471,0.017,0.31
116-1,0.68,0.432,0.33,0.68,0.432,0.022,0.34
116-2,0.59,0.435,0.34,0.59,0.436,0.024,0.34
117-1,1.00,0.505,0.11,1.00,0.509,0.014,0.11
117-2,0.17,0.530,1.00,0.17,0.529,0.046,1.00
119-1,0.96,0.495,0.77,0.96,0.500,0.016,0.76
120-1,1.00,0.520,0.92,1.00,0.523,0.016,0.91
120-2,1.00,0.417,0.39,1.00,0.419,0.014,0.43
120-3,0.71,0.301,0.44,0.71,0.301,0.018,0.45
121-1,0.53,0.486,0.60,0.53,0.485,0.024,0.60
121-2,0.03,0.698,0.72,0.03,0.702,0.137,0.79
121-3,0.69,0.550,0.01,0.69,0.551,0.018,0.01
122-1,0.86,0.541,0.75,0.86,0.543,0.016,0.81
124-1,1.00,0.398,0.34,1.00,0.398,0.017,0.34
124-2,1.00,0.335,0.34,1.00,0.335,0.018,0.34
124-3,1.00,0.370,0.39,1.00,0.371,0.018,0.38
125-1,0.97,0.526,0.70,0.97,0.526,0.016,0.71
125-2,0.90,0.435,0.22,0.90,0.437,0.018,0.24
125-3,1.00,0.517,0.62,1.00,0.519,0.016,0.61
126-1,0.47,0.476,0.25,0.47,0.476,0.027,0.27
127-1,0.96,0.476,0.44,0.96,0.478,0.018,0.45
127-2,0.93,0.515,0.11,0.93,0.517,0.018,0.12
127-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
128-1,0.50,0.385,0.06,0.50,0.389,0.026,0.10
129-1,0.99,0.509,0.51,0.99,0.510,0.017,0.50
