ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-S11,1.00,0.596,0.43,1.00,0.593,0.010,0.42
BLAST-S14,0.98,0.588,0.43,0.98,0.587,0.011,0.44
Naive-S11,1.00,0.649,0.07,1.00,0.649,0.004,0.07
Naive-S14,1.00,0.649,0.12,1.00,0.649,0.004,0.12
101-1,0.94,0.587,0.37,0.94,0.585,0.010,0.38
101-2,0.93,0.573,0.01,0.93,0.573,0.012,0.04
101-3,0.94,0.550,0.13,0.94,0.550,0.011,0.14
102-1,1.00,0.554,0.49,1.00,0.553,0.012,0.48
102-2,0.97,0.556,0.46,0.97,0.555,0.012,0.50
102-3,0.02,0.473,0.80,0.02,0.469,0.105,0.77
103-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-3,0.51,0.511,0.17,0.51,0.512,0.017,0.17
104-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
105-1,0.98,0.575,0.91,0.98,0.575,0.011,0.91
105-2,0.96,0.574,0.96,0.96,0.572,0.011,0.96
105-3,0.97,0.568,1.00,0.97,0.569,0.012,1.00
106-1,0.73,0.579,0.07,0.73,0.579,0.012,0.07
106-2,0.38,0.643,0.61,0.38,0.644,0.013,0.61
106-3,0.30,0.537,0.07,0.30,0.538,0.022,0.07
107-1,0.99,0.592,0.77,0.99,0.591,0.010,0.77
107-2,0.99,0.571,0.02,0.99,0.571,0.011,0.02
107-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
108-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
109-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
110-1,1.00,0.926,0.22,1.00,0.926,0.005,0.22
110-2,0.94,0.574,0.45,0.94,0.572,0.010,0.42
110-3,1.00,0.655,0.96,1.00,0.655,0.007,0.96
111-1,0.93,0.832,0.01,0.93,0.832,0.014,0.01
111-2,0.99,0.652,0.60,0.99,0.651,0.007,0.60
111-3,0.21,0.593,0.01,0.21,0.595,0.024,0.02
112-1,1.00,0.565,0.40,1.00,0.564,0.010,0.40
112-2,1.00,0.566,0.36,1.00,0.565,0.010,0.37
112-3,0.99,0.577,0.39,0.99,0.576,0.010,0.38
113-1,0.99,0.575,0.34,0.99,0.575,0.009,0.35
113-2,0.87,0.671,0.99,0.87,0.670,0.007,0.98
113-3,0.21,0.592,0.01,0.22,0.594,0.024,0.03
114-1,1.00,0.532,0.69,1.00,0.532,0.012,0.67
115-1,1.00,0.542,0.32,1.00,0.542,0.012,0.31
116-1,0.68,0.551,0.23,0.68,0.551,0.014,0.24
116-2,0.59,0.574,0.24,0.59,0.574,0.016,0.25
117-1,1.00,0.584,0.10,1.00,0.582,0.011,0.10
117-2,0.17,0.524,1.00,0.17,0.526,0.034,1.00
119-1,0.96,0.542,0.69,0.96,0.542,0.012,0.71
120-1,1.00,0.533,0.93,1.00,0.533,0.012,0.93
120-2,1.00,0.575,0.53,1.00,0.575,0.009,0.53
120-3,0.71,0.628,0.44,0.71,0.628,0.011,0.44
121-1,0.53,0.502,0.60,0.53,0.503,0.017,0.60
121-2,0.03,0.273,0.85,0.03,0.280,0.124,0.80
121-3,0.69,0.533,0.01,0.69,0.534,0.014,0.01
122-1,0.86,0.560,0.71,0.86,0.561,0.014,0.73
124-1,1.00,0.627,0.30,1.00,0.627,0.007,0.30
124-2,1.00,0.647,0.14,1.00,0.647,0.005,0.15
124-3,1.00,0.640,0.30,1.00,0.639,0.006,0.28
125-1,0.97,0.527,0.69,0.97,0.527,0.012,0.70
125-2,0.90,0.558,0.30,0.90,0.557,0.012,0.30
125-3,1.00,0.568,0.61,1.00,0.567,0.011,0.61
126-1,0.47,0.581,0.25,0.47,0.582,0.020,0.25
127-1,0.96,0.531,0.43,0.96,0.531,0.013,0.43
127-2,0.93,0.511,0.13,0.93,0.510,0.014,0.12
127-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
128-1,0.50,0.601,0.30,0.50,0.601,0.017,0.31
129-1,0.99,0.546,0.42,0.99,0.545,0.012,0.42
129-2,0.74,0.549,0.43,0.74,0.548,0.013,0.43
129-3,0.99,0.547,0.42,0.99,0.547,0.012,0.42
130-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
