ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
BLAST-S11,1.00,0.365,0.43,1.00,0.371,0.017,0.43
BLAST-S14,0.98,0.331,0.44,0.98,0.336,0.020,0.46
Naive-S11,1.00,0.167,0.10,1.00,0.167,0.009,0.10
Naive-S14,1.00,0.165,0.13,1.00,0.165,0.009,0.14
101-1,0.94,0.371,0.37,0.94,0.371,0.018,0.32
101-2,0.93,0.383,0.05,0.93,0.383,0.019,0.07
101-3,0.94,0.374,0.08,0.94,0.377,0.019,0.10
102-1,1.00,0.387,0.56,1.00,0.392,0.019,0.51
102-2,0.97,0.388,0.46,0.97,0.390,0.018,0.42
102-3,0.02,0.432,0.80,0.02,0.474,0.143,0.66
103-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-3,0.51,0.415,0.17,0.51,0.415,0.029,0.17
104-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
105-1,0.98,0.339,0.90,0.98,0.339,0.021,0.89
105-2,0.96,0.339,0.94,0.96,0.344,0.020,0.97
105-3,0.97,0.346,1.00,0.97,0.346,0.021,1.00
106-1,0.73,0.328,0.07,0.73,0.328,0.022,0.07
106-2,0.38,0.165,0.80,0.38,0.165,0.026,0.80
106-3,0.30,0.368,0.07,0.30,0.370,0.037,0.10
107-1,0.99,0.320,0.78,0.99,0.324,0.020,0.77
107-2,0.99,0.325,0.03,0.99,0.324,0.022,0.03
107-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
108-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
109-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
110-1,1.00,0.119,0.22,1.00,0.119,0.010,0.22
110-2,0.94,0.354,0.28,0.94,0.355,0.018,0.33
110-3,1.00,0.225,0.09,1.00,0.227,0.018,0.13
111-1,0.93,0.200,0.01,0.93,0.200,0.018,0.01
111-2,0.99,0.222,0.08,0.99,0.225,0.017,0.17
111-3,0.21,0.364,0.01,0.21,0.362,0.041,0.02
112-1,1.00,0.350,0.46,1.00,0.352,0.019,0.47
112-2,1.00,0.352,0.48,1.00,0.353,0.019,0.47
112-3,0.99,0.330,0.40,0.99,0.331,0.019,0.42
113-1,0.99,0.328,0.48,0.99,0.331,0.019,0.42
113-2,0.87,0.120,0.21,0.87,0.123,0.012,0.29
113-3,0.21,0.373,0.01,0.22,0.370,0.041,0.02
114-1,1.00,0.399,0.70,1.00,0.402,0.020,0.80
115-1,1.00,0.362,0.31,1.00,0.364,0.020,0.31
116-1,0.68,0.365,0.33,0.68,0.365,0.025,0.34
116-2,0.59,0.364,0.34,0.59,0.366,0.026,0.35
117-1,1.00,0.414,0.10,1.00,0.416,0.017,0.10
117-2,0.17,0.413,1.00,0.17,0.411,0.052,1.00
119-1,0.96,0.399,0.86,0.96,0.403,0.020,0.78
120-1,1.00,0.418,0.93,1.00,0.419,0.020,0.93
120-2,1.00,0.313,0.61,1.00,0.316,0.017,0.56
120-3,0.71,0.251,0.44,0.71,0.252,0.020,0.48
121-1,0.53,0.431,0.60,0.53,0.431,0.028,0.60
121-2,0.03,0.716,0.85,0.03,0.716,0.158,0.87
121-3,0.69,0.429,0.02,0.69,0.429,0.023,0.02
122-1,0.86,0.395,0.75,0.86,0.396,0.021,0.79
124-1,1.00,0.255,0.34,1.00,0.255,0.019,0.34
124-2,1.00,0.155,0.06,1.00,0.159,0.009,0.11
124-3,1.00,0.218,0.34,1.00,0.218,0.018,0.34
125-1,0.97,0.405,0.70,0.97,0.407,0.020,0.80
125-2,0.90,0.372,0.26,0.90,0.374,0.021,0.25
125-3,1.00,0.408,0.61,1.00,0.410,0.018,0.59
126-1,0.47,0.356,0.25,0.47,0.356,0.031,0.26
127-1,0.96,0.395,0.48,0.96,0.399,0.022,0.48
127-2,0.93,0.428,0.14,0.93,0.430,0.022,0.14
127-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
128-1,0.50,0.283,0.06,0.50,0.287,0.029,0.11
129-1,0.99,0.383,0.50,0.99,0.385,0.021,0.49
129-2,0.74,0.383,0.48,0.74,0.387,0.023,0.48
129-3,0.99,0.384,0.50,0.99,0.385,0.021,0.49
130-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
131-1,0.74,0.401,0.12,0.74,0.402,0.025,0.12
131-2,0.74,0.403,0.08,0.74,0.404,0.025,0.09
131-3,0.97,0.318,0.04,0.97,0.319,0.020,0.07
132-1,1.00,0.347,0.56,1.00,0.349,0.019,0.53
132-2,0.99,0.320,0.50,0.99,0.321,0.019,0.50
65-1,0.97,0.244,0.18,0.97,0.245,0.015,0.17
65-2,0.95,0.259,0.16,0.95,0.260,0.016,0.16
65-3,0.97,0.257,0.17,0.97,0.257,0.015,0.17
68-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
68-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
69-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
69-2,1.00,0.367,0.37,1.00,0.370,0.019,0.36
70-1,1.00,0.388,0.11,1.00,0.388,0.018,0.11
70-2,1.00,0.210,0.10,1.00,0.210,0.013,0.10
70-3,1.00,0.215,0.11,1.00,0.217,0.014,0.11
72-1,1.00,0.401,0.01,1.00,0.400,0.020,0.01
72-2,0.95,0.273,0.01,0.95,0.272,0.020,0.01
73-1,1.00,0.252,0.99,1.00,0.260,0.016,0.89
73-2,1.00,0.256,0.67,1.00,0.264,0.016,0.83
73-3,0.99,0.258,0.99,0.99,0.258,0.016,0.97
74-1,0.51,0.370,0.15,0.51,0.374,0.029,0.14
74-2,0.97,0.344,0.12,0.97,0.347,0.019,0.19
75-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
75-2,1.00,0.392,0.70,1.00,0.393,0.019,0.66
79-1,0.87,0.402,0.03,0.87,0.407,0.020,0.12
79-2,0.65,0.414,0.07,0.65,0.419,0.023,0.13
79-3,0.98,0.398,0.02,0.98,0.399,0.018,0.03
80-1,0.55,0.366,0.13,0.55,0.371,0.027,0.12
80-2,0.99,0.353,0.33,0.99,0.354,0.020,0.32
81-1,0.80,0.404,0.12,0.80,0.404,0.023,0.14
81-2,0.80,0.404,0.12,0.80,0.404,0.023,0.14
82-1,0.93,0.332,0.57,0.93,0.334,0.019,0.57
83-1,0.94,0.382,0.12,0.94,0.385,0.018,0.14
83-2,0.94,0.385,0.13,0.94,0.388,0.018,0.14
84-1,0.70,0.156,0.12,0.70,0.162,0.018,0.08
85-1,0.97,0.461,0.11,0.97,0.463,0.018,0.12
85-2,1.00,0.427,0.40,1.00,0.429,0.018,0.43
86-1,0.75,0.384,0.31,0.75,0.383,0.026,0.31
86-2,0.75,0.384,0.31,0.75,0.383,0.026,0.31
86-3,0.68,0.368,0.31,0.68,0.367,0.029,0.31
87-1,0.91,0.399,0.25,0.91,0.400,0.020,0.26
87-2,0.91,0.384,0.16,0.91,0.385,0.020,0.15
87-3,0.75,0.450,0.25,0.75,0.451,0.023,0.26
88-1,0.94,0.399,0.01,0.94,0.401,0.023,0.25
89-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
89-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
89-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
91-1,0.38,0.104,0.03,0.38,0.104,0.015,0.03
91-2,0.38,0.104,1.00,0.38,0.104,0.015,1.00
91-3,0.38,0.017,0.48,0.38,0.021,0.008,0.49
93-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
93-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
94-1,1.00,0.385,0.42,1.00,0.387,0.020,0.69
95-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
95-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
96-1,0.92,0.056,1.00,0.92,0.055,0.008,1.00
96-2,0.84,0.094,1.00,0.84,0.094,0.011,1.00
96-3,0.90,0.077,1.00,0.90,0.077,0.009,1.00
97-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
97-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
